shortname: bloom_bits-BitSetExtractDeposit%2Fsize%3D64%2Ffn%3DDepositTo
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
BitSetExtractDeposit,2.1870000000000003e-08,2%,4.2100000000000006e-08,2%,+92.50%,p=0.008 n=5,1.6480000000000003e-08,2%,-24.65%,p=0.008 n=5
geomean,2.1869999999999993e-08,,4.2100000000000046e-08,,+92.50%,,1.6479999999999983e-08,,-24.65%,

shortname: gonum_community-NewDirectedLayers%2FgraphSize%3D10%2CnumGraphs%3D1
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
NewDirectedLayers,1.2080000000000001e-06,1%,1.5130000000000002e-06,2%,+25.25%,p=0.008 n=5,1.342e-06,1%,+11.09%,p=0.008 n=5
geomean,1.2080000000000001e-06,,1.5129999999999995e-06,,+25.25%,,1.3420000000000002e-06,,+11.09%,

shortname: gonum_community-NewDirectedLayers%2FgraphSize%3D1000%2CnumGraphs%3D1
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
NewDirectedLayers,0.000140016,1%,0.00016102800000000002,6%,+15.01%,p=0.008 n=5,0.000157197,1%,+12.27%,p=0.008 n=5
geomean,0.000140016,,0.00016102799999999994,,+15.01%,,0.00015719699999999998,,+12.27%,

shortname: gonum_mat-CholeskyInverseTo%2Fn%3D100
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
CholeskyInverseTo,0.000278347,0%,0.000554102,2%,+99.07%,p=0.008 n=5,0.000201678,0%,-27.54%,p=0.008 n=5
geomean,0.0002783469999999998,,0.000554102,,+99.07%,,0.00020167800000000003,,-27.54%,

shortname: gproto_reflect-Value%2FInterface
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Value,2.799e-08,4%,2.204e-08,2%,-21.26%,p=0.008 n=5,2.913e-08,1%,+4.07%,p=0.032 n=5
geomean,2.7989999999999995e-08,,2.2040000000000017e-08,,-21.26%,,2.9129999999999947e-08,,+4.07%,

shortname: kanzi-ANS0
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
ANS0,0.0019244320000000002,2%,0.002716062,0%,+41.14%,p=0.008 n=5,0.001966951,1%,+2.21%,p=0.008 n=5
geomean,0.0019244320000000004,,0.0027160619999999996,,+41.14%,,0.0019669510000000006,,+2.21%,

shortname: kanzi-BWTSmallBlock
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
BWTSmallBlock,0.034070758,1%,0.045846107000000004,1%,+34.56%,p=0.008 n=5,0.032677346,1%,-4.09%,p=0.008 n=5
geomean,0.03407075799999999,,0.045846107000000004,,+34.56%,,0.032677345999999996,,-4.09%,

shortname: kanzi-Huffman
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Huffman,0.001593704,0%,0.004246505,0%,+166.46%,p=0.008 n=5,0.0017215730000000001,0%,+8.02%,p=0.008 n=5
geomean,0.0015937040000000005,,0.004246505,,+166.46%,,0.0017215730000000008,,+8.02%,

shortname: workiva_avl-ImmutableInsert
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
ImmutableInsert,2.002e-06,1%,1.5950000000000002e-06,2%,-20.33%,p=0.008 n=5,1.277e-06,6%,-36.21%,p=0.008 n=5
geomean,2.0020000000000013e-06,,1.595000000000001e-06,,-20.33%,,1.2769999999999998e-06,,-36.21%,

shortname: workiva_rangetree-ImmutableInsertSecondDimension
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
ImmutableInsertSecondDimension,0.033983364,0%,0.034179479,1%,~,p=0.548 n=5,0.031130249000000002,2%,-8.40%,p=0.008 n=5
geomean,0.033983364,,0.034179479000000006,,+0.58%,,0.031130249000000002,,-8.40%,

shortname: workiva_triey-Iterator
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Iterator,2.4280000000000003e-06,0%,1.066e-06,2%,-56.10%,p=0.008 n=5,9.633e-07,7%,-60.33%,p=0.008 n=5
geomean,2.4280000000000003e-06,,1.0659999999999996e-06,,-56.10%,,9.632999999999997e-07,,-60.33%,
