shortname: benhoyt_goawk-BuiltinGsubAmpersand
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
BuiltinGsubAmpersand,1.3221000000000001e-05,0%,4.2964000000000004e-05,1%,+224.97%,p=0.008 n=5,3.3078000000000004e-05,1%,+150.19%,p=0.008 n=5
geomean,1.322099999999999e-05,,4.296399999999996e-05,,+224.97%,,3.307800000000002e-05,,+150.19%,

shortname: benhoyt_goawk-NativeFunc
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
NativeFunc,7.439e-06,0%,3.0055000000000003e-05,2%,+304.02%,p=0.008 n=5,2.3148000000000003e-05,1%,+211.17%,p=0.008 n=5
geomean,7.438999999999998e-06,,3.0055e-05,,+304.02%,,2.3147999999999986e-05,,+211.17%,

shortname: benhoyt_goawk-RecursiveFunc
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
RecursiveFunc,1.199e-05,1%,3.4273e-05,1%,+185.85%,p=0.008 n=5,2.9364000000000002e-05,2%,+144.90%,p=0.008 n=5
geomean,1.1989999999999999e-05,,3.427299999999999e-05,,+185.85%,,2.9364000000000026e-05,,+144.90%,

shortname: benhoyt_goawk-SimpleBuiltins
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
SimpleBuiltins,5.762000000000001e-07,1%,2.2870000000000003e-06,1%,+296.91%,p=0.008 n=5,1.886e-06,2%,+227.32%,p=0.008 n=5
geomean,5.761999999999999e-07,,2.2870000000000007e-06,,+296.91%,,1.886e-06,,+227.32%,

shortname: bloom_bits-BitSetExtractDeposit%2Fsize%3D64%2Ffn%3DDepositTo
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
BitSetExtractDeposit,2.181e-08,0%,4.921e-08,0%,+125.63%,p=0.008 n=5,2.8790000000000002e-08,0%,+32.00%,p=0.008 n=5
geomean,2.1809999999999988e-08,,4.920999999999998e-08,,+125.63%,,2.879000000000004e-08,,+32.00%,

shortname: capnproto2-Growth_MultiSegment
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Growth_MultiSegment,0.012507081000000001,0%,0.028900324,0%,+131.07%,p=0.008 n=5,0.024279654,0%,+94.13%,p=0.008 n=5
geomean,0.012507081000000005,,0.028900323999999998,,+131.07%,,0.024279654000000005,,+94.13%,

shortname: capnproto2-Unmarshal_Reuse
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Unmarshal_Reuse,4.527e-07,0%,1.0390000000000001e-06,2%,+129.51%,p=0.008 n=5,8.395000000000001e-07,1%,+85.44%,p=0.008 n=5
geomean,4.526999999999997e-07,,1.0389999999999997e-06,,+129.51%,,8.395000000000004e-07,,+85.44%,

shortname: commonmark_markdown-RenderSpecNoHTML
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
RenderSpecNoHTML,0.004391917,1%,0.012422462,0%,+182.85%,p=0.008 n=5,0.009801444000000001,1%,+123.17%,p=0.008 n=5
geomean,0.0043919169999999995,,0.012422462000000006,,+182.85%,,0.009801444000000003,,+123.17%,

shortname: dustin_broadcast-ParallelBrodcast
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
ParallelBrodcast,5.519e-07,11%,3.0273000000000003e-05,5%,+5385.23%,p=0.008 n=5,2.9716e-05,3%,+5284.31%,p=0.008 n=5
geomean,5.518999999999999e-07,,3.0273000000000013e-05,,+5385.23%,,2.9715999999999995e-05,,+5284.31%,

shortname: dustin_humanize-BigCommas
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
BigCommas,3.764e-07,1%,1.9320000000000003e-06,4%,+413.28%,p=0.008 n=5,1.5660000000000001e-06,2%,+316.05%,p=0.008 n=5
geomean,3.7639999999999974e-07,,1.9320000000000007e-06,,+413.28%,,1.5659999999999995e-06,,+316.05%,

shortname: dustin_humanize-Commaf
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Commaf,2.4630000000000003e-07,1%,1.185e-06,5%,+381.12%,p=0.008 n=5,8.305e-07,1%,+237.19%,p=0.008 n=5
geomean,2.463000000000001e-07,,1.1850000000000003e-06,,+381.12%,,8.304999999999998e-07,,+237.19%,

shortname: dustin_humanize-ParseBytes
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
ParseBytes,8.829000000000002e-08,1%,3.774e-07,1%,+327.45%,p=0.008 n=5,2.5830000000000003e-07,1%,+192.56%,p=0.008 n=5
geomean,8.829000000000012e-08,,3.773999999999998e-07,,+327.45%,,2.582999999999999e-07,,+192.56%,

shortname: dustin_humanize-ParseSI
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
ParseSI,3.9260000000000006e-07,1%,1.669e-06,0%,+325.11%,p=0.008 n=5,1.227e-06,2%,+212.53%,p=0.008 n=5
geomean,3.9260000000000006e-07,,1.6690000000000005e-06,,+325.11%,,1.2269999999999994e-06,,+212.53%,

shortname: ericlagergren_decimal-Mandelbrot_decimal_GDA_9
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Mandelbrot_decimal_GDA_9,3.394510072,0%,4.498983714,1%,+32.54%,p=0.008 n=5,4.243633671,0%,+25.01%,p=0.008 n=5
geomean,3.394510072,,4.498983714,,+32.54%,,4.243633671,,+25.01%,

shortname: ericlagergren_decimal-Pi%2Ffoo%3Dapmckinlay%2Fprec%3D19
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Pi,2.0390000000000003e-06,4%,9.084e-06,2%,+345.51%,p=0.008 n=5,8.392e-06,0%,+311.57%,p=0.008 n=5
geomean,2.0390000000000007e-06,,9.084e-06,,+345.51%,,8.392e-06,,+311.57%,

shortname: ericlagergren_decimal-Pi%2Ffoo%3Dcockroachdb%2Fapd%2Fprec%3D100
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Pi,0.00473416,0%,0.034363721,1%,+625.87%,p=0.008 n=5,0.027389829,0%,+478.56%,p=0.008 n=5
geomean,0.00473416,,0.03436372099999999,,+625.87%,,0.027389829000000004,,+478.56%,

shortname: ericlagergren_decimal-Pi%2Ffoo%3Dgo-inf%2Fprec%3D100
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Pi,9.0209e-05,1%,0.000291057,1%,+222.65%,p=0.008 n=5,0.000237523,0%,+163.30%,p=0.008 n=5
geomean,9.020900000000003e-05,,0.0002910570000000002,,+222.65%,,0.0002375229999999999,,+163.30%,

shortname: gonum_community-NewDirectedLayers%2FgraphSize%3D10%2CnumGraphs%3D1
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
NewDirectedLayers,1.2140000000000002e-06,0%,2.025e-06,1%,+66.80%,p=0.008 n=5,1.7100000000000001e-06,1%,+40.86%,p=0.008 n=5
geomean,1.214e-06,,2.025000000000001e-06,,+66.80%,,1.7100000000000008e-06,,+40.86%,

shortname: gonum_community-NewDirectedLayers%2FgraphSize%3D1000%2CnumGraphs%3D1
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
NewDirectedLayers,0.000141346,1%,0.000217278,1%,+53.72%,p=0.008 n=5,0.000190227,0%,+34.58%,p=0.008 n=5
geomean,0.00014134600000000004,,0.0002172780000000001,,+53.72%,,0.0001902270000000001,,+34.58%,

shortname: gonum_community-NewUndirectedLayers%2FgraphSize%3D1000%2CnumGraphs%3D10
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
NewUndirectedLayers,0.001729826,1%,0.0028719690000000003,0%,+66.03%,p=0.008 n=5,0.0026068750000000003,0%,+50.70%,p=0.008 n=5
geomean,0.0017298259999999994,,0.0028719689999999994,,+66.03%,,0.002606875,,+50.70%,

shortname: gonum_lapack_native-Dgeev%2FCirculant5
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Dgeev,9.05e-06,5%,5.3034e-05,1%,+486.01%,p=0.008 n=5,4.4638e-05,3%,+393.24%,p=0.008 n=5
geomean,9.050000000000005e-06,,5.303399999999995e-05,,+486.01%,,4.463799999999996e-05,,+393.24%,

shortname: gonum_mat-AddScaledVec10Inc1
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
