benchmark	configuration	real-ns	user-ns	sys-ns
Uber_zap	LLGoFullLTOGlobalDCEPlugin	163189578620	162670007000	4099544000
Uber_zap	LLGoNoLTO	163151562589	159712895000	11602315000
Aws_restjson	LLGoFullLTOGlobalDCE	162149446651	175046929000	4078000000
Aws_restjson	LLGoFullLTONoGlobalDCE	159890745533	173534458000	3043820000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	145473114696	157353689000	3026439000
Uber_zap	LLGoFullLTONoGlobalDCE	144419644526	156658557000	3455835000
Toml	LLGoFullLTONoGlobalDCE	135287469548	128689650000	4801247000
Uber_zap	LLGoFullLTOGlobalDCE	132720557098	133063554000	3139342000
Toml	LLGoFullLTOGlobalDCEPlugin	117751503751	111274704000	4106516000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	112162365371	106736649000	4201432000
Gorm_schema	LLGoFullLTOGlobalDCE	105988926155	100558511000	2310360000
K8s_workqueue	LLGoFullLTOGlobalDCE	102023613120	111891854000	2592110000
K8s_workqueue	LLGoFullLTONoGlobalDCE	100865318886	111994189000	2587657000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	99436284022	110663675000	2489155000
Dustin_humanize	LLGoFullLTOGlobalDCE	98247719872	89480555000	4029727000
Gorm_schema	LLGoFullLTONoGlobalDCE	87001187228	89055486000	2295733000
Toml	LLGoFullLTOGlobalDCE	81359012655	76474233000	1828141000
Aws_restjson	LLGoNoLTO	73418922999	86611431000	4080505000
Dustin_humanize	LLGoFullLTONoGlobalDCE	60841862124	60982082000	1662623000
Gorm_schema	LLGoNoLTO	49496952740	51311326000	2885209000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	30884662922	35510541000	1280076000
K8s_workqueue	LLGoNoLTO	27503255666	36516494000	2624942000
Toml	LLGoNoLTO	15914728631	21555268000	1634109000
Dustin_humanize	LLGoNoLTO	10588139483	14211286000	1255322000
K8s_workqueue	Go	1238487886	827255000	134588000
Aws_restjson	Go	824469265	1002899000	228318000
Toml	Go	477370983	538778000	111188000
Dustin_humanize	Go	445422133	385920000	81190000
Uber_zap	Go	405058854	567658000	129250000
Gorm_schema	Go	321295426	487955000	90864000
