benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	302476220420	483326147000	7411087000
IXGo	LLGoFullLTOGlobalDCEPlugin	276208509045	387176968000	4919393000
IXGo	LLGoFullLTONoGlobalDCE	267982146631	374971844000	4898034000
Etcdctl	LLGoFullLTOGlobalDCE	227440790193	334866158000	3626541000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	224474712585	329795196000	3592699000
Etcdctl	LLGoFullLTONoGlobalDCE	226166646073	329758305000	3594971000
IXGo	LLGoDeadcodeDrop	96932518867	300312780000	4342132000
Etcdctl	LLGoNoLTO	68432786736	227650288000	4806274000
XGo	LLGoFullLTONoGlobalDCE	139091579703	200268408000	3743323000
Etcdctl	LLGoDeadcodeDrop	60487138021	200513108000	3066835000
Uber_zap	LLGoFullLTONoGlobalDCE	115481579285	194925383000	4045388000
XGo	LLGoFullLTOGlobalDCEPlugin	130109460605	178530505000	2687649000
Uber_zap	LLGoDeadcodeDrop	53869775819	174246941000	2836355000
K8s_workqueue	LLGoNoLTO	51697959475	159439723000	3034788000
XGo	LLGoFullLTOGlobalDCE	124078117665	155626159000	2719685000
Aws_restjson	LLGoFullLTONoGlobalDCE	114669993047	147409530000	2660909000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	90414057778	137111912000	2505189000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	95352877763	125485342000	2233315000
Aws_restjson	LLGoFullLTOGlobalDCE	96052516529	124263796000	2252949000
K8s_workqueue	LLGoFullLTONoGlobalDCE	76537788698	92516352000	1914349000
K8s_workqueue	LLGoFullLTOGlobalDCE	76052260665	92193628000	2025938000
Uber_zap	LLGoFullLTOGlobalDCE	66917134521	87789456000	2056810000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	66672049503	87545477000	2091058000
Toml	LLGoFullLTOGlobalDCE	46390226231	80227930000	1997906000
IXGo	LLGoNoLTO	24102721292	67207453000	2975392000
XGo	LLGoDeadcodeDrop	23076436164	62027495000	2197750000
Aws_restjson	LLGoDeadcodeDrop	27281237466	62252657000	1921816000
Gorm_schema	LLGoFullLTONoGlobalDCE	48542565557	62368524000	1275602000
Gorm_schema	LLGoFullLTOGlobalDCE	46785402625	60818252000	1277764000
XGo	LLGoNoLTO	21999667867	59939435000	2055495000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	33885593480	54786205000	1470009000
Toml	LLGoFullLTONoGlobalDCE	42006586327	51271858000	1196651000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	36403076890	50502769000	1313164000
Toml	LLGoFullLTOGlobalDCEPlugin	33950480343	43585066000	1241197000
Dustin_humanize	LLGoFullLTONoGlobalDCE	34019885020	40106789000	983399000
IXGo	Go	10148236000	31828110000	2227571000
Gorm_schema	LLGoNoLTO	11041830680	31681991000	1327337000
Dustin_humanize	LLGoFullLTOGlobalDCE	24582372500	30835194000	1019232000
Aws_restjson	LLGoNoLTO	10875029302	29064966000	1731646000
Gorm_schema	LLGoDeadcodeDrop	9895341666	28930993000	1146935000
K8s_workqueue	LLGoDeadcodeDrop	10193978842	28232727000	1629791000
Uber_zap	LLGoNoLTO	9883059320	26260131000	1653938000
Toml	LLGoDeadcodeDrop	6970144295	18089731000	997176000
Toml	LLGoNoLTO	6832317182	17914816000	990049000
Etcdctl	Go	5478939724	15549517000	759377000
Dustin_humanize	LLGoDeadcodeDrop	4778484707	11139888000	938303000
Dustin_humanize	LLGoNoLTO	4156215711	10077075000	882786000
XGo	Go	3249617098	8257643000	426831000
Gorm_schema	Go	2095863132	5160737000	344693000
Aws_restjson	Go	1874847342	4560861000	375128000
Uber_zap	Go	1258399849	2724175000	174110000
K8s_workqueue	Go	802306269	1618291000	170933000
Dustin_humanize	Go	306628444	539686000	77138000
Toml	Go	289453784	445024000	78492000
