benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	461845093789	662896987000	6620695000
IXGo	LLGoFullLTOGlobalDCE	426118345951	623006161000	6599263000
IXGo	LLGoFullLTONoGlobalDCE	411654568165	604041150000	6480862000
IXGo	LLGoDeadcodeDrop	135406051337	363875382000	5771128000
IXGo	LLGoNoLTO	132617918572	356359896000	5661372000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	162142188686	260786288000	4736934000
Etcdctl	LLGoFullLTOGlobalDCE	160462017116	259130424000	4813069000
Etcdctl	LLGoFullLTONoGlobalDCE	159918559524	255799179000	4576630000
Etcdctl	LLGoDeadcodeDrop	66828291276	192145791000	4057553000
Etcdctl	LLGoNoLTO	65012232434	188955373000	3911052000
XGo	LLGoFullLTOGlobalDCE	125257995577	175390423000	3210978000
XGo	LLGoFullLTOGlobalDCEPlugin	124223351499	173644345000	3351909000
XGo	LLGoFullLTONoGlobalDCE	123807296275	172248208000	3158131000
Aws_restjson	LLGoFullLTONoGlobalDCE	115595964144	146912411000	2224284000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	104345084943	138275713000	2353471000
Aws_restjson	LLGoFullLTOGlobalDCE	103080514222	136928286000	2353956000
Uber_zap	LLGoFullLTONoGlobalDCE	85212959480	108270992000	1733769000
XGo	LLGoNoLTO	42197668925	103445304000	2705770000
XGo	LLGoDeadcodeDrop	41583484868	103184727000	2711646000
K8s_workqueue	LLGoFullLTONoGlobalDCE	81696405683	102349033000	1685165000
K8s_workqueue	LLGoFullLTOGlobalDCE	81385317035	102157195000	1775161000
Uber_zap	LLGoFullLTOGlobalDCE	75180359987	98737034000	1808798000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	73782195019	97749316000	1792427000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	67297863039	88319478000	1713601000
Aws_restjson	LLGoDeadcodeDrop	39946963471	80263578000	1964842000
Aws_restjson	LLGoNoLTO	38361650194	77278989000	1961961000
Gorm_schema	LLGoFullLTONoGlobalDCE	46373649852	63047858000	1324478000
Gorm_schema	LLGoFullLTOGlobalDCE	45716166590	62681412000	1399149000
Uber_zap	LLGoDeadcodeDrop	26567936021	56384724000	1596930000
Uber_zap	LLGoNoLTO	25757519307	55642899000	1427221000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	35503255947	52425217000	1309326000
Toml	LLGoFullLTONoGlobalDCE	41214414015	51269930000	1106356000
K8s_workqueue	LLGoDeadcodeDrop	24426505185	48378499000	1537522000
K8s_workqueue	LLGoNoLTO	24182556945	48193646000	1488743000
IXGo	Go	13070090381	42150517000	2844088000
Toml	LLGoFullLTOGlobalDCEPlugin	33134080745	43527112000	1108812000
Toml	LLGoFullLTOGlobalDCE	33082230333	43413492000	1075794000
Gorm_schema	LLGoDeadcodeDrop	12899527063	35747494000	1191193000
Gorm_schema	LLGoNoLTO	12550783548	34446749000	1212220000
Dustin_humanize	LLGoFullLTONoGlobalDCE	26308080138	32169479000	845198000
Etcdctl	Go	9847949576	30836437000	1930120000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17666710084	23709171000	827573000
Dustin_humanize	LLGoFullLTOGlobalDCE	17743033113	23638761000	836423000
Toml	LLGoDeadcodeDrop	8415639582	20909130000	919744000
Toml	LLGoNoLTO	8330585101	20875746000	932123000
XGo	Go	5418618978	17655183000	1163639000
Dustin_humanize	LLGoNoLTO	5526708151	12056635000	738843000
Dustin_humanize	LLGoDeadcodeDrop	5603140489	11791374000	738602000
Aws_restjson	Go	3115190212	7097677000	660312000
Gorm_schema	Go	2192897829	5320297000	369887000
Uber_zap	Go	1991231593	4825448000	339348000
K8s_workqueue	Go	1632478463	4183283000	434610000
Toml	Go	894210118	1767404000	214562000
Dustin_humanize	Go	380396489	666463000	146437000
