benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	307492948439	463762451000	6001648000
IXGo	LLGoFullLTOGlobalDCE	297814288225	440261684000	5987848000
IXGo	LLGoFullLTONoGlobalDCE	291503818394	434597578000	6006605000
Etcdctl	LLGoFullLTOGlobalDCE	222808428196	329589984000	4449738000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	221973849777	329188731000	4402427000
Etcdctl	LLGoFullLTONoGlobalDCE	220994518198	325486055000	4111956000
IXGo	LLGoDeadcodeDrop	108408665904	318402240000	5261421000
IXGo	LLGoNoLTO	102587833838	296607808000	4874613000
XGo	LLGoDeadcodeDrop	82007152137	255930009000	4193591000
Aws_restjson	LLGoFullLTOGlobalDCE	131948193092	233785426000	3851654000
Etcdctl	LLGoDeadcodeDrop	69762766314	220004361000	3778179000
Uber_zap	LLGoFullLTONoGlobalDCE	123068260769	197827703000	3875593000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	104204508554	183308978000	3607518000
XGo	LLGoFullLTOGlobalDCEPlugin	141423630043	181748649000	3433477000
XGo	LLGoFullLTOGlobalDCE	141484523106	180928079000	3333992000
XGo	LLGoFullLTONoGlobalDCE	141075228802	179961827000	3350609000
Aws_restjson	LLGoFullLTONoGlobalDCE	125020452798	153210793000	2770849000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	105870592306	135078580000	2896107000
K8s_workqueue	LLGoFullLTOGlobalDCE	90638807067	108962890000	2613791000
K8s_workqueue	LLGoFullLTONoGlobalDCE	89764262073	107127667000	2546667000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	89184512320	106735516000	2510788000
Uber_zap	LLGoFullLTOGlobalDCE	79144906237	99831020000	2598090000
Etcdctl	LLGoNoLTO	31924979610	85236706000	3288940000
Aws_restjson	LLGoNoLTO	31016993362	76695393000	2499369000
Gorm_schema	LLGoFullLTONoGlobalDCE	54805237236	68727835000	1675878000
Aws_restjson	LLGoDeadcodeDrop	30267757882	67708494000	2513098000
Gorm_schema	LLGoFullLTOGlobalDCE	52376031343	66545651000	1768057000
Toml	LLGoFullLTONoGlobalDCE	49230465857	58180530000	1616796000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	41444181006	56028061000	1610254000
Toml	LLGoFullLTOGlobalDCE	39520876609	48819089000	1501034000
Toml	LLGoFullLTOGlobalDCEPlugin	38864335421	48061204000	1481272000
Dustin_humanize	LLGoFullLTONoGlobalDCE	39220377880	44783115000	1353523000
XGo	LLGoNoLTO	18368217206	42054473000	2588782000
Uber_zap	LLGoDeadcodeDrop	15416624580	41317735000	2307467000
K8s_workqueue	LLGoDeadcodeDrop	15175504752	40424442000	2365837000
Gorm_schema	LLGoDeadcodeDrop	12294556281	35074033000	1493964000
Dustin_humanize	LLGoFullLTOGlobalDCE	27357800958	33086097000	1317687000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	27342633895	32945738000	1299921000
Uber_zap	LLGoNoLTO	10772028472	25471018000	2152875000
K8s_workqueue	LLGoNoLTO	10318771544	23997277000	2021113000
Toml	LLGoDeadcodeDrop	8508686830	20275226000	1296053000
Toml	LLGoNoLTO	8440200771	19987799000	1399111000
Gorm_schema	LLGoNoLTO	6565798458	15090740000	1412101000
Dustin_humanize	LLGoDeadcodeDrop	5436626381	11189364000	1211851000
Dustin_humanize	LLGoNoLTO	4800673388	10191668000	1226526000
IXGo	Go	1322353283	1842558000	284231000
Etcdctl	Go	847338416	1267608000	185988000
XGo	Go	660700556	1008030000	159133000
Aws_restjson	Go	551793266	754440000	135840000
Toml	Go	385199149	580176000	172358000
K8s_workqueue	Go	394453730	597047000	104584000
Uber_zap	Go	399313812	555449000	123643000
Gorm_schema	Go	342259642	493371000	94697000
Dustin_humanize	Go	209854409	301168000	91307000
