benchmark	configuration	real-ns	user-ns	sys-ns
Etcdctl	LLGoFullLTOGlobalDCE	234434419462	396573080000	5437818000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	232403520071	390387783000	5265563000
IXGo	LLGoFullLTOGlobalDCE	265177000310	382671874000	5708112000
IXGo	LLGoFullLTONoGlobalDCE	263128501800	375483409000	5632181000
IXGo	LLGoFullLTOGlobalDCEPlugin	258977182420	372628353000	5551093000
Etcdctl	LLGoNoLTO	103788283540	335536732000	4567726000
Etcdctl	LLGoFullLTONoGlobalDCE	209490963864	308570760000	4134972000
IXGo	LLGoDeadcodeDrop	88921488244	272428724000	4960446000
XGo	LLGoFullLTONoGlobalDCE	167204400457	258459289000	4252159000
Aws_restjson	LLGoDeadcodeDrop	66451574778	214778743000	3626665000
Etcdctl	LLGoDeadcodeDrop	64521682040	204476560000	3499442000
XGo	LLGoFullLTOGlobalDCEPlugin	138447986385	186786701000	3273629000
XGo	LLGoFullLTOGlobalDCE	131893377598	169995582000	3109364000
Aws_restjson	LLGoFullLTONoGlobalDCE	111563384190	140197533000	2688820000
Aws_restjson	LLGoFullLTOGlobalDCE	103606312036	134019985000	2680261000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	100451882347	130771106000	2718811000
K8s_workqueue	LLGoFullLTONoGlobalDCE	91043352960	108230075000	2582100000
Uber_zap	LLGoFullLTONoGlobalDCE	87962298952	107581416000	2458441000
XGo	LLGoDeadcodeDrop	35246258135	104859488000	2657645000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	84662227788	102521831000	2626233000
XGo	LLGoNoLTO	34175199921	102098009000	2594732000
K8s_workqueue	LLGoFullLTOGlobalDCE	83738920679	101013713000	2604841000
Uber_zap	LLGoFullLTOGlobalDCE	74815876393	97318479000	2478727000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	73832663438	93852707000	2509648000
Gorm_schema	LLGoFullLTONoGlobalDCE	51996693285	69337663000	1599408000
IXGo	LLGoNoLTO	24758439677	63981819000	3644508000
Gorm_schema	LLGoFullLTOGlobalDCE	49912249771	64802940000	1574423000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	42132261434	58562011000	1594218000
Toml	LLGoFullLTONoGlobalDCE	46206105908	55018296000	1422682000
Toml	LLGoFullLTOGlobalDCEPlugin	40518992542	54155313000	1538720000
Toml	LLGoFullLTOGlobalDCE	36834005773	45593085000	1431523000
Dustin_humanize	LLGoFullLTONoGlobalDCE	36143012793	41483403000	1265551000
Uber_zap	LLGoDeadcodeDrop	14639713829	39815905000	2252376000
Uber_zap	LLGoNoLTO	14198997901	38038372000	2096640000
K8s_workqueue	LLGoDeadcodeDrop	13086875260	34795000000	2157663000
Gorm_schema	LLGoDeadcodeDrop	11536538814	33291563000	1454988000
Dustin_humanize	LLGoFullLTOGlobalDCE	27062831087	32614981000	1229985000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	26869012477	32533973000	1280593000
Gorm_schema	LLGoNoLTO	11317847391	32217021000	1363234000
Aws_restjson	LLGoNoLTO	11569678548	28283306000	2044972000
Toml	LLGoNoLTO	9978828382	28560843000	1234163000
K8s_workqueue	LLGoNoLTO	10164489780	23502783000	1965810000
Toml	LLGoDeadcodeDrop	8107152317	18994214000	1289140000
Dustin_humanize	LLGoDeadcodeDrop	5206910594	10960208000	1076915000
Dustin_humanize	LLGoNoLTO	4555942771	9698358000	1135482000
IXGo	Go	1188819302	1777469000	232712000
Etcdctl	Go	793148791	1219998000	178546000
XGo	Go	610997990	941142000	144314000
Aws_restjson	Go	504441353	673279000	153942000
K8s_workqueue	Go	426629436	587458000	122150000
Uber_zap	Go	396278294	575807000	118917000
Gorm_schema	Go	336177640	539764000	150885000
Toml	Go	286952711	416126000	94502000
Dustin_humanize	Go	203298557	300013000	74992000
