benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	261856185027	402157615000	4780491000
IXGo	LLGoFullLTOGlobalDCEPlugin	261842287406	401632047000	4788941000
IXGo	LLGoFullLTONoGlobalDCE	257515013379	397770668000	4625391000
IXGo	LLGoDeadcodeDrop	92170602784	271315647000	4052590000
IXGo	LLGoNoLTO	89572724434	266045195000	4019281000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	103112538122	164905843000	3451102000
Etcdctl	LLGoFullLTOGlobalDCE	102091927415	162764512000	3410692000
Etcdctl	LLGoFullLTONoGlobalDCE	101923812929	161557571000	3338484000
Etcdctl	LLGoDeadcodeDrop	41629174545	119980212000	2998534000
Etcdctl	LLGoNoLTO	40558468545	116957749000	2767575000
XGo	LLGoFullLTOGlobalDCEPlugin	80220464696	111369882000	2295144000
XGo	LLGoFullLTONoGlobalDCE	80093754758	110585306000	2314080000
XGo	LLGoFullLTOGlobalDCE	79088474459	109852990000	2230160000
Aws_restjson	LLGoFullLTONoGlobalDCE	68204522864	88818362000	1592911000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	60582743709	81681909000	1567948000
Aws_restjson	LLGoFullLTOGlobalDCE	59441647381	80359495000	1728492000
XGo	LLGoDeadcodeDrop	26716172204	66900234000	1970627000
Uber_zap	LLGoFullLTONoGlobalDCE	52811716012	66823156000	1221730000
XGo	LLGoNoLTO	25121945077	64320149000	1818525000
K8s_workqueue	LLGoFullLTOGlobalDCE	51266635336	63146480000	1227914000
K8s_workqueue	LLGoFullLTONoGlobalDCE	50749867592	62990899000	1219812000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	46798910145	61877611000	1230439000
Uber_zap	LLGoFullLTOGlobalDCE	46396670409	61251518000	1240485000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	42188520731	54789984000	1137738000
Aws_restjson	LLGoDeadcodeDrop	25491205577	50788956000	1420445000
Aws_restjson	LLGoNoLTO	24933148243	49820616000	1383395000
Gorm_schema	LLGoFullLTONoGlobalDCE	28162008845	38389721000	880524000
Gorm_schema	LLGoFullLTOGlobalDCE	27391151577	38221293000	974557000
Uber_zap	LLGoDeadcodeDrop	16639690286	35062311000	1044825000
Uber_zap	LLGoNoLTO	16561309412	34936910000	995636000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	21375091201	32289492000	925057000
Toml	LLGoFullLTONoGlobalDCE	24601728338	30770420000	787541000
K8s_workqueue	LLGoDeadcodeDrop	14560265632	29481307000	1045324000
K8s_workqueue	LLGoNoLTO	14381208990	29317112000	1021488000
IXGo	Go	7945384429	24885288000	2045827000
Toml	LLGoFullLTOGlobalDCEPlugin	19642127008	26062423000	717994000
Toml	LLGoFullLTOGlobalDCE	19427750437	25804528000	772304000
Gorm_schema	LLGoDeadcodeDrop	7665584029	22098158000	837527000
Gorm_schema	LLGoNoLTO	7595277510	21845608000	859936000
Dustin_humanize	LLGoFullLTONoGlobalDCE	16539961108	20443334000	597199000
Etcdctl	Go	6113994606	18852847000	1410953000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	11008498694	14820519000	554224000
Dustin_humanize	LLGoFullLTOGlobalDCE	11040373810	14682260000	587579000
Toml	LLGoDeadcodeDrop	5118379273	13345908000	666444000
Toml	LLGoNoLTO	5019856237	12879104000	644453000
XGo	Go	3413043140	10680240000	867186000
Dustin_humanize	LLGoNoLTO	3525391809	7477754000	542328000
Dustin_humanize	LLGoDeadcodeDrop	3508587634	7476039000	501321000
Aws_restjson	Go	1938342778	4315910000	476774000
Gorm_schema	Go	1306625411	3126500000	277081000
Uber_zap	Go	1253737327	2906110000	290664000
K8s_workqueue	Go	1009925373	2545533000	304792000
Toml	Go	560364506	1093674000	139443000
Dustin_humanize	Go	234464292	382739000	107071000
