benchmark	configuration	real-ns	user-ns	sys-ns
Aws_restjson	LLGoNoLTO	223448230162	211701068000	14631279000
Uber_zap	LLGoFullLTONoGlobalDCE	203064755514	205864530000	7019727000
Aws_restjson	LLGoFullLTONoGlobalDCE	202628460701	199954378000	4206628000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	194271864198	191587033000	4173962000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	188778160717	190821717000	6636773000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	141408450405	137764758000	3450719000
Aws_restjson	LLGoFullLTOGlobalDCE	133849089840	145617604000	3372707000
K8s_workqueue	LLGoFullLTOGlobalDCE	128828882219	136869318000	3536214000
K8s_workqueue	LLGoFullLTONoGlobalDCE	126930417897	128795195000	3287430000
Toml	LLGoFullLTOGlobalDCE	109647721386	106004977000	4738256000
Toml	LLGoFullLTONoGlobalDCE	85943517869	82608435000	2006194000
Uber_zap	LLGoFullLTOGlobalDCE	85057979952	96537669000	2701356000
Gorm_schema	LLGoFullLTONoGlobalDCE	79511002812	82406845000	2275509000
Uber_zap	LLGoNoLTO	62387109750	60156062000	3782629000
Gorm_schema	LLGoFullLTOGlobalDCE	62142366972	68272755000	1984057000
Dustin_humanize	LLGoFullLTONoGlobalDCE	55825842262	56552732000	1602782000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	55721142551	60313945000	2063304000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	52226755031	48275627000	1675441000
Toml	LLGoFullLTOGlobalDCEPlugin	43181053678	48764354000	1584070000
Dustin_humanize	LLGoFullLTOGlobalDCE	38808549376	39527464000	1583110000
Gorm_schema	LLGoNoLTO	30137680704	35404448000	2532011000
K8s_workqueue	LLGoNoLTO	22923757605	33739888000	2742948000
Toml	LLGoNoLTO	18450523562	21745750000	1725812000
Dustin_humanize	LLGoNoLTO	8371255266	12683841000	1324536000
Aws_restjson	Go	1349010018	991575000	170956000
Toml	Go	994990967	614779000	117092000
Gorm_schema	Go	508246117	563768000	106580000
Uber_zap	Go	500364883	542259000	170711000
K8s_workqueue	Go	444292624	615849000	136170000
Dustin_humanize	Go	400598751	440004000	153223000
