benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	482053976464	657707468000	5541671000
IXGo	LLGoFullLTOGlobalDCEPlugin	461717682963	650335112000	5397957000
IXGo	LLGoFullLTONoGlobalDCE	452511826037	649242406000	5349023000
IXGo	LLGoDeadcodeDrop	125068818520	367241314000	4583445000
IXGo	LLGoNoLTO	120890821007	353664023000	4393595000
Etcdctl	LLGoFullLTONoGlobalDCE	211061128612	352823579000	4608912000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	196272935014	301358929000	4094849000
Etcdctl	LLGoFullLTOGlobalDCE	193199157090	296203672000	4198410000
XGo	LLGoFullLTOGlobalDCE	175440626889	277114087000	4667354000
XGo	LLGoDeadcodeDrop	91404660869	259331301000	3962448000
XGo	LLGoFullLTOGlobalDCEPlugin	151369530197	201272346000	3420537000
Etcdctl	LLGoDeadcodeDrop	68807137178	198366671000	3332440000
XGo	LLGoFullLTONoGlobalDCE	150063626920	190619919000	3311057000
Aws_restjson	LLGoFullLTONoGlobalDCE	131480509273	163234121000	2845147000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	111339670349	152687902000	2871882000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	115045906952	148667205000	2888343000
Aws_restjson	LLGoFullLTOGlobalDCE	112222922446	142586928000	2715820000
Uber_zap	LLGoFullLTONoGlobalDCE	102512915331	123292348000	2394535000
K8s_workqueue	LLGoFullLTONoGlobalDCE	99845583185	117858051000	2527846000
K8s_workqueue	LLGoFullLTOGlobalDCE	98728418432	117477812000	2521365000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	88558437028	109788074000	2470113000
Uber_zap	LLGoFullLTOGlobalDCE	88491031452	109570290000	2384026000
Gorm_schema	LLGoFullLTONoGlobalDCE	70100623446	104059846000	2265953000
Etcdctl	LLGoNoLTO	40153778066	96332187000	2926810000
Toml	LLGoFullLTOGlobalDCEPlugin	56065661958	93443060000	2328563000
Aws_restjson	LLGoDeadcodeDrop	36288203322	73493154000	2375976000
Aws_restjson	LLGoNoLTO	36339997348	72758062000	2372828000
Gorm_schema	LLGoFullLTOGlobalDCE	56031060202	69983785000	1632295000
Toml	LLGoFullLTONoGlobalDCE	52225935467	61511472000	1463599000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	44122267888	59608462000	1557378000
Uber_zap	LLGoNoLTO	23600836700	51007656000	2179586000
Uber_zap	LLGoDeadcodeDrop	23864171559	50897150000	2222572000
XGo	LLGoNoLTO	26331014102	50476146000	2434413000
Toml	LLGoFullLTOGlobalDCE	42107305386	51420340000	1427617000
K8s_workqueue	LLGoNoLTO	21981325645	44556118000	2223277000
K8s_workqueue	LLGoDeadcodeDrop	21851418551	44061125000	1993248000
Dustin_humanize	LLGoFullLTONoGlobalDCE	37210858065	42888305000	1303396000
Dustin_humanize	LLGoFullLTOGlobalDCE	26031892602	33528332000	1336246000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	25295891222	31183665000	1320156000
Gorm_schema	LLGoDeadcodeDrop	11144810700	30390165000	1439972000
Gorm_schema	LLGoNoLTO	10924550369	29632832000	1425562000
Toml	LLGoDeadcodeDrop	8326508248	19748517000	1315294000
Toml	LLGoNoLTO	8175216130	19496730000	1262990000
Dustin_humanize	LLGoDeadcodeDrop	7113087343	17911879000	1166655000
Dustin_humanize	LLGoNoLTO	4688933814	10292754000	1090580000
IXGo	Go	1168180141	1773710000	229994000
Etcdctl	Go	758784571	1140520000	168891000
XGo	Go	640364819	977556000	150507000
Uber_zap	Go	468579169	735714000	182281000
Aws_restjson	Go	455472758	673396000	128474000
K8s_workqueue	Go	398991195	596661000	122426000
Gorm_schema	Go	291496312	458613000	78291000
Toml	Go	298418758	436451000	95901000
Dustin_humanize	Go	204705893	292730000	78569000
