benchmark	configuration	real-ns	user-ns	sys-ns
Etcdctl	LLGoFullLTOGlobalDCEPlugin	230988630285	384476498000	5199895000
IXGo	LLGoFullLTOGlobalDCEPlugin	261159655235	379318896000	5340994000
IXGo	LLGoFullLTOGlobalDCE	260679266672	376907804000	5485975000
IXGo	LLGoFullLTONoGlobalDCE	257098031192	370705482000	5493657000
Etcdctl	LLGoFullLTOGlobalDCE	203890734050	306492727000	4005173000
Etcdctl	LLGoFullLTONoGlobalDCE	204302518500	303694195000	3902205000
IXGo	LLGoDeadcodeDrop	84709841616	270855738000	5022686000
IXGo	LLGoNoLTO	85180491157	262602837000	4752425000
Aws_restjson	LLGoFullLTONoGlobalDCE	135295100613	223891189000	3790172000
Etcdctl	LLGoDeadcodeDrop	64109938312	205538537000	3330086000
Uber_zap	LLGoDeadcodeDrop	57272170848	181034780000	3341674000
K8s_workqueue	LLGoFullLTOGlobalDCE	107815035898	178559355000	3662705000
XGo	LLGoFullLTONoGlobalDCE	133114061958	169865553000	3105487000
XGo	LLGoFullLTOGlobalDCE	130834271016	169143775000	3230434000
XGo	LLGoFullLTOGlobalDCEPlugin	130283627953	168400775000	3163494000
Aws_restjson	LLGoFullLTOGlobalDCE	92991461520	122895873000	2588634000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	93520815903	121776990000	2656952000
Uber_zap	LLGoFullLTONoGlobalDCE	87497182398	107085885000	2671509000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	84417941512	104446981000	2632407000
XGo	LLGoDeadcodeDrop	34467637313	102419071000	2637443000
K8s_workqueue	LLGoFullLTONoGlobalDCE	84276826328	101174753000	2574271000
XGo	LLGoNoLTO	33473578506	99678304000	2527527000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	74726260923	94973317000	2590446000
Uber_zap	LLGoFullLTOGlobalDCE	73213273402	93118710000	2527591000
Etcdctl	LLGoNoLTO	30614466531	82286513000	3212710000
Aws_restjson	LLGoDeadcodeDrop	27709303820	67350297000	2447905000
Gorm_schema	LLGoFullLTONoGlobalDCE	50057537593	62906893000	1572554000
Gorm_schema	LLGoFullLTOGlobalDCE	48558198293	61807591000	1550246000
Toml	LLGoFullLTONoGlobalDCE	45654668657	54257084000	1412992000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	37587212804	50941002000	1563479000
Toml	LLGoFullLTOGlobalDCE	37449928284	46631670000	1446384000
Toml	LLGoFullLTOGlobalDCEPlugin	36554188561	45368882000	1468119000
Dustin_humanize	LLGoFullLTONoGlobalDCE	36038304686	41241839000	1320521000
K8s_workqueue	LLGoNoLTO	12850584092	34416274000	2110799000
K8s_workqueue	LLGoDeadcodeDrop	13033122814	33999228000	2110769000
Gorm_schema	LLGoDeadcodeDrop	11440151327	33080723000	1373412000
Gorm_schema	LLGoNoLTO	11292241669	32071403000	1404538000
Dustin_humanize	LLGoFullLTOGlobalDCE	25872728546	31516995000	1224404000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	25792633470	31250599000	1242818000
Aws_restjson	LLGoNoLTO	11292155632	27384351000	2170055000
Uber_zap	LLGoNoLTO	10216532972	24227855000	1997142000
Toml	LLGoDeadcodeDrop	8033716983	19143843000	1296411000
Toml	LLGoNoLTO	7963537288	19199309000	1239919000
Dustin_humanize	LLGoDeadcodeDrop	5159787517	10702155000	1151750000
Dustin_humanize	LLGoNoLTO	5034049063	10684463000	1096121000
IXGo	Go	1164596695	1748942000	224222000
Etcdctl	Go	816389046	1261163000	245870000
XGo	Go	605824272	946258000	157070000
Aws_restjson	Go	450192743	684594000	129420000
K8s_workqueue	Go	408974756	578281000	110771000
Uber_zap	Go	368845179	556415000	107493000
Gorm_schema	Go	286534184	437009000	96457000
Toml	Go	289489588	415350000	105676000
Dustin_humanize	Go	186456771	288099000	70784000
