benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	354244788320	571095832000	10774147000
Etcdctl	LLGoFullLTONoGlobalDCE	269661303659	442796435000	7615926000
IXGo	LLGoFullLTONoGlobalDCE	310023423253	442448369000	6511665000
IXGo	LLGoFullLTOGlobalDCEPlugin	305745924453	424124975000	6416060000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	233424513476	340250522000	4538970000
Etcdctl	LLGoFullLTOGlobalDCE	231474700100	338278453000	4690419000
IXGo	LLGoDeadcodeDrop	117386619755	304148651000	5450923000
Etcdctl	LLGoNoLTO	74001459189	214790859000	3961786000
Etcdctl	LLGoDeadcodeDrop	71516452355	212816257000	3935352000
XGo	LLGoFullLTOGlobalDCEPlugin	151682255065	202133633000	3676273000
XGo	LLGoFullLTOGlobalDCE	146724521155	185859485000	3807468000
K8s_workqueue	LLGoDeadcodeDrop	67415134643	178792563000	5109274000
XGo	LLGoFullLTONoGlobalDCE	146145509985	180169506000	3457317000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	96909035191	172434660000	4356074000
Aws_restjson	LLGoFullLTONoGlobalDCE	123795562840	152489564000	3027734000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	110128795754	143030848000	3114137000
Aws_restjson	LLGoFullLTOGlobalDCE	108580526813	138048721000	2945602000
Uber_zap	LLGoFullLTONoGlobalDCE	95093920408	117068648000	2843987000
XGo	LLGoDeadcodeDrop	41826970916	113505772000	2938308000
K8s_workqueue	LLGoFullLTONoGlobalDCE	88658118049	108076254000	2792123000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	84848010304	101887469000	2736289000
K8s_workqueue	LLGoFullLTOGlobalDCE	84211162336	101436205000	2589364000
Uber_zap	LLGoFullLTOGlobalDCE	73681116684	95722057000	2715468000
IXGo	LLGoNoLTO	44209713223	92955986000	3633123000
Aws_restjson	LLGoDeadcodeDrop	37400504734	82355565000	3048066000
Gorm_schema	LLGoFullLTONoGlobalDCE	53118967791	67062566000	1727507000
Gorm_schema	LLGoFullLTOGlobalDCE	51454143283	65422647000	1854705000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	42233396953	56591361000	1669974000
Toml	LLGoFullLTONoGlobalDCE	46734865766	55905896000	1559732000
XGo	LLGoNoLTO	25224774597	54010666000	2525775000
Toml	LLGoFullLTOGlobalDCE	38240499275	47769404000	1577756000
Toml	LLGoFullLTOGlobalDCEPlugin	36735411399	46310143000	1572271000
Uber_zap	LLGoDeadcodeDrop	17350423930	44651568000	2326656000
Dustin_humanize	LLGoFullLTONoGlobalDCE	37144524154	43295374000	1429078000
Gorm_schema	LLGoDeadcodeDrop	14377296406	39454343000	1796149000
Aws_restjson	LLGoNoLTO	15073559543	34730984000	2225055000
Dustin_humanize	LLGoFullLTOGlobalDCE	27890692107	34430468000	1411648000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	26581900050	32812219000	1306849000
IXGo	Go	10220272149	31058276000	2443996000
Uber_zap	LLGoNoLTO	12753539897	29199590000	2146338000
K8s_workqueue	LLGoNoLTO	11826325625	26815345000	2018473000
Toml	LLGoDeadcodeDrop	9242980226	22385783000	1468040000
XGo	Go	5506218395	17449550000	1259379000
Gorm_schema	LLGoNoLTO	7684059544	16965925000	1508373000
Etcdctl	Go	5710209030	15637267000	925121000
Toml	LLGoNoLTO	6280443931	13968700000	1338949000
Dustin_humanize	LLGoNoLTO	5831402877	12411725000	1293252000
Dustin_humanize	LLGoDeadcodeDrop	5773424981	12152105000	1179296000
Gorm_schema	Go	2104882877	5035495000	359349000
Aws_restjson	Go	1904978216	4510921000	429493000
Uber_zap	Go	1297156410	2700764000	227900000
K8s_workqueue	Go	823623612	1572776000	213943000
Dustin_humanize	Go	331835878	538633000	111516000
Toml	Go	325170216	451662000	107036000
