benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	356552697053	495679060000	5769118000
IXGo	LLGoFullLTOGlobalDCEPlugin	350489212423	491081426000	5944029000
IXGo	LLGoFullLTONoGlobalDCE	350280742224	487300195000	5704320000
IXGo	LLGoDeadcodeDrop	114351424855	287251952000	5054191000
IXGo	LLGoNoLTO	115651893960	285132229000	5011707000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	135321055608	214629543000	4423215000
Etcdctl	LLGoFullLTOGlobalDCE	133888514203	213810245000	4174643000
Etcdctl	LLGoFullLTONoGlobalDCE	132975650627	209175018000	4177994000
Etcdctl	LLGoDeadcodeDrop	53041413125	154919037000	3858903000
Etcdctl	LLGoNoLTO	52057825204	153503196000	3785402000
XGo	LLGoFullLTOGlobalDCEPlugin	103106031252	143595812000	2874541000
XGo	LLGoFullLTONoGlobalDCE	103739312962	143292863000	2786960000
XGo	LLGoFullLTOGlobalDCE	102361456660	143156716000	2830331000
Aws_restjson	LLGoFullLTONoGlobalDCE	100813399531	126097019000	1900543000
Aws_restjson	LLGoFullLTOGlobalDCE	90052038546	117179096000	2006026000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	89825631147	117095600000	1977037000
Uber_zap	LLGoFullLTONoGlobalDCE	68054436699	86787063000	1474253000
XGo	LLGoDeadcodeDrop	32685207970	82960948000	2459607000
XGo	LLGoNoLTO	32296033619	82870028000	2209119000
K8s_workqueue	LLGoFullLTOGlobalDCE	64963157317	81858039000	1417525000
K8s_workqueue	LLGoFullLTONoGlobalDCE	65130938445	81539870000	1443728000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	59348738195	78804538000	1473472000
Uber_zap	LLGoFullLTOGlobalDCE	58542083065	77722907000	1447759000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	53054288583	70140710000	1470796000
Aws_restjson	LLGoDeadcodeDrop	33987687582	65985826000	1599760000
Aws_restjson	LLGoNoLTO	33309138735	65156443000	1646581000
Gorm_schema	LLGoFullLTONoGlobalDCE	37390984253	50870107000	1092328000
Gorm_schema	LLGoFullLTOGlobalDCE	36954218021	50535582000	1131480000
Uber_zap	LLGoDeadcodeDrop	19192007511	43598603000	1226985000
Uber_zap	LLGoNoLTO	18849389489	42549554000	1154718000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	28021574521	41917280000	1099957000
Toml	LLGoFullLTONoGlobalDCE	32573208636	40750415000	827761000
K8s_workqueue	LLGoDeadcodeDrop	17520672809	37393674000	1252352000
K8s_workqueue	LLGoNoLTO	17261858075	36561616000	1154335000
IXGo	Go	10101937922	33110687000	2661753000
Toml	LLGoFullLTOGlobalDCEPlugin	26157226930	34544701000	810144000
Toml	LLGoFullLTOGlobalDCE	25880357659	34226012000	833364000
Gorm_schema	LLGoDeadcodeDrop	10259277400	28087558000	1006452000
Gorm_schema	LLGoNoLTO	10017037334	27601880000	1008389000
Dustin_humanize	LLGoFullLTONoGlobalDCE	22045846131	26910095000	627763000
Etcdctl	Go	7926186817	24880124000	1833788000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	14610629573	19667533000	606739000
Dustin_humanize	LLGoFullLTOGlobalDCE	14588634166	19531334000	594975000
Toml	LLGoDeadcodeDrop	6906404126	17042383000	721715000
Toml	LLGoNoLTO	6676968953	16770456000	707636000
XGo	Go	4464171577	14350234000	1007637000
Dustin_humanize	LLGoDeadcodeDrop	4511050172	9714900000	534703000
Dustin_humanize	LLGoNoLTO	4337515816	9491733000	517944000
Aws_restjson	Go	2505821498	5717651000	567527000
Gorm_schema	Go	1757631268	4375712000	336179000
Uber_zap	Go	1640326539	3994963000	335793000
K8s_workqueue	Go	1308179770	3407903000	363613000
Toml	Go	727334707	1491584000	163107000
Dustin_humanize	Go	304742262	547067000	106136000
