benchmark	configuration	real-ns	user-ns	sys-ns
Etcdctl	LLGoFullLTONoGlobalDCE	236364039806	399796676000	7596085000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	205866747352	303781232000	4564932000
Etcdctl	LLGoFullLTOGlobalDCE	204772432224	299375397000	4607905000
XGo	LLGoDeadcodeDrop	74344080544	235055836000	5007656000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	122633552579	217048923000	5374831000
Etcdctl	LLGoDeadcodeDrop	59478406483	192400567000	3852493000
Etcdctl	LLGoNoLTO	58206456845	189053939000	3533497000
XGo	LLGoFullLTONoGlobalDCE	133654242883	177516220000	3434547000
XGo	LLGoFullLTOGlobalDCEPlugin	131448509033	175758608000	3418726000
XGo	LLGoFullLTOGlobalDCE	126602336941	156429986000	3216365000
Aws_restjson	LLGoFullLTONoGlobalDCE	110953009029	136910236000	2905245000
Aws_restjson	LLGoFullLTOGlobalDCE	93811654271	119918318000	2892152000
Uber_zap	LLGoFullLTONoGlobalDCE	86776342264	108396185000	2649349000
K8s_workqueue	LLGoFullLTONoGlobalDCE	79345463670	94071091000	2831338000
Uber_zap	LLGoFullLTOGlobalDCE	69628107582	93288757000	2796766000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	77626308357	92332659000	2607234000
K8s_workqueue	LLGoFullLTOGlobalDCE	77853207727	92059981000	2439320000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	67878030921	87147322000	2626066000
Gorm_schema	LLGoFullLTOGlobalDCE	49808511566	65922615000	1971972000
Gorm_schema	LLGoFullLTONoGlobalDCE	50036369304	64719338000	1734210000
Aws_restjson	LLGoDeadcodeDrop	26523856741	61745267000	2673704000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	37029500779	51467353000	1713952000
Toml	LLGoFullLTONoGlobalDCE	42753676752	50950531000	1497561000
Toml	LLGoFullLTOGlobalDCEPlugin	33889483222	42489587000	1462984000
Toml	LLGoFullLTOGlobalDCE	33843827220	42189446000	1439644000
Dustin_humanize	LLGoFullLTONoGlobalDCE	35030137034	40232479000	1339019000
Uber_zap	LLGoDeadcodeDrop	13905623700	38684269000	2221046000
XGo	LLGoNoLTO	15813564972	38267298000	2427712000
Uber_zap	LLGoNoLTO	13530984397	38306226000	2224548000
Gorm_schema	LLGoDeadcodeDrop	10756378659	32007027000	1635037000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	25008748213	30590309000	1340926000
Dustin_humanize	LLGoFullLTOGlobalDCE	24842061619	30271326000	1306662000
K8s_workqueue	LLGoDeadcodeDrop	9994971084	26383791000	2197693000
Aws_restjson	LLGoNoLTO	10189637704	25923810000	2117350000
Toml	LLGoDeadcodeDrop	9021566187	24388850000	1427651000
K8s_workqueue	LLGoNoLTO	8671010522	21496377000	2087858000
Etcdctl	Go	5555590710	15386301000	813453000
Gorm_schema	LLGoNoLTO	5590299206	13593947000	1365055000
Toml	LLGoNoLTO	4793181010	11335869000	1213344000
Dustin_humanize	LLGoNoLTO	4648148261	10219311000	1188096000
Dustin_humanize	LLGoDeadcodeDrop	4691949751	10188885000	1139338000
XGo	Go	3300499598	8074437000	496961000
Aws_restjson	Go	1866006753	4459186000	408475000
Gorm_schema	Go	1455723798	3137347000	203768000
Uber_zap	Go	1279430381	2675321000	222801000
K8s_workqueue	Go	888089805	1696866000	270443000
Dustin_humanize	Go	317017938	509693000	114981000
Toml	Go	304360121	431146000	104416000
