benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	271866990066	387056516000	5042777000
Etcdctl	LLGoFullLTONoGlobalDCE	229295307872	350212963000	4404460000
IXGo	LLGoFullLTOGlobalDCE	249782568039	349710950000	4720451000
IXGo	LLGoFullLTONoGlobalDCE	234688667916	332156417000	4550091000
Etcdctl	LLGoFullLTOGlobalDCE	206228792337	292255097000	3536579000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	206376713908	291404508000	3601613000
IXGo	LLGoDeadcodeDrop	81828267169	242630068000	4052810000
IXGo	LLGoNoLTO	79127808372	230967568000	4095516000
Etcdctl	LLGoDeadcodeDrop	54449432822	175181421000	3227941000
Etcdctl	LLGoNoLTO	54507138866	173722838000	3103319000
Aws_restjson	LLGoFullLTOGlobalDCE	97573015030	170956180000	3019770000
XGo	LLGoFullLTOGlobalDCEPlugin	123662889453	158981989000	2829867000
XGo	LLGoFullLTONoGlobalDCE	116159872051	154027971000	2502881000
XGo	LLGoFullLTOGlobalDCE	113642704720	152502736000	2634014000
XGo	LLGoNoLTO	44372009188	146963415000	2635474000
Aws_restjson	LLGoFullLTONoGlobalDCE	97590951129	121890340000	2088537000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	90173623873	115291178000	2252693000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	79852346941	111253502000	2240096000
Uber_zap	LLGoFullLTONoGlobalDCE	75803378014	91505758000	2006872000
K8s_workqueue	LLGoFullLTONoGlobalDCE	76453729550	90995502000	2092739000
K8s_workqueue	LLGoDeadcodeDrop	29098723009	90295780000	2289767000
XGo	LLGoDeadcodeDrop	28326837140	86332700000	2133310000
Uber_zap	LLGoFullLTOGlobalDCE	67210891783	85030542000	2123955000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	67155249534	85007707000	2123695000
K8s_workqueue	LLGoFullLTOGlobalDCE	68338540007	82544873000	1926933000
Toml	LLGoFullLTOGlobalDCEPlugin	39770867700	67833180000	1778765000
Aws_restjson	LLGoDeadcodeDrop	26221245544	56046029000	2075925000
Dustin_humanize	LLGoDeadcodeDrop	23478433911	55734886000	1406894000
Aws_restjson	LLGoNoLTO	24252932332	52874836000	1810110000
Gorm_schema	LLGoFullLTOGlobalDCE	39687009179	51811592000	1233807000
Gorm_schema	LLGoFullLTONoGlobalDCE	40908001667	51723890000	1263049000
Toml	LLGoFullLTONoGlobalDCE	39105706447	49418404000	1135967000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	33064945930	46187275000	1206083000
Toml	LLGoFullLTOGlobalDCE	29401501740	36960446000	1068116000
Uber_zap	LLGoDeadcodeDrop	12389710240	34471770000	1883034000
Uber_zap	LLGoNoLTO	12129053933	34065693000	1732592000
Dustin_humanize	LLGoFullLTONoGlobalDCE	29833058582	34645880000	1033501000
Gorm_schema	LLGoDeadcodeDrop	9630983702	28590913000	1082461000
Dustin_humanize	LLGoFullLTOGlobalDCE	22705454425	28073958000	1083341000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	22229303078	27494622000	983470000
K8s_workqueue	LLGoNoLTO	8473607884	21632597000	1635339000
Toml	LLGoDeadcodeDrop	6126305179	15707487000	993150000
Gorm_schema	LLGoNoLTO	5279361824	13118846000	1100667000
Toml	LLGoNoLTO	4137253318	9999457000	848837000
Dustin_humanize	LLGoNoLTO	3504327325	8145650000	870135000
IXGo	Go	904979534	1420437000	166864000
Etcdctl	Go	1092635827	1108453000	173941000
XGo	Go	690992637	879086000	126272000
Aws_restjson	Go	484359490	646505000	88344000
Uber_zap	Go	356668553	591705000	118652000
K8s_workqueue	Go	646254578	526862000	83793000
Gorm_schema	Go	398641521	401831000	85537000
Toml	Go	244783489	365834000	73152000
Dustin_humanize	Go	156232526	239516000	53015000
