benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	420032593428	600214700000	5594219000
IXGo	LLGoFullLTOGlobalDCE	417383389755	595140508000	5277407000
IXGo	LLGoFullLTONoGlobalDCE	406644465712	570849683000	5177268000
IXGo	LLGoDeadcodeDrop	110761652036	329545129000	4405848000
IXGo	LLGoNoLTO	106001563424	320529729000	4228879000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	193533755584	296602040000	4300551000
Etcdctl	LLGoFullLTOGlobalDCE	191839058565	293884331000	4274182000
Etcdctl	LLGoFullLTONoGlobalDCE	191281391958	288731201000	4077438000
XGo	LLGoFullLTOGlobalDCE	175752517286	276907696000	4530017000
Aws_restjson	LLGoNoLTO	76485077880	231190817000	3427543000
XGo	LLGoFullLTONoGlobalDCE	154587956567	204875414000	3299458000
Etcdctl	LLGoDeadcodeDrop	69747935047	201903695000	3476978000
Uber_zap	LLGoDeadcodeDrop	67670256413	198527740000	3518309000
XGo	LLGoFullLTOGlobalDCEPlugin	145041432121	185188823000	3368574000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	102292310245	158803949000	2957800000
Aws_restjson	LLGoFullLTONoGlobalDCE	126200249984	154158813000	2773046000
K8s_workqueue	LLGoFullLTONoGlobalDCE	110695078182	149214521000	2770094000
Aws_restjson	LLGoFullLTOGlobalDCE	110652391623	142792042000	2770059000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	110261506630	139100306000	2707728000
Uber_zap	LLGoFullLTONoGlobalDCE	101255456084	121846205000	2468773000
XGo	LLGoDeadcodeDrop	44651316432	117414340000	2751510000
K8s_workqueue	LLGoFullLTOGlobalDCE	98591488341	117077096000	2576748000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	97458871432	115619124000	2499834000
XGo	LLGoNoLTO	43510938742	114093122000	2604661000
Uber_zap	LLGoFullLTOGlobalDCE	87485906818	109059573000	2437419000
Toml	LLGoFullLTONoGlobalDCE	69421021372	102978440000	2340080000
Etcdctl	LLGoNoLTO	39950320406	96162772000	2858930000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	55472353914	89997182000	2187214000
Gorm_schema	LLGoFullLTONoGlobalDCE	58881656909	76188763000	1691014000
Aws_restjson	LLGoDeadcodeDrop	36116417380	72273955000	2419669000
Gorm_schema	LLGoFullLTOGlobalDCE	56704148257	72679752000	1608062000
Toml	LLGoFullLTOGlobalDCE	40939135691	50410337000	1373035000
Toml	LLGoFullLTOGlobalDCEPlugin	41024866375	50221182000	1463946000
K8s_workqueue	LLGoNoLTO	21874696754	44440179000	2273502000
K8s_workqueue	LLGoDeadcodeDrop	21658367441	43421735000	2202010000
Dustin_humanize	LLGoFullLTONoGlobalDCE	36656388531	42297262000	1290140000
Gorm_schema	LLGoDeadcodeDrop	12517524305	36395182000	1369276000
Uber_zap	LLGoNoLTO	19119577053	34649712000	2021041000
Dustin_humanize	LLGoFullLTOGlobalDCE	26777275121	34963579000	1270112000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	25145180535	30972974000	1214194000
Toml	LLGoDeadcodeDrop	8298148114	19987764000	1311907000
Toml	LLGoNoLTO	8185549354	19814920000	1212164000
Gorm_schema	LLGoNoLTO	6748838653	15355618000	1269287000
Dustin_humanize	LLGoNoLTO	5380199312	11300234000	1185260000
Dustin_humanize	LLGoDeadcodeDrop	5288070696	11046534000	1169180000
IXGo	Go	1140466455	1766488000	246598000
Etcdctl	Go	761122552	1131430000	169294000
XGo	Go	641512627	942047000	137843000
K8s_workqueue	Go	461599542	777650000	164766000
Aws_restjson	Go	481176124	675723000	137749000
Uber_zap	Go	384613782	553311000	115269000
Toml	Go	311000504	417266000	112326000
Gorm_schema	Go	282938057	425010000	92557000
Dustin_humanize	Go	195728292	284620000	69903000
