benchmark	configuration	real-ns	user-ns	sys-ns
Etcdctl	LLGoFullLTOGlobalDCEPlugin	224589449104	360714522000	5845378000
Etcdctl	LLGoFullLTOGlobalDCE	202639996304	284295415000	3503304000
Etcdctl	LLGoFullLTONoGlobalDCE	200583487273	280605978000	3365535000
Etcdctl	LLGoDeadcodeDrop	79448173665	261060307000	3813144000
XGo	LLGoFullLTOGlobalDCE	129038923840	207296487000	3828214000
XGo	LLGoFullLTOGlobalDCEPlugin	108492006970	146419461000	2496128000
XGo	LLGoFullLTONoGlobalDCE	105871460821	130402261000	2461753000
Aws_restjson	LLGoFullLTONoGlobalDCE	95005057746	117287452000	2092411000
Aws_restjson	LLGoFullLTOGlobalDCE	81074066918	104688598000	1985978000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	81513758723	104565082000	2039526000
Uber_zap	LLGoFullLTONoGlobalDCE	70941012797	86818124000	1925003000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	65455233269	81339479000	2012857000
XGo	LLGoDeadcodeDrop	26910128100	80904017000	2079484000
XGo	LLGoNoLTO	26215653646	79340982000	2006538000
Uber_zap	LLGoFullLTOGlobalDCE	57928138800	78829820000	2071172000
K8s_workqueue	LLGoFullLTONoGlobalDCE	64627498839	77017685000	1851868000
K8s_workqueue	LLGoFullLTOGlobalDCE	63973420357	76698765000	1869601000
Toml	LLGoNoLTO	25522250774	72725103000	1628993000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	55642571218	72157057000	1839905000
Etcdctl	LLGoNoLTO	25392045240	71253444000	2461952000
Aws_restjson	LLGoDeadcodeDrop	26315924710	61735898000	2159128000
Gorm_schema	LLGoFullLTONoGlobalDCE	41793133977	56274427000	1439148000
Gorm_schema	LLGoFullLTOGlobalDCE	38954689670	51086985000	1241412000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	29951786111	42079824000	1147779000
Toml	LLGoFullLTONoGlobalDCE	34682915812	41917111000	1060910000
Toml	LLGoFullLTOGlobalDCE	27566767566	35093517000	1084778000
Toml	LLGoFullLTOGlobalDCEPlugin	27386342583	34909570000	1104777000
Gorm_schema	LLGoDeadcodeDrop	10516250863	33311014000	1079855000
Dustin_humanize	LLGoFullLTONoGlobalDCE	28344396948	33137795000	950317000
Uber_zap	LLGoDeadcodeDrop	11562915998	32183717000	1607520000
Dustin_humanize	LLGoFullLTOGlobalDCE	20452432208	25474618000	922312000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	20223444659	25065492000	936044000
Aws_restjson	LLGoNoLTO	9039003857	23084672000	1590516000
K8s_workqueue	LLGoDeadcodeDrop	8641977657	22817619000	1539432000
Uber_zap	LLGoNoLTO	8158459708	20619193000	1491210000
K8s_workqueue	LLGoNoLTO	7452342451	19022933000	1402668000
Toml	LLGoDeadcodeDrop	5815354463	14792371000	926561000
Etcdctl	Go	4340658725	12637516000	670624000
Gorm_schema	LLGoNoLTO	4862398048	12017588000	1039786000
Dustin_humanize	LLGoDeadcodeDrop	3910405077	8910376000	864191000
Dustin_humanize	LLGoNoLTO	3428859870	8016035000	862889000
XGo	Go	2610385783	6686467000	376560000
Aws_restjson	Go	1499810577	3702072000	320869000
Gorm_schema	Go	1179187724	2606683000	161756000
Uber_zap	Go	1038761537	2283571000	179463000
K8s_workqueue	Go	814103300	1425874000	183442000
Dustin_humanize	Go	264984090	458124000	76985000
Toml	Go	244646560	382405000	64825000
