benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	613576058301	854914938000	7965894000
IXGo	LLGoFullLTONoGlobalDCE	534168534469	738303455000	7190858000
IXGo	LLGoFullLTOGlobalDCEPlugin	411512697495	603975217000	7239654000
IXGo	LLGoDeadcodeDrop	152373749491	419491510000	6614972000
IXGo	LLGoNoLTO	151983635185	406174887000	6598732000
Etcdctl	LLGoFullLTOGlobalDCE	169727798904	279557251000	5299859000
Etcdctl	LLGoFullLTONoGlobalDCE	169887118539	278239920000	5425646000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	164606615595	271699444000	5352551000
Etcdctl	LLGoDeadcodeDrop	72116040154	213771748000	5081595000
Etcdctl	LLGoNoLTO	68663606844	205015693000	4672138000
XGo	LLGoFullLTOGlobalDCE	126470074063	174105407000	3409447000
XGo	LLGoFullLTOGlobalDCEPlugin	123238961666	170078472000	3496219000
XGo	LLGoFullLTONoGlobalDCE	123412905451	169160260000	3305884000
Aws_restjson	LLGoFullLTONoGlobalDCE	138480818120	168912636000	2616234000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	120326926745	151215195000	2363019000
Aws_restjson	LLGoFullLTOGlobalDCE	118609444218	149856166000	2414514000
Uber_zap	LLGoFullLTONoGlobalDCE	85176741849	107460531000	1823172000
K8s_workqueue	LLGoFullLTOGlobalDCE	83809695725	103991083000	1846114000
XGo	LLGoDeadcodeDrop	41015604030	101658703000	2995059000
K8s_workqueue	LLGoFullLTONoGlobalDCE	83028752507	102710502000	1811524000
XGo	LLGoNoLTO	39987226732	99092983000	2875305000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	74257645383	96680856000	1741281000
Uber_zap	LLGoFullLTOGlobalDCE	71805858442	93991604000	1774126000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	68221172044	88418742000	1774431000
Aws_restjson	LLGoDeadcodeDrop	43271811742	82313991000	2191028000
Aws_restjson	LLGoNoLTO	40017721570	77134866000	2077132000
Gorm_schema	LLGoFullLTOGlobalDCE	46838850601	63483407000	1405385000
Gorm_schema	LLGoFullLTONoGlobalDCE	44870337791	60580286000	1268216000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	36602178008	53453311000	1311381000
Uber_zap	LLGoDeadcodeDrop	24543636703	52635855000	1572266000
Uber_zap	LLGoNoLTO	23932104260	51341896000	1420685000
Toml	LLGoFullLTONoGlobalDCE	40491420015	50192087000	1036676000
K8s_workqueue	LLGoDeadcodeDrop	22322632621	44941658000	1470460000
K8s_workqueue	LLGoNoLTO	22053970123	44625618000	1445904000
IXGo	Go	12897216444	40936466000	3275946000
Toml	LLGoFullLTOGlobalDCE	32807637758	43065524000	1023034000
Toml	LLGoFullLTOGlobalDCEPlugin	32802781772	43022591000	1013890000
Dustin_humanize	LLGoFullLTONoGlobalDCE	28663947003	34448893000	823732000
Gorm_schema	LLGoDeadcodeDrop	12521951621	34084993000	1148690000
Gorm_schema	LLGoNoLTO	12140855016	33269410000	1178997000
Etcdctl	Go	10112011446	31394960000	2170842000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	18451721987	24380213000	715101000
Dustin_humanize	LLGoFullLTOGlobalDCE	18034694693	23884571000	748907000
Toml	LLGoNoLTO	7925544853	20455513000	906614000
Toml	LLGoDeadcodeDrop	8035194106	20350946000	922134000
XGo	Go	5376821947	17003126000	1244042000
Dustin_humanize	LLGoDeadcodeDrop	5482985618	11634939000	678062000
Dustin_humanize	LLGoNoLTO	5207824945	11414924000	611495000
Aws_restjson	Go	3131099076	6886336000	704248000
Gorm_schema	Go	2136224995	5157017000	404438000
Uber_zap	Go	2078940938	4862400000	440757000
K8s_workqueue	Go	1715559652	4169977000	534152000
Toml	Go	905067161	1733670000	236588000
Dustin_humanize	Go	403002014	667917000	160598000
