benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	412657456557	467173794000	7934830000
Etcdctl	LLGoFullLTONoGlobalDCE	380307447650	428068027000	6799780000
IXGo	LLGoFullLTOGlobalDCE	374878833152	411734029000	5124355000
IXGo	LLGoFullLTONoGlobalDCE	377976984687	408911842000	5382289000
IXGo	LLGoNoLTO	268747647268	310089883000	4000133000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	254886202265	290389123000	3548999000
Etcdctl	LLGoFullLTOGlobalDCE	253847858515	289620853000	3300835000
IXGo	LLGoDeadcodeDrop	251456328882	287914033000	4528579000
XGo	LLGoFullLTONoGlobalDCE	205341111487	233430750000	4277829000
Etcdctl	LLGoDeadcodeDrop	188239447861	212789099000	3397345000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	203320991298	203391015000	4405453000
XGo	LLGoFullLTOGlobalDCE	166697201288	191458776000	2793517000
K8s_workqueue	LLGoFullLTOGlobalDCE	179492403163	180791274000	3516441000
XGo	LLGoFullLTOGlobalDCEPlugin	164508022927	180643888000	3134042000
Aws_restjson	LLGoFullLTONoGlobalDCE	133392357961	148383758000	2449584000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	132552248537	138426018000	2514220000
Uber_zap	LLGoFullLTONoGlobalDCE	127017460479	130120443000	2617140000
Aws_restjson	LLGoFullLTOGlobalDCE	112287931745	128453482000	2293284000
Aws_restjson	LLGoDeadcodeDrop	107790264550	126297424000	2648586000
XGo	LLGoDeadcodeDrop	100062916169	119861012000	2575056000
Toml	LLGoNoLTO	116026340022	106310287000	2767163000
K8s_workqueue	LLGoFullLTONoGlobalDCE	98869592795	106517832000	2357032000
Uber_zap	LLGoFullLTOGlobalDCE	90838912192	101263518000	2455659000
K8s_workqueue	LLGoNoLTO	97096018024	99904557000	2538798000
Toml	LLGoDeadcodeDrop	101460345588	97662153000	2398498000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	79560838219	93498999000	2168804000
Gorm_schema	LLGoFullLTONoGlobalDCE	79028953942	82922712000	1763496000
XGo	LLGoNoLTO	52046428115	76668051000	2265546000
Gorm_schema	LLGoFullLTOGlobalDCE	74157484959	75163383000	1779370000
Etcdctl	LLGoNoLTO	38864288026	73869043000	2683117000
Toml	LLGoFullLTONoGlobalDCE	50205187261	56674785000	1361201000
Uber_zap	LLGoDeadcodeDrop	48586250363	55449783000	2200740000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	47864722943	53397685000	1541923000
Dustin_humanize	LLGoFullLTONoGlobalDCE	45118418968	47898263000	1416134000
Toml	LLGoFullLTOGlobalDCEPlugin	39331162484	45636365000	1310841000
Toml	LLGoFullLTOGlobalDCE	38877019728	45003818000	1365549000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	45702489960	44117827000	1460262000
K8s_workqueue	LLGoDeadcodeDrop	38506223487	40658293000	2255883000
Dustin_humanize	LLGoFullLTOGlobalDCE	40248264701	39887562000	1422982000
Uber_zap	LLGoNoLTO	30744087607	36152886000	2262419000
IXGo	Go	15336921548	34539622000	2315777000
Gorm_schema	LLGoDeadcodeDrop	26743056959	34816038000	1292318000
Aws_restjson	LLGoNoLTO	17681023829	33061242000	2024023000
Gorm_schema	LLGoNoLTO	26383562433	32326104000	1397210000
Etcdctl	Go	14175554545	17821284000	827104000
Dustin_humanize	LLGoDeadcodeDrop	10942303573	15371596000	1131662000
Dustin_humanize	LLGoNoLTO	13391911070	13744839000	1213134000
XGo	Go	3467722121	8296318000	506531000
Uber_zap	Go	9534854458	6286674000	459288000
Gorm_schema	Go	3435533327	5777871000	319995000
Aws_restjson	Go	2061421812	4629418000	394817000
K8s_workqueue	Go	3290710217	2039677000	217093000
Dustin_humanize	Go	553580531	628345000	96519000
Toml	Go	390592935	440828000	110286000
