benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	297856440510	495987080000	9263996000
IXGo	LLGoFullLTOGlobalDCE	275450764157	387461787000	5761500000
IXGo	LLGoFullLTONoGlobalDCE	265616096455	370945246000	5514317000
Etcdctl	LLGoFullLTONoGlobalDCE	210651234458	333603130000	5775546000
Etcdctl	LLGoFullLTOGlobalDCE	202218319114	305079945000	4021187000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	200818083495	303224426000	4109940000
IXGo	LLGoDeadcodeDrop	92804997324	292591437000	5042778000
Etcdctl	LLGoDeadcodeDrop	61464984804	206303929000	3514849000
Aws_restjson	LLGoFullLTOGlobalDCE	114308705587	204207979000	3956674000
Uber_zap	LLGoFullLTONoGlobalDCE	118249055830	200974481000	4659375000
Etcdctl	LLGoNoLTO	59672403099	201443619000	3410323000
XGo	LLGoFullLTOGlobalDCE	138454400934	192863601000	3643819000
XGo	LLGoFullLTONoGlobalDCE	139902920549	187896163000	3173944000
Uber_zap	LLGoDeadcodeDrop	54958257513	177988729000	3195437000
XGo	LLGoFullLTOGlobalDCEPlugin	126860989026	158787422000	3202044000
Aws_restjson	LLGoFullLTONoGlobalDCE	119163165284	147767610000	2890397000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	91616166200	119823898000	2725414000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	78725732331	95894292000	2401801000
K8s_workqueue	LLGoFullLTONoGlobalDCE	78618163411	93921696000	2463138000
K8s_workqueue	LLGoFullLTOGlobalDCE	77604133192	92839150000	2404269000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	70487564598	92113000000	2447875000
Uber_zap	LLGoFullLTOGlobalDCE	68037728945	89141599000	2372407000
Gorm_schema	LLGoFullLTOGlobalDCE	50875777241	67278860000	1778451000
IXGo	LLGoNoLTO	23672468324	65121030000	3782976000
XGo	LLGoDeadcodeDrop	24448559502	65080695000	2773984000
Aws_restjson	LLGoDeadcodeDrop	27934821011	64485190000	2367046000
Gorm_schema	LLGoFullLTONoGlobalDCE	50437072349	64156671000	1560123000
Toml	LLGoFullLTONoGlobalDCE	44852282437	54036131000	1428340000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	37387668342	51415635000	1487350000
Toml	LLGoFullLTOGlobalDCEPlugin	37551234669	46895335000	1471572000
Toml	LLGoFullLTOGlobalDCE	35056362197	45584745000	1484444000
XGo	LLGoNoLTO	16387418663	40416585000	2432401000
Dustin_humanize	LLGoFullLTONoGlobalDCE	35455871408	41238663000	1317418000
Gorm_schema	LLGoNoLTO	11832093293	34360182000	1582355000
Dustin_humanize	LLGoFullLTOGlobalDCE	27725912862	33971176000	1387143000
IXGo	Go	10665016061	32483293000	2191851000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	26326737623	32367701000	1302486000
Gorm_schema	LLGoDeadcodeDrop	11047018489	31467596000	1566699000
K8s_workqueue	LLGoDeadcodeDrop	10493388696	28447109000	1985726000
Aws_restjson	LLGoNoLTO	10628168280	27984249000	2090560000
Uber_zap	LLGoNoLTO	9697054658	24881929000	2039143000
K8s_workqueue	LLGoNoLTO	8846951146	22538523000	1896207000
Toml	LLGoDeadcodeDrop	7048335729	17802762000	1258301000
Etcdctl	Go	5657570718	15776047000	736083000
Toml	LLGoNoLTO	5116684956	12238324000	1197539000
Dustin_humanize	LLGoDeadcodeDrop	4932277431	11141423000	1135737000
Dustin_humanize	LLGoNoLTO	4464656735	10351662000	1192318000
XGo	Go	3469315679	8493653000	446727000
Aws_restjson	Go	1921512552	4645430000	442318000
Gorm_schema	Go	1482465948	3241218000	174329000
Uber_zap	Go	1280348086	2730253000	217022000
K8s_workqueue	Go	959622271	2209010000	299157000
Dustin_humanize	Go	318943663	543753000	97483000
Toml	Go	303057111	440650000	105519000
