benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	318377757674	527527071000	9271099000
IXGo	LLGoFullLTOGlobalDCE	300461654394	432078547000	5827455000
IXGo	LLGoFullLTOGlobalDCEPlugin	292258727550	423703733000	6018245000
Etcdctl	LLGoFullLTOGlobalDCE	223636101882	351603217000	5865489000
Etcdctl	LLGoFullLTONoGlobalDCE	221383698993	326203556000	4425132000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	220884198509	325954962000	4212701000
IXGo	LLGoDeadcodeDrop	90227480169	280089803000	4955140000
Etcdctl	LLGoDeadcodeDrop	62189580927	208193834000	3437692000
Uber_zap	LLGoFullLTOGlobalDCE	105867336734	192147636000	4652088000
XGo	LLGoFullLTOGlobalDCE	140407692848	174592836000	3239636000
XGo	LLGoFullLTONoGlobalDCE	139331896904	171656957000	3358776000
XGo	LLGoFullLTOGlobalDCEPlugin	132707930791	165288430000	3187082000
Aws_restjson	LLGoFullLTONoGlobalDCE	117841232388	146674807000	2819424000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	86792222655	144987623000	3054423000
Aws_restjson	LLGoFullLTOGlobalDCE	105504965033	135310272000	2863094000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	101966616129	132192149000	2741647000
XGo	LLGoDeadcodeDrop	38934947676	121243015000	3286965000
Uber_zap	LLGoFullLTONoGlobalDCE	91505637371	112106842000	2664158000
K8s_workqueue	LLGoFullLTONoGlobalDCE	86438935723	101956449000	2372134000
K8s_workqueue	LLGoFullLTOGlobalDCE	84653172447	101316516000	2532557000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	84464548482	100584354000	2451960000
Toml	LLGoDeadcodeDrop	34676713900	98101103000	2477354000
K8s_workqueue	LLGoDeadcodeDrop	29850078939	89787147000	2748216000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	52429621492	89406432000	2517940000
Etcdctl	LLGoNoLTO	30872754287	87141583000	3419554000
Aws_restjson	LLGoDeadcodeDrop	31749887228	73911611000	2823182000
IXGo	LLGoNoLTO	24749939113	68035725000	3839137000
Gorm_schema	LLGoFullLTOGlobalDCE	53921143685	69043125000	1825997000
Gorm_schema	LLGoFullLTONoGlobalDCE	53929230210	68231177000	1675629000
Toml	LLGoFullLTONoGlobalDCE	47580003706	58689093000	1566766000
Toml	LLGoFullLTOGlobalDCEPlugin	38155570358	47803710000	1558384000
Toml	LLGoFullLTOGlobalDCE	37993138374	47905197000	1452329000
Dustin_humanize	LLGoFullLTONoGlobalDCE	38609759283	45046645000	1343658000
Uber_zap	LLGoDeadcodeDrop	15041282795	42621597000	2232371000
XGo	LLGoNoLTO	16747602624	41265683000	2453712000
Uber_zap	LLGoNoLTO	14235370456	41321684000	2099088000
IXGo	Go	11681706885	37437903000	2464400000
Gorm_schema	LLGoDeadcodeDrop	12081759021	36235117000	1490414000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	27621915337	33844846000	1288726000
Dustin_humanize	LLGoFullLTOGlobalDCE	26722311032	32730344000	1255364000
Aws_restjson	LLGoNoLTO	11225530029	28979927000	2229576000
K8s_workqueue	LLGoNoLTO	9352249516	23925682000	2005446000
Etcdctl	Go	5899624023	16384396000	836168000
Gorm_schema	LLGoNoLTO	5974317035	14755129000	1358800000
Toml	LLGoNoLTO	5249054988	12542101000	1280949000
Dustin_humanize	LLGoNoLTO	5031805808	11273395000	1207815000
Dustin_humanize	LLGoDeadcodeDrop	5055359859	11255401000	1151964000
XGo	Go	2539738555	6240686000	377351000
Aws_restjson	Go	1992012418	4782847000	398126000
Gorm_schema	Go	1560125408	3374693000	187303000
Uber_zap	Go	1390451039	2857955000	249514000
K8s_workqueue	Go	895239318	1751756000	205111000
Toml	Go	377904051	599239000	164202000
Dustin_humanize	Go	339704610	575636000	98260000
