benchmark	configuration	real-ns	user-ns	sys-ns
Aws_restjson	LLGoNoLTO	195065154435	194697831000	9972555000
Aws_restjson	LLGoFullLTOGlobalDCE	181227730792	193986233000	4924990000
Aws_restjson	LLGoFullLTONoGlobalDCE	166776054179	175245867000	2895827000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	156838287444	158602774000	3021303000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	133921103569	146110833000	4177912000
Uber_zap	LLGoFullLTONoGlobalDCE	122577283999	129538693000	2382613000
K8s_workqueue	LLGoFullLTONoGlobalDCE	115857760397	127459608000	2537782000
K8s_workqueue	LLGoFullLTOGlobalDCE	105253139663	111739458000	2265367000
Uber_zap	LLGoFullLTOGlobalDCE	98384710813	106586890000	2273403000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	89969786122	102541701000	2107223000
Gorm_schema	LLGoFullLTOGlobalDCE	88053256934	83580807000	1782446000
Toml	LLGoFullLTONoGlobalDCE	87276661669	89805133000	3049324000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	79952150365	75287287000	1792950000
Gorm_schema	LLGoFullLTONoGlobalDCE	62719335406	69480767000	1604029000
Toml	LLGoFullLTOGlobalDCE	60336213994	60665775000	1390135000
Dustin_humanize	LLGoFullLTONoGlobalDCE	57795527973	58023433000	1179425000
Toml	LLGoFullLTOGlobalDCEPlugin	53300119149	54702971000	1321745000
K8s_workqueue	LLGoNoLTO	42917765940	44208267000	2398852000
Dustin_humanize	LLGoFullLTOGlobalDCE	42631533211	42667079000	1180407000
Uber_zap	LLGoNoLTO	31665558187	44876625000	2126431000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	30013827883	33615488000	1051513000
Gorm_schema	LLGoNoLTO	27922408865	35034408000	1769791000
Toml	LLGoNoLTO	13990190762	20230778000	1237491000
Dustin_humanize	LLGoNoLTO	9849823007	13632953000	988053000
Aws_restjson	Go	1249104663	933708000	109690000
Uber_zap	Go	804367039	815279000	125526000
Toml	Go	622014935	547886000	77764000
K8s_workqueue	Go	544694736	692613000	98721000
Gorm_schema	Go	476395227	551236000	82525000
Dustin_humanize	Go	439290200	443686000	90246000
