benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoNoLTO	149700438876	479930283000	9362610000
IXGo	LLGoFullLTONoGlobalDCE	275838409228	401508997000	5622961000
IXGo	LLGoFullLTOGlobalDCE	266272666476	378284726000	5604462000
IXGo	LLGoFullLTOGlobalDCEPlugin	268938322162	374104566000	5559667000
Etcdctl	LLGoFullLTONoGlobalDCE	221953757188	345182021000	5846496000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	205512799209	309502232000	4144885000
Etcdctl	LLGoFullLTOGlobalDCE	204800663103	307675270000	4288891000
IXGo	LLGoDeadcodeDrop	85406092015	263196947000	4776174000
XGo	LLGoFullLTOGlobalDCEPlugin	155274474877	245837057000	4372275000
XGo	LLGoDeadcodeDrop	73881927891	237448916000	4039537000
Aws_restjson	LLGoFullLTONoGlobalDCE	135222328860	225731246000	4101916000
Etcdctl	LLGoDeadcodeDrop	60503094694	202521426000	3329732000
XGo	LLGoFullLTOGlobalDCE	134440825899	182519467000	3170150000
XGo	LLGoFullLTONoGlobalDCE	130800399503	160878355000	3071949000
K8s_workqueue	LLGoFullLTOGlobalDCE	94680625061	142508066000	3044268000
Aws_restjson	LLGoFullLTOGlobalDCE	97307340349	128890530000	2747602000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	97459762197	128684396000	2666140000
Uber_zap	LLGoFullLTONoGlobalDCE	87795948084	108589020000	2501560000
K8s_workqueue	LLGoFullLTONoGlobalDCE	80347672443	95799807000	2270179000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	79293578203	94970151000	2542256000
Uber_zap	LLGoFullLTOGlobalDCE	69218732342	90746429000	2498354000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	69312197382	90123970000	2508203000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	50616349623	86829689000	2361174000
Etcdctl	LLGoNoLTO	30281577876	85273634000	3126008000
Gorm_schema	LLGoFullLTONoGlobalDCE	52527592573	68023008000	1582907000
Gorm_schema	LLGoFullLTOGlobalDCE	49406886273	63474468000	1579213000
XGo	LLGoNoLTO	22839512760	62070608000	2576019000
Aws_restjson	LLGoDeadcodeDrop	26872059604	62166883000	2361367000
Aws_restjson	LLGoNoLTO	25788342952	60398258000	2340982000
Dustin_humanize	LLGoFullLTOGlobalDCE	36324305368	59084267000	1894111000
Toml	LLGoFullLTONoGlobalDCE	44545515849	53622192000	1497744000
Toml	LLGoFullLTOGlobalDCEPlugin	35623443812	45053895000	1388254000
Toml	LLGoFullLTOGlobalDCE	35571724386	45000467000	1405837000
Uber_zap	LLGoNoLTO	15214376021	42605400000	2296153000
Uber_zap	LLGoDeadcodeDrop	14390757570	41870181000	2206013000
Dustin_humanize	LLGoFullLTONoGlobalDCE	36124381357	41958774000	1284405000
IXGo	Go	11607137721	36673080000	2332619000
K8s_workqueue	LLGoDeadcodeDrop	12320496107	34180065000	2133675000
Gorm_schema	LLGoDeadcodeDrop	11291497371	34175145000	1502990000
K8s_workqueue	LLGoNoLTO	11874756725	32069971000	2139943000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	25827707289	31752216000	1235497000
Gorm_schema	LLGoNoLTO	10119774861	29236083000	1453822000
Toml	LLGoNoLTO	7830112170	19749623000	1381472000
Toml	LLGoDeadcodeDrop	7192180790	17910352000	1315483000
Etcdctl	Go	5642307337	15963627000	814142000
Dustin_humanize	LLGoDeadcodeDrop	4891677984	11041071000	1136784000
Dustin_humanize	LLGoNoLTO	4810632137	10870518000	1132646000
XGo	Go	2487066257	6011378000	413817000
Uber_zap	Go	2027830311	5392333000	438053000
Aws_restjson	Go	2029087367	4695288000	414492000
Gorm_schema	Go	1559710688	3311072000	201264000
K8s_workqueue	Go	811071672	1613454000	180585000
Dustin_humanize	Go	322288745	568416000	79797000
Toml	Go	314327551	471558000	101503000
