benchmark	configuration	real-ns	user-ns	sys-ns
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	253349500780	251278649000	5603344000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	239924533744	233937804000	6400099000
Uber_zap	LLGoNoLTO	231211778777	218592977000	14101706000
K8s_workqueue	LLGoFullLTOGlobalDCE	184137047698	183979713000	4887158000
Aws_restjson	LLGoFullLTONoGlobalDCE	180731510027	192106843000	3838712000
Aws_restjson	LLGoFullLTOGlobalDCE	166680289238	172368191000	3491963000
Uber_zap	LLGoFullLTONoGlobalDCE	129997701179	135098868000	3037077000
Uber_zap	LLGoFullLTOGlobalDCE	125220741300	129096695000	3071765000
Dustin_humanize	LLGoFullLTONoGlobalDCE	117816388594	108076931000	4018478000
Gorm_schema	LLGoFullLTOGlobalDCE	116822193095	112469131000	4236636000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	113934090806	118842442000	2924138000
Aws_restjson	LLGoNoLTO	109631965218	112982405000	4999030000
Toml	LLGoFullLTONoGlobalDCE	106190202484	101912982000	2371277000
K8s_workqueue	LLGoFullLTONoGlobalDCE	102943032197	112601724000	2639917000
Gorm_schema	LLGoFullLTONoGlobalDCE	69243748321	75700342000	1951553000
Toml	LLGoFullLTOGlobalDCE	68401707160	66969861000	1746349000
Gorm_schema	LLGoNoLTO	55662838238	52997750000	2843064000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	51495271744	58133630000	1714488000
Toml	LLGoFullLTOGlobalDCEPlugin	47686333211	51325507000	1559712000
Dustin_humanize	LLGoFullLTOGlobalDCE	35461555862	37988244000	1368536000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	35040196251	37653615000	1344816000
K8s_workqueue	LLGoNoLTO	26368827164	35926254000	2573172000
Toml	LLGoNoLTO	15584215899	21039777000	1519330000
Dustin_humanize	LLGoNoLTO	7726741439	12325762000	1216513000
Aws_restjson	Go	1360731015	958439000	153484000
Toml	Go	1062297844	718101000	212659000
K8s_workqueue	Go	567606670	653094000	146549000
Uber_zap	Go	548918019	622435000	137421000
Dustin_humanize	Go	510205633	423657000	97970000
Gorm_schema	Go	352150572	496362000	88839000
