benchmark	configuration	real-ns	user-ns	sys-ns
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	223064364890	227167774000	6253273000
Aws_restjson	LLGoFullLTONoGlobalDCE	211140858054	221512216000	5689047000
Uber_zap	LLGoNoLTO	158161504917	150790500000	9117253000
Aws_restjson	LLGoFullLTOGlobalDCE	117988338178	131477876000	2853486000
Uber_zap	LLGoFullLTOGlobalDCE	115268180275	123917439000	3149140000
Uber_zap	LLGoFullLTONoGlobalDCE	115207815646	123328440000	2647606000
K8s_workqueue	LLGoFullLTONoGlobalDCE	115171126547	119636101000	2864025000
Toml	LLGoNoLTO	114471016189	101852296000	6888850000
K8s_workqueue	LLGoFullLTOGlobalDCE	97284642362	106167212000	2487804000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	96022566346	105215088000	2619632000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	91030587302	99683935000	2531840000
Gorm_schema	LLGoFullLTOGlobalDCE	83109465885	88727046000	3479493000
Aws_restjson	LLGoNoLTO	81023672070	88131200000	3979004000
Gorm_schema	LLGoFullLTONoGlobalDCE	64144234495	70600622000	1740102000
Toml	LLGoFullLTONoGlobalDCE	57184542867	61064667000	1528225000
Toml	LLGoFullLTOGlobalDCE	55465210727	59104675000	1850481000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	54393685318	58570231000	1873572000
Toml	LLGoFullLTOGlobalDCEPlugin	45406255575	49395078000	1558976000
Dustin_humanize	LLGoFullLTONoGlobalDCE	41688239127	46016516000	1264913000
Dustin_humanize	LLGoFullLTOGlobalDCE	36857682947	37474232000	1467004000
K8s_workqueue	LLGoNoLTO	36220586971	40624728000	2725516000
Gorm_schema	LLGoNoLTO	32784732580	37638289000	2273402000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	29392547064	33636205000	1195513000
Dustin_humanize	LLGoNoLTO	13608420612	14693643000	1297031000
Aws_restjson	Go	832891860	879464000	148390000
K8s_workqueue	Go	714503354	763311000	110823000
Toml	Go	636551823	564136000	114735000
Dustin_humanize	Go	520509213	397885000	83636000
Uber_zap	Go	388950390	568650000	146874000
Gorm_schema	Go	350440102	563847000	136855000
