benchmark	configuration	real-ns	user-ns	sys-ns
Aws_restjson	LLGoNoLTO	216057243428	214147252000	12885037000
K8s_workqueue	LLGoFullLTONoGlobalDCE	188318282398	190584735000	5972506000
Aws_restjson	LLGoFullLTOGlobalDCE	163210636879	171000969000	3718222000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	150326962790	161209800000	3694272000
Aws_restjson	LLGoFullLTONoGlobalDCE	146233791896	158340441000	3017313000
Uber_zap	LLGoFullLTOGlobalDCE	135125460585	141558878000	3713504000
Gorm_schema	LLGoFullLTOGlobalDCE	119703654056	117288192000	4263861000
Uber_zap	LLGoFullLTONoGlobalDCE	115647223415	123527142000	2710041000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	110695046779	116804264000	2812398000
K8s_workqueue	LLGoFullLTOGlobalDCE	92336631510	103070633000	2465478000
Toml	LLGoFullLTOGlobalDCEPlugin	90053782506	89370595000	3831774000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	81394677641	94033724000	2402004000
Gorm_schema	LLGoFullLTONoGlobalDCE	71340488144	75793671000	1896082000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	67982045430	69397902000	1977656000
Toml	LLGoFullLTOGlobalDCE	56540412656	56997191000	1662399000
Dustin_humanize	LLGoFullLTONoGlobalDCE	53213265779	52297298000	1502664000
Toml	LLGoFullLTONoGlobalDCE	52265743825	57474615000	1532565000
Uber_zap	LLGoNoLTO	49577179984	56609670000	3100337000
Dustin_humanize	LLGoFullLTOGlobalDCE	43234368950	43011202000	1499131000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	33598362843	36593276000	1370541000
Gorm_schema	LLGoNoLTO	31395800514	36155784000	2207720000
K8s_workqueue	LLGoNoLTO	29989654485	36238027000	2585626000
Toml	LLGoNoLTO	16996541377	20800178000	1528956000
Dustin_humanize	LLGoNoLTO	14613570758	15536463000	1357869000
Aws_restjson	Go	1129993454	1014439000	204853000
K8s_workqueue	Go	837246562	720509000	142824000
Toml	Go	807413805	582441000	101986000
Uber_zap	Go	706814362	673868000	132336000
Dustin_humanize	Go	623788926	404200000	80241000
Gorm_schema	Go	319340009	465893000	99972000
