benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	573574001203	609963515000	17058986000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	442984049323	467618070000	11773675000
IXGo	LLGoFullLTOGlobalDCEPlugin	395179369946	425315406000	8312950000
IXGo	LLGoFullLTONoGlobalDCE	371775776218	405186691000	7860616000
IXGo	LLGoNoLTO	303664542320	327684532000	15954649000
Etcdctl	LLGoFullLTOGlobalDCE	278098236850	308255805000	5686445000
Etcdctl	LLGoFullLTONoGlobalDCE	275426966847	306676839000	5173006000
Etcdctl	LLGoNoLTO	218615044781	242841563000	10918217000
XGo	LLGoFullLTOGlobalDCEPlugin	181890468896	203582311000	4268693000
XGo	LLGoFullLTONoGlobalDCE	180437948807	202190534000	4218435000
Toml	LLGoFullLTONoGlobalDCE	174833748707	146237316000	4998952000
Toml	LLGoNoLTO	172995278640	133615990000	10185612000
XGo	LLGoFullLTOGlobalDCE	156017000182	185018321000	4303511000
Aws_restjson	LLGoFullLTONoGlobalDCE	149089568731	164445544000	3577958000
Aws_restjson	LLGoFullLTOGlobalDCE	124654681608	139105767000	2944786000
K8s_workqueue	LLGoFullLTONoGlobalDCE	118909355472	129671747000	3344336000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	112118432090	125154096000	2785713000
Uber_zap	LLGoFullLTONoGlobalDCE	105480671988	120464818000	2934460000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	95715110203	105655611000	2658859000
Gorm_schema	LLGoFullLTONoGlobalDCE	92244131410	89273918000	1971766000
K8s_workqueue	LLGoFullLTOGlobalDCE	89650211241	100529876000	2350054000
Aws_restjson	LLGoNoLTO	89407501013	91903536000	4748219000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	88784989938	99564331000	2355415000
XGo	LLGoNoLTO	87723814114	99032899000	5265442000
Uber_zap	LLGoFullLTOGlobalDCE	79466258261	91348149000	2434427000
Gorm_schema	LLGoFullLTOGlobalDCE	56006397468	62499329000	1727634000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	49199331598	58964827000	1993282000
Dustin_humanize	LLGoFullLTONoGlobalDCE	47611802825	49155253000	1425997000
Toml	LLGoFullLTOGlobalDCE	42959950295	48100600000	1437141000
Gorm_schema	LLGoNoLTO	41050756832	41263405000	2614208000
Toml	LLGoFullLTOGlobalDCEPlugin	39725727555	45283015000	1436882000
K8s_workqueue	LLGoNoLTO	36408796404	41148709000	2828452000
Dustin_humanize	LLGoFullLTOGlobalDCE	31706768704	34442939000	1314260000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	31618430484	35858257000	1461490000
Uber_zap	LLGoNoLTO	31460582051	43639217000	2533811000
IXGo	Go	11549749043	35963809000	2532333000
Dustin_humanize	LLGoNoLTO	7642679092	12100983000	1209863000
Etcdctl	Go	5747469100	15974647000	835102000
Gorm_schema	Go	5732888271	4073112000	253376000
XGo	Go	4101249551	6818442000	403246000
Aws_restjson	Go	1916858855	4642925000	417865000
K8s_workqueue	Go	1313416573	1811554000	417030000
Uber_zap	Go	1311225803	2734907000	243661000
Dustin_humanize	Go	543377083	644366000	108791000
Toml	Go	439760194	490120000	121709000
