benchmark	configuration	real-ns	user-ns	sys-ns
Etcdctl	LLGoFullLTOGlobalDCE	530849758416	518144925000	15002596000
IXGo	LLGoFullLTOGlobalDCE	449720905934	461710812000	13501995000
Etcdctl	LLGoDeadcodeDrop	470165263041	444783211000	25964117000
IXGo	LLGoFullLTOGlobalDCEPlugin	417603299621	452761323000	9950058000
IXGo	LLGoFullLTONoGlobalDCE	406594318551	427436859000	9463628000
XGo	LLGoFullLTOGlobalDCE	406291773216	376371753000	19152463000
IXGo	LLGoDeadcodeDrop	328790891189	336849871000	19329535000
IXGo	LLGoNoLTO	271491425940	316245111000	18564662000
XGo	LLGoDeadcodeDrop	351472505242	311147357000	21226753000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	301397840988	319431087000	7277858000
Etcdctl	LLGoFullLTONoGlobalDCE	289695145808	318910209000	6235189000
XGo	LLGoFullLTONoGlobalDCE	181838895521	202434816000	4605380000
XGo	LLGoFullLTOGlobalDCEPlugin	188534432873	195137193000	4649878000
Uber_zap	LLGoFullLTONoGlobalDCE	174402374974	185447101000	6823639000
Aws_restjson	LLGoFullLTONoGlobalDCE	171929771097	182717593000	4206071000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	142951270304	147607504000	4344507000
Aws_restjson	LLGoFullLTOGlobalDCE	120710378692	134028215000	3347220000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	114515631271	127419515000	3157155000
K8s_workqueue	LLGoFullLTOGlobalDCE	117458027089	115563899000	3234587000
K8s_workqueue	LLGoFullLTONoGlobalDCE	98947815025	110415424000	3048935000
Gorm_schema	LLGoFullLTONoGlobalDCE	105808879683	100000991000	2424598000
Uber_zap	LLGoFullLTOGlobalDCE	84535839860	94451519000	2859600000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	83207026750	93638330000	2919621000
Toml	LLGoFullLTONoGlobalDCE	91317970005	85097215000	2099644000
Gorm_schema	LLGoFullLTOGlobalDCE	75434180149	79429289000	2632122000
Etcdctl	LLGoNoLTO	49552239714	78028340000	3131105000
Aws_restjson	LLGoDeadcodeDrop	60291908357	71926073000	4131870000
XGo	LLGoNoLTO	58537542329	67261113000	3381271000
Dustin_humanize	LLGoFullLTONoGlobalDCE	65332134173	58883992000	1844345000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	52630693762	55962445000	3491700000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	59501329529	56097247000	2264622000
Uber_zap	LLGoDeadcodeDrop	47866035647	53659772000	3479147000
Toml	LLGoFullLTOGlobalDCE	41164480771	47548114000	1766926000
Toml	LLGoFullLTOGlobalDCEPlugin	44641283527	47427664000	1706131000
Gorm_schema	LLGoDeadcodeDrop	42308856677	42904775000	2916536000
Dustin_humanize	LLGoFullLTOGlobalDCE	36355575128	38377603000	1625611000
Gorm_schema	LLGoNoLTO	33135313709	36657563000	2640932000
Aws_restjson	LLGoNoLTO	32210610880	36599690000	2511895000
IXGo	Go	17643621541	33384332000	2871538000
Uber_zap	LLGoNoLTO	23154055358	32001957000	2307618000
K8s_workqueue	LLGoDeadcodeDrop	20469749949	30823061000	2640057000
K8s_workqueue	LLGoNoLTO	20333864501	30709149000	2643987000
Toml	LLGoDeadcodeDrop	30596821656	25927063000	2045352000
Toml	LLGoNoLTO	17109640522	20392918000	1701286000
Dustin_humanize	LLGoDeadcodeDrop	12665575153	16963284000	1584423000
Etcdctl	Go	5526138363	15238219000	991648000
Dustin_humanize	LLGoNoLTO	17072632629	13401022000	1502748000
XGo	Go	9496220046	9940034000	922655000
Aws_restjson	Go	1871088653	4437687000	454726000
Gorm_schema	Go	1490549100	3172055000	227530000
Uber_zap	Go	2289307292	3040649000	252540000
K8s_workqueue	Go	4173966402	2271372000	481786000
Dustin_humanize	Go	1334111550	684292000	155935000
Toml	Go	716036395	577494000	134316000
