benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	251288738459	356984301000	5586752000
IXGo	LLGoFullLTOGlobalDCEPlugin	249127680130	352647637000	5589396000
IXGo	LLGoFullLTONoGlobalDCE	245071785589	345143944000	5361563000
IXGo	LLGoNoLTO	88649236194	274416133000	4757910000
Etcdctl	LLGoFullLTOGlobalDCE	169280371884	261660593000	3946678000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	169113410792	261554636000	4028805000
Etcdctl	LLGoFullLTONoGlobalDCE	171727017342	261076727000	3827131000
IXGo	LLGoDeadcodeDrop	82726751651	250083800000	4875354000
XGo	LLGoFullLTOGlobalDCE	153524896613	247290927000	4238503000
XGo	LLGoFullLTONoGlobalDCE	155282340178	247203944000	4172410000
Etcdctl	LLGoDeadcodeDrop	58196519958	180820260000	3451214000
XGo	LLGoFullLTOGlobalDCEPlugin	128743045637	175748399000	3060435000
Etcdctl	LLGoNoLTO	56781756156	174637940000	3202563000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	93477805192	142684838000	2964616000
Aws_restjson	LLGoFullLTONoGlobalDCE	105878294335	137698335000	2722138000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	90070274386	118005393000	2651184000
Aws_restjson	LLGoFullLTOGlobalDCE	89671596051	116945540000	2639955000
K8s_workqueue	LLGoDeadcodeDrop	36139909486	111715345000	2978600000
XGo	LLGoDeadcodeDrop	35195355982	105753026000	2604534000
Uber_zap	LLGoFullLTONoGlobalDCE	83487645873	102522429000	2524066000
K8s_workqueue	LLGoFullLTONoGlobalDCE	80523944235	96708760000	2332331000
K8s_workqueue	LLGoFullLTOGlobalDCE	79760793728	96203810000	2329592000
Uber_zap	LLGoFullLTOGlobalDCE	70369720284	90333255000	2412364000
Gorm_schema	LLGoNoLTO	37048470401	90472638000	2085229000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	70493353297	90095019000	2437644000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	46758511176	79235977000	2077998000
Dustin_humanize	LLGoDeadcodeDrop	26134174812	67795443000	1706180000
Gorm_schema	LLGoFullLTOGlobalDCE	47664019393	65239528000	1548757000
Gorm_schema	LLGoFullLTONoGlobalDCE	48351814281	63024517000	1524400000
Aws_restjson	LLGoDeadcodeDrop	25961285745	60482995000	2393846000
Aws_restjson	LLGoNoLTO	25551375870	58921746000	2330573000
Toml	LLGoFullLTONoGlobalDCE	43675205028	52302922000	1400655000
Toml	LLGoFullLTOGlobalDCEPlugin	34537971406	43552871000	1381751000
Toml	LLGoFullLTOGlobalDCE	34549816922	43274726000	1394030000
XGo	LLGoNoLTO	17093356791	39772561000	2337190000
Uber_zap	LLGoDeadcodeDrop	14330536329	38913961000	2075549000
Dustin_humanize	LLGoFullLTONoGlobalDCE	34031278349	39426080000	1238389000
Uber_zap	LLGoNoLTO	13976435189	38431614000	2006965000
Gorm_schema	LLGoDeadcodeDrop	11299422430	32664198000	1379982000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	24015213608	29541099000	1231405000
Dustin_humanize	LLGoFullLTOGlobalDCE	24053234445	29470863000	1234289000
K8s_workqueue	LLGoNoLTO	9764692318	23294288000	1851673000
Toml	LLGoDeadcodeDrop	7875541586	18676403000	1207479000
Toml	LLGoNoLTO	7694064807	18447683000	1205782000
Dustin_humanize	LLGoNoLTO	4453679961	9634895000	1087943000
IXGo	Go	1380474731	1782920000	302047000
Etcdctl	Go	740760476	1100267000	181933000
XGo	Go	654868882	891199000	160738000
Aws_restjson	Go	535580911	668951000	156669000
K8s_workqueue	Go	389552420	586027000	144474000
Toml	Go	341173633	545905000	130139000
Uber_zap	Go	401925653	541046000	126663000
Gorm_schema	Go	350237774	433466000	108718000
Dustin_humanize	Go	191413698	294854000	65992000
