benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	554910818802	756140905000	7000177000
IXGo	LLGoFullLTOGlobalDCEPlugin	495188099074	677542474000	7101278000
IXGo	LLGoFullLTOGlobalDCE	443270243084	627967218000	7100727000
IXGo	LLGoNoLTO	142082818732	379765008000	6159413000
IXGo	LLGoDeadcodeDrop	140680538406	376212958000	6185812000
Etcdctl	LLGoFullLTONoGlobalDCE	169266291322	276745925000	4968896000
Etcdctl	LLGoFullLTOGlobalDCE	166659506328	275915652000	5317523000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	165602118858	272216090000	5000048000
Etcdctl	LLGoDeadcodeDrop	68576700178	202687589000	4567773000
Etcdctl	LLGoNoLTO	67591332579	201343516000	4582426000
XGo	LLGoFullLTOGlobalDCEPlugin	127421755533	175429334000	3457704000
XGo	LLGoFullLTOGlobalDCE	127412641754	175374243000	3412566000
XGo	LLGoFullLTONoGlobalDCE	124998024618	170761061000	3309965000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	132148039926	163771942000	2339753000
Aws_restjson	LLGoFullLTONoGlobalDCE	121318568227	152032720000	2388948000
Aws_restjson	LLGoFullLTOGlobalDCE	113971996397	145047442000	2178084000
Uber_zap	LLGoFullLTONoGlobalDCE	84212809782	106499739000	1807553000
K8s_workqueue	LLGoFullLTONoGlobalDCE	82517239379	101738619000	1607269000
XGo	LLGoDeadcodeDrop	39834961711	98726908000	2896434000
Uber_zap	LLGoFullLTOGlobalDCE	77088700712	99699356000	1703181000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	79751746100	99314351000	1737123000
XGo	LLGoNoLTO	39394000732	97763897000	2812846000
K8s_workqueue	LLGoFullLTOGlobalDCE	79039728484	98412864000	1775666000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	74059436081	96912446000	1713765000
Aws_restjson	LLGoDeadcodeDrop	39926099360	78542065000	2092944000
Aws_restjson	LLGoNoLTO	38144110416	74895051000	1917804000
Gorm_schema	LLGoFullLTOGlobalDCE	48167824239	64862910000	1524584000
Gorm_schema	LLGoFullLTONoGlobalDCE	44813162003	60548580000	1317129000
Uber_zap	LLGoNoLTO	24554489027	52378030000	1418575000
Uber_zap	LLGoDeadcodeDrop	24364547976	52355366000	1401537000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	35252345415	51514329000	1277508000
Toml	LLGoFullLTONoGlobalDCE	41475979085	51203347000	1054107000
K8s_workqueue	LLGoDeadcodeDrop	22458223200	45489781000	1427795000
K8s_workqueue	LLGoNoLTO	22042717404	44831007000	1347151000
Toml	LLGoFullLTOGlobalDCE	32725714977	42544045000	1023610000
IXGo	Go	12432111701	39593509000	3143452000
Toml	LLGoFullLTOGlobalDCEPlugin	31759958654	41601735000	912669000
Gorm_schema	LLGoDeadcodeDrop	12141797120	33669586000	1160286000
Gorm_schema	LLGoNoLTO	12015337480	33031797000	1067185000
Dustin_humanize	LLGoFullLTONoGlobalDCE	26645112725	32086573000	756634000
Etcdctl	Go	9846039588	30593392000	2207211000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	18343009575	24184231000	795828000
Dustin_humanize	LLGoFullLTOGlobalDCE	17611944920	23745970000	734726000
Toml	LLGoNoLTO	7779490001	20133382000	866165000
Toml	LLGoDeadcodeDrop	7820236053	19763585000	834666000
XGo	Go	5462098378	17085903000	1285364000
Dustin_humanize	LLGoDeadcodeDrop	5371338604	11608608000	671139000
Dustin_humanize	LLGoNoLTO	5211875071	11254487000	623355000
Aws_restjson	Go	3157326715	7052832000	678682000
Gorm_schema	Go	2204120563	5239468000	440329000
Uber_zap	Go	2025644411	4719767000	423121000
K8s_workqueue	Go	1725510173	4231275000	491077000
Toml	Go	921242062	1752630000	255156000
Dustin_humanize	Go	402258534	664665000	158492000
