benchmark	configuration	real-ns	user-ns	sys-ns
Etcdctl	LLGoFullLTOGlobalDCEPlugin	237607717688	412348842000	6445595000
IXGo	LLGoFullLTOGlobalDCEPlugin	276197551317	394610245000	5733277000
Etcdctl	LLGoFullLTOGlobalDCE	236127872836	392011567000	5163927000
IXGo	LLGoFullLTOGlobalDCE	269700765319	371322905000	5681172000
IXGo	LLGoFullLTONoGlobalDCE	263161212451	363022578000	5440316000
IXGo	LLGoNoLTO	99284818292	314075631000	6520444000
Etcdctl	LLGoFullLTONoGlobalDCE	205673067223	305045815000	3919411000
IXGo	LLGoDeadcodeDrop	90300507166	284050289000	5055837000
XGo	LLGoFullLTONoGlobalDCE	166162975997	271387576000	5100466000
Aws_restjson	LLGoNoLTO	74646760163	229139240000	4757955000
Aws_restjson	LLGoDeadcodeDrop	64430341742	209770444000	3559742000
Etcdctl	LLGoDeadcodeDrop	61138266604	204503999000	3461592000
XGo	LLGoFullLTOGlobalDCE	133201832071	180426481000	3133087000
XGo	LLGoFullLTOGlobalDCEPlugin	129181397176	160523867000	3159228000
Aws_restjson	LLGoFullLTONoGlobalDCE	110958933701	138409921000	2667385000
Aws_restjson	LLGoFullLTOGlobalDCE	95259370034	124484756000	2581715000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	94104013002	121832218000	2565941000
Uber_zap	LLGoFullLTONoGlobalDCE	87083974659	107437833000	2415543000
K8s_workqueue	LLGoFullLTONoGlobalDCE	81243531489	98634469000	2532376000
K8s_workqueue	LLGoFullLTOGlobalDCE	80533899885	96103277000	2509591000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	80206558855	96022175000	2307390000
Uber_zap	LLGoFullLTOGlobalDCE	69487096945	90136006000	2374153000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	68568367363	90027942000	2379993000
Etcdctl	LLGoNoLTO	30074353305	84253765000	3053759000
Gorm_schema	LLGoFullLTOGlobalDCE	49530802952	64920268000	1489650000
Gorm_schema	LLGoFullLTONoGlobalDCE	50270481022	63921695000	1600014000
XGo	LLGoDeadcodeDrop	23058057973	61821893000	2570648000
XGo	LLGoNoLTO	22427700628	61027278000	2518219000
Toml	LLGoFullLTONoGlobalDCE	47483794313	57317025000	1529770000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	37627220928	51632858000	1590590000
Uber_zap	LLGoNoLTO	16079353058	46700745000	2327048000
Toml	LLGoFullLTOGlobalDCE	35458996857	44864018000	1472063000
Toml	LLGoFullLTOGlobalDCEPlugin	35181079950	44358719000	1359301000
Uber_zap	LLGoDeadcodeDrop	14277439009	41484102000	2010186000
Dustin_humanize	LLGoFullLTONoGlobalDCE	35828138963	41493184000	1213300000
IXGo	Go	12388740470	39614267000	2526368000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	26897650938	35705640000	1296507000
Dustin_humanize	LLGoFullLTOGlobalDCE	26640206668	35323340000	1254903000
Gorm_schema	LLGoNoLTO	11912960054	34341906000	1671311000
K8s_workqueue	LLGoNoLTO	10975917770	29699786000	2244161000
Gorm_schema	LLGoDeadcodeDrop	10148331413	29464721000	1355361000
K8s_workqueue	LLGoDeadcodeDrop	10213222574	27325403000	1959910000
Toml	LLGoDeadcodeDrop	7116795277	18131392000	1288217000
Etcdctl	Go	5582728055	15965646000	762576000
Toml	LLGoNoLTO	4957640358	12011212000	1140140000
Dustin_humanize	LLGoNoLTO	4838109112	10862799000	1187177000
Dustin_humanize	LLGoDeadcodeDrop	4809375001	10755357000	1107166000
XGo	Go	2408418092	5949461000	369357000
Aws_restjson	Go	1871038134	4590320000	368678000
Gorm_schema	Go	1483563012	3230093000	190672000
Uber_zap	Go	1276637304	2727527000	195526000
Toml	Go	883718998	1678290000	227649000
K8s_workqueue	Go	801351914	1598880000	172882000
Dustin_humanize	Go	325437881	547900000	100726000
