benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	560429615074	592202545000	15329815000
IXGo	LLGoFullLTOGlobalDCEPlugin	381148300731	413996448000	8034898000
IXGo	LLGoFullLTOGlobalDCE	378823003040	408036997000	7878592000
Etcdctl	LLGoFullLTOGlobalDCE	349563142225	392042821000	9061963000
IXGo	LLGoNoLTO	310953029990	326595272000	15031840000
Etcdctl	LLGoFullLTONoGlobalDCE	287305784646	318780079000	5478365000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	278824348260	308162494000	5507401000
XGo	LLGoFullLTOGlobalDCEPlugin	265161995675	275236097000	6270993000
XGo	LLGoNoLTO	239147679708	239330886000	11507784000
XGo	LLGoFullLTOGlobalDCE	214001472149	221087883000	5347991000
K8s_workqueue	LLGoNoLTO	203973105909	176039225000	12147246000
Etcdctl	LLGoNoLTO	178992324062	206118507000	9197386000
XGo	LLGoFullLTONoGlobalDCE	167283952956	188737290000	3629170000
Uber_zap	LLGoFullLTOGlobalDCE	164583336210	153463958000	3537608000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	161709579553	165604244000	4164241000
K8s_workqueue	LLGoFullLTONoGlobalDCE	149987849518	149407530000	2792487000
K8s_workqueue	LLGoFullLTOGlobalDCE	149381498479	149313909000	3077287000
Aws_restjson	LLGoFullLTONoGlobalDCE	142753269440	153205746000	3051405000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	123502068640	120883959000	3112686000
Aws_restjson	LLGoFullLTOGlobalDCE	122262270138	133119828000	3075030000
Gorm_schema	LLGoFullLTOGlobalDCE	117516438545	104704175000	4366305000
Uber_zap	LLGoFullLTONoGlobalDCE	112786958388	123267340000	2777930000
Aws_restjson	LLGoNoLTO	99504421877	97592631000	4565478000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	94765868694	103873619000	2354737000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	86469240675	79219632000	3727779000
Gorm_schema	LLGoFullLTONoGlobalDCE	68388245114	72808131000	1817964000
Dustin_humanize	LLGoFullLTOGlobalDCE	56490867051	49853953000	1475753000
Toml	LLGoFullLTONoGlobalDCE	51526249605	56832308000	1448886000
Dustin_humanize	LLGoFullLTONoGlobalDCE	48935579529	50983303000	1480427000
Toml	LLGoFullLTOGlobalDCE	47137239763	50924992000	1563346000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	46329087191	53012774000	1730523000
Toml	LLGoFullLTOGlobalDCEPlugin	45151851515	48747378000	1443751000
Uber_zap	LLGoNoLTO	37248317718	46525312000	2739370000
IXGo	Go	33806249979	46097232000	2749307000
Toml	LLGoNoLTO	31980462105	29828527000	1968717000
Gorm_schema	LLGoNoLTO	30139064074	34187684000	2209993000
Dustin_humanize	LLGoNoLTO	20297043280	16996922000	1444907000
Aws_restjson	Go	19516172380	9232269000	624867000
Etcdctl	Go	11744237547	17266440000	835844000
XGo	Go	8742119432	7125205000	454412000
Gorm_schema	Go	7125154669	4137591000	246186000
K8s_workqueue	Go	2368521485	2026496000	223539000
Uber_zap	Go	1362578674	2854443000	192253000
Toml	Go	495985241	541864000	116190000
Dustin_humanize	Go	370836947	555150000	110131000
