benchmark	configuration	real-ns	user-ns	sys-ns
Aws_restjson	LLGoFullLTONoGlobalDCE	194869335076	204166734000	3520540000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	191301201908	190379226000	3451256000
Aws_restjson	LLGoFullLTOGlobalDCE	189436960412	188369933000	3263494000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	179395231103	184631210000	5009760000
Uber_zap	LLGoFullLTONoGlobalDCE	163248995120	171231483000	3376149000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	138235615558	134553981000	2738660000
Gorm_schema	LLGoFullLTONoGlobalDCE	119480896974	110111246000	1941942000
K8s_workqueue	LLGoFullLTOGlobalDCE	109142935470	116537642000	2306421000
Toml	LLGoNoLTO	107828330790	96522653000	6774921000
K8s_workqueue	LLGoFullLTONoGlobalDCE	95982922927	108542851000	2197941000
Dustin_humanize	LLGoFullLTONoGlobalDCE	92904614468	90947144000	2943794000
Aws_restjson	LLGoNoLTO	83439010233	92726858000	3427346000
Uber_zap	LLGoFullLTOGlobalDCE	75944760685	89727083000	1964107000
K8s_workqueue	LLGoNoLTO	69320412595	80305062000	4111380000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	65933504783	67435426000	1727714000
Toml	LLGoFullLTOGlobalDCEPlugin	58826082302	59901669000	1407795000
Toml	LLGoFullLTONoGlobalDCE	52908750405	58921781000	1314419000
Uber_zap	LLGoNoLTO	52583987150	59652737000	2689403000
Gorm_schema	LLGoFullLTOGlobalDCE	50260683564	57681822000	1259582000
Dustin_humanize	LLGoFullLTOGlobalDCE	46390899987	47182026000	1311322000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	39415624654	39746307000	1196966000
Toml	LLGoFullLTOGlobalDCE	37392030333	43448242000	1132185000
Gorm_schema	LLGoNoLTO	31223013491	37252419000	1965553000
Dustin_humanize	LLGoNoLTO	10029651818	13902615000	1072537000
Aws_restjson	Go	1425559764	952354000	132083000
Gorm_schema	Go	879377371	580822000	130179000
K8s_workqueue	Go	702742734	885046000	155237000
Uber_zap	Go	504401421	559791000	131610000
Dustin_humanize	Go	348694225	372539000	59238000
Toml	Go	304751744	447303000	77757000
