benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	346833983288	474632016000	5585788000
IXGo	LLGoFullLTOGlobalDCEPlugin	343223707813	473594383000	5654729000
IXGo	LLGoFullLTONoGlobalDCE	345388582273	468930177000	5381452000
IXGo	LLGoDeadcodeDrop	106985369511	264037935000	4772569000
IXGo	LLGoNoLTO	105462251713	260972998000	4674082000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	125638664098	196889247000	4005599000
Etcdctl	LLGoFullLTOGlobalDCE	122170180506	192411787000	4091700000
Etcdctl	LLGoFullLTONoGlobalDCE	118927432326	185791790000	3818485000
Etcdctl	LLGoDeadcodeDrop	47319667353	137171509000	3652177000
Etcdctl	LLGoNoLTO	45813202627	133292925000	3522514000
XGo	LLGoFullLTOGlobalDCEPlugin	95293919195	131376993000	2739099000
XGo	LLGoFullLTONoGlobalDCE	93610623611	127960442000	2501538000
XGo	LLGoFullLTOGlobalDCE	91780728783	127355426000	2633878000
Aws_restjson	LLGoFullLTONoGlobalDCE	92359507717	115163441000	1879674000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	85943115534	110397070000	1842221000
Aws_restjson	LLGoFullLTOGlobalDCE	83006582579	106639801000	1768147000
Uber_zap	LLGoFullLTONoGlobalDCE	59225075264	75968416000	1376814000
XGo	LLGoDeadcodeDrop	29022394209	73135037000	2261791000
XGo	LLGoNoLTO	28982983034	72902556000	2220551000
K8s_workqueue	LLGoFullLTOGlobalDCE	58616620569	73800303000	1268518000
K8s_workqueue	LLGoFullLTONoGlobalDCE	58653767924	73122374000	1352122000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	53359216283	70812594000	1409433000
Uber_zap	LLGoFullLTOGlobalDCE	51639857114	68148093000	1425651000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	48644309724	63173490000	1216568000
Aws_restjson	LLGoDeadcodeDrop	32088195191	61742768000	1646919000
Aws_restjson	LLGoNoLTO	30940399342	58388025000	1535492000
Gorm_schema	LLGoFullLTOGlobalDCE	32953778896	45321584000	1059694000
Gorm_schema	LLGoFullLTONoGlobalDCE	33503633831	44793046000	1059793000
Uber_zap	LLGoDeadcodeDrop	17177566344	37857881000	1175978000
Uber_zap	LLGoNoLTO	16682145510	37167946000	1233833000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	24215726597	35870882000	1034174000
Toml	LLGoFullLTONoGlobalDCE	29040946361	36042138000	851614000
K8s_workqueue	LLGoDeadcodeDrop	15597771892	32668543000	1091044000
K8s_workqueue	LLGoNoLTO	15402517710	32638872000	1092962000
Toml	LLGoFullLTOGlobalDCE	23056752569	30152149000	763582000
Toml	LLGoFullLTOGlobalDCEPlugin	22701062911	30084687000	748110000
IXGo	Go	8876893247	27714863000	2434087000
Gorm_schema	LLGoDeadcodeDrop	9168696694	24328194000	930497000
Gorm_schema	LLGoNoLTO	8950715380	24102695000	897969000
Dustin_humanize	LLGoFullLTONoGlobalDCE	19428441663	23422756000	596739000
Etcdctl	Go	7078905515	21813521000	1826092000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	13433311283	17891175000	581634000
Dustin_humanize	LLGoFullLTOGlobalDCE	12750178522	17089878000	612018000
Toml	LLGoDeadcodeDrop	5951924865	15015549000	688891000
Toml	LLGoNoLTO	5899692791	14833127000	695465000
XGo	Go	4303652389	13180374000	1065912000
Dustin_humanize	LLGoDeadcodeDrop	4646357773	9690686000	504168000
Dustin_humanize	LLGoNoLTO	4078928785	8686383000	499083000
Aws_restjson	Go	2357420472	5147213000	562274000
Gorm_schema	Go	1677482849	4022011000	313640000
Uber_zap	Go	1488859303	3506631000	349844000
K8s_workqueue	Go	1104223569	2790467000	342754000
Toml	Go	626003737	1238211000	139924000
Dustin_humanize	Go	274804103	459716000	105929000
