benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	243996279311	244596667000	6844005000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	210310365619	213134568000	7022544000
XGo	LLGoFullLTOGlobalDCE	191262600049	215733759000	6653941000
XGo	LLGoFullLTOGlobalDCEPlugin	187824867219	190788539000	4565723000
Aws_restjson	LLGoFullLTONoGlobalDCE	171579967352	188005257000	4266536000
XGo	LLGoFullLTONoGlobalDCE	164015907443	177854011000	3581941000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	159043807571	157486280000	3630480000
IXGo	LLGoFullLTOGlobalDCE	155137046334	161810216000	3246504000
IXGo	LLGoFullLTOGlobalDCEPlugin	148664601770	157075242000	3180437000
Uber_zap	LLGoFullLTOGlobalDCE	139070220303	137838865000	3257824000
Gorm_schema	LLGoNoLTO	130381688877	115314007000	8304185000
Toml	LLGoNoLTO	130297860933	112370761000	7651200000
Uber_zap	LLGoFullLTONoGlobalDCE	127506292086	132462501000	3037404000
K8s_workqueue	LLGoFullLTONoGlobalDCE	122894015985	127388916000	2832971000
Aws_restjson	LLGoFullLTOGlobalDCE	117731448037	130082408000	2861397000
IXGo	LLGoNoLTO	100058867833	108943880000	4559630000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	97864797615	105354638000	2634739000
K8s_workqueue	LLGoFullLTOGlobalDCE	94415757716	103708484000	2526217000
K8s_workqueue	LLGoNoLTO	87650271999	89861957000	4756785000
Aws_restjson	LLGoNoLTO	80981975340	86820137000	4378236000
Toml	LLGoFullLTONoGlobalDCE	76838098328	76864228000	1752574000
Gorm_schema	LLGoFullLTONoGlobalDCE	67361881354	71440066000	1816526000
XGo	LLGoNoLTO	65740274337	81843493000	4577180000
Gorm_schema	LLGoFullLTOGlobalDCE	64078222391	68550866000	1809720000
Toml	LLGoFullLTOGlobalDCEPlugin	56832841893	56383278000	1660759000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	55807121603	49608023000	1555192000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	52571364334	57111858000	1796758000
Dustin_humanize	LLGoFullLTONoGlobalDCE	48473604844	48772481000	1398614000
Toml	LLGoFullLTOGlobalDCE	44643611258	48021160000	1495262000
Uber_zap	LLGoNoLTO	36275902852	47032873000	2688536000
Dustin_humanize	LLGoFullLTOGlobalDCE	32164729301	35125537000	1322008000
Dustin_humanize	LLGoNoLTO	7818567480	12193743000	1159269000
XGo	Go	7655562336	7012264000	402977000
IXGo	Go	7599503295	14848365000	635798000
Aws_restjson	Go	5784670988	5604405000	475578000
Uber_zap	Go	4458150913	3425862000	255649000
K8s_workqueue	Go	2132319217	1951113000	190017000
Gorm_schema	Go	1485162484	3273100000	161952000
Dustin_humanize	Go	1030451187	710252000	102059000
Toml	Go	900077392	607817000	103824000
