benchmark	configuration	real-ns	user-ns	sys-ns
Aws_restjson	LLGoFullLTONoGlobalDCE	241223802306	245489363000	6236019000
Aws_restjson	LLGoFullLTOGlobalDCE	216354206682	221576507000	6422963000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	166405411206	175417905000	3763793000
Uber_zap	LLGoFullLTONoGlobalDCE	157674230742	157745741000	3244208000
K8s_workqueue	LLGoNoLTO	137834298710	133941742000	6918579000
Toml	LLGoFullLTOGlobalDCEPlugin	124718685698	116912503000	4705653000
Gorm_schema	LLGoFullLTOGlobalDCE	107914484965	103187667000	2340665000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	100903749600	109177393000	2735576000
K8s_workqueue	LLGoFullLTOGlobalDCE	100731048792	108733473000	2521147000
K8s_workqueue	LLGoFullLTONoGlobalDCE	100704459816	109077847000	2449843000
Dustin_humanize	LLGoNoLTO	92833792775	79938832000	7159305000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	88319229522	97685793000	2484509000
Uber_zap	LLGoFullLTOGlobalDCE	83028824850	95561441000	2463041000
Aws_restjson	LLGoNoLTO	69078914216	79435514000	3838473000
Gorm_schema	LLGoFullLTONoGlobalDCE	65825749656	72540325000	1787393000
Toml	LLGoFullLTONoGlobalDCE	56065722001	60573868000	1609957000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	48831945197	55650803000	1685002000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	45771888690	46040416000	1426415000
Toml	LLGoFullLTOGlobalDCE	44872825868	48992604000	1456883000
Dustin_humanize	LLGoFullLTOGlobalDCE	41639676016	42309996000	1394332000
Dustin_humanize	LLGoFullLTONoGlobalDCE	41071486494	45569431000	1264276000
Uber_zap	LLGoNoLTO	39192743076	48616976000	2755614000
Gorm_schema	LLGoNoLTO	32606247038	37243657000	2217145000
Toml	LLGoNoLTO	18031047611	21931788000	1614479000
Aws_restjson	Go	1197487314	964809000	162112000
K8s_workqueue	Go	857918082	761951000	129141000
Gorm_schema	Go	713462816	609324000	106108000
Toml	Go	465544290	530116000	86671000
Uber_zap	Go	382038379	558791000	113927000
Dustin_humanize	Go	268905224	399418000	121434000
