benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	296999943010	287789681000	6912109000
Aws_restjson	LLGoNoLTO	275169118955	258890753000	12027151000
Uber_zap	LLGoFullLTOGlobalDCE	257821200637	248452004000	7322335000
K8s_workqueue	LLGoNoLTO	256766823958	231279303000	14743978000
IXGo	LLGoFullLTOGlobalDCEPlugin	188393034355	194750637000	5096981000
IXGo	LLGoFullLTONoGlobalDCE	188042079405	194621246000	5077738000
XGo	LLGoFullLTONoGlobalDCE	187803798342	204177375000	4551945000
XGo	LLGoFullLTOGlobalDCE	171874689635	189853896000	4820672000
XGo	LLGoFullLTOGlobalDCEPlugin	169468997058	174500824000	4243888000
IXGo	LLGoNoLTO	150347581337	148360079000	5525241000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	150267975273	160943049000	3506921000
Aws_restjson	LLGoFullLTOGlobalDCE	147287272404	148783377000	3436538000
Aws_restjson	LLGoFullLTONoGlobalDCE	140892012081	150585938000	3016606000
Uber_zap	LLGoFullLTONoGlobalDCE	137104810919	137524628000	3065501000
K8s_workqueue	LLGoFullLTOGlobalDCE	126673037124	127444338000	2921671000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	123987175855	132915071000	3542667000
Gorm_schema	LLGoFullLTONoGlobalDCE	105266846720	99692026000	2286076000
XGo	LLGoNoLTO	103935227539	108037004000	5764792000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	101335101557	106565965000	2604958000
K8s_workqueue	LLGoFullLTONoGlobalDCE	96913993706	105665869000	2557701000
Gorm_schema	LLGoFullLTOGlobalDCE	94069810714	94052070000	2447283000
Toml	LLGoFullLTOGlobalDCE	59639733616	59962078000	1622611000
Dustin_humanize	LLGoFullLTONoGlobalDCE	57046196806	57375531000	1498225000
Toml	LLGoFullLTOGlobalDCEPlugin	56524272958	57181493000	1668202000
Toml	LLGoFullLTONoGlobalDCE	54916865887	59767332000	1654788000
Uber_zap	LLGoNoLTO	52842570752	59069605000	3301555000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	52762620678	57207824000	1866157000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	48880398554	48458984000	1431249000
Gorm_schema	LLGoNoLTO	28149042018	34609562000	2118438000
Dustin_humanize	LLGoFullLTOGlobalDCE	27703810073	32112339000	1236339000
Toml	LLGoNoLTO	17776489100	22767472000	1627881000
IXGo	Go	14752553242	18505083000	801802000
XGo	Go	11139054397	13342331000	817870000
Dustin_humanize	LLGoNoLTO	7935670904	12557265000	1210385000
Aws_restjson	Go	7788028378	8187738000	522569000
Gorm_schema	Go	6641527330	6056408000	352845000
Uber_zap	Go	6233643590	5934906000	366882000
Toml	Go	5197901863	2258500000	285811000
K8s_workqueue	Go	3315866439	2479525000	235450000
Dustin_humanize	Go	325015797	550022000	102362000
