benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	379880419259	409271202000	10081736000
IXGo	LLGoNoLTO	362259697501	365239701000	22616967000
IXGo	LLGoFullLTOGlobalDCEPlugin	313880318090	340998110000	7064635000
IXGo	LLGoFullLTOGlobalDCE	313221124246	337502264000	7230409000
Etcdctl	LLGoFullLTOGlobalDCE	306499019858	333801099000	9303164000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	298024304913	312591287000	6420176000
Etcdctl	LLGoFullLTONoGlobalDCE	284694674250	293459822000	5707142000
XGo	LLGoFullLTONoGlobalDCE	209999137771	218859870000	5268833000
Aws_restjson	LLGoFullLTONoGlobalDCE	201115844249	204146174000	4714013000
Etcdctl	LLGoNoLTO	193343471819	198398609000	9831207000
XGo	LLGoFullLTOGlobalDCE	181020329064	184933007000	4330195000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	146046429392	147504251000	5198167000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	143592916507	141316642000	3064399000
XGo	LLGoFullLTOGlobalDCEPlugin	137333263755	153478146000	3543202000
K8s_workqueue	LLGoFullLTONoGlobalDCE	123489333856	118700909000	2453660000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	113621095615	106301598000	2720699000
Aws_restjson	LLGoFullLTOGlobalDCE	106236706015	114141828000	2645701000
Gorm_schema	LLGoFullLTONoGlobalDCE	105517104621	92892413000	2931753000
Uber_zap	LLGoFullLTOGlobalDCE	96952235030	96586385000	2791329000
Dustin_humanize	LLGoFullLTONoGlobalDCE	89638676505	73550642000	3195129000
Gorm_schema	LLGoFullLTOGlobalDCE	85181470366	78360407000	1934484000
Uber_zap	LLGoFullLTONoGlobalDCE	83864049764	91608027000	2158827000
K8s_workqueue	LLGoFullLTOGlobalDCE	80760242812	86795567000	2123520000
XGo	LLGoNoLTO	79651170818	83341053000	4491338000
Toml	LLGoFullLTOGlobalDCEPlugin	56347935084	52261393000	1590383000
Toml	LLGoFullLTONoGlobalDCE	50787608766	51146364000	1416443000
Aws_restjson	LLGoNoLTO	46977722289	56820587000	3173590000
Gorm_schema	LLGoNoLTO	43797682452	39521399000	2395660000
Toml	LLGoFullLTOGlobalDCE	42637630595	43298559000	1495271000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	37518018252	42282542000	1487074000
Uber_zap	LLGoNoLTO	30771968226	37463840000	2417862000
IXGo	Go	29203320920	36989240000	2686583000
K8s_workqueue	LLGoNoLTO	27770791741	31272557000	2362454000
Dustin_humanize	LLGoFullLTOGlobalDCE	21925794843	25040658000	1005127000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	21885316959	24957193000	1079120000
Etcdctl	Go	12188163326	13979689000	863856000
Toml	LLGoNoLTO	11298419183	14931684000	1351982000
Gorm_schema	Go	6657956832	3282919000	235669000
Dustin_humanize	LLGoNoLTO	6421816001	9428967000	1050000000
XGo	Go	3077402873	4720775000	412360000
Aws_restjson	Go	2462093097	3867105000	389538000
Uber_zap	Go	1504947931	3913418000	280334000
K8s_workqueue	Go	1454790513	1491598000	195120000
Dustin_humanize	Go	385428689	476597000	95097000
Toml	Go	302038517	340209000	109934000
