benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	392537602739	576042914000	7179841000
IXGo	LLGoFullLTOGlobalDCE	388575295098	563137991000	7004970000
IXGo	LLGoFullLTONoGlobalDCE	387948021208	555941769000	6807958000
IXGo	LLGoDeadcodeDrop	129333457260	345128816000	6157759000
IXGo	LLGoNoLTO	125246320311	330939618000	6208281000
Etcdctl	LLGoFullLTOGlobalDCE	158193640460	249500909000	4984198000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	157103688098	249362133000	4874229000
Etcdctl	LLGoFullLTONoGlobalDCE	156531581156	245184773000	4974394000
Etcdctl	LLGoDeadcodeDrop	65027194849	181596469000	4391348000
Etcdctl	LLGoNoLTO	61504193523	177453727000	4225313000
XGo	LLGoFullLTONoGlobalDCE	124462974172	169603101000	3391198000
XGo	LLGoFullLTOGlobalDCEPlugin	123456719382	169448771000	3411731000
XGo	LLGoFullLTOGlobalDCE	122835540196	168406823000	3441288000
Aws_restjson	LLGoFullLTONoGlobalDCE	113538162366	142988377000	2236314000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	102373221716	133117072000	2427256000
Aws_restjson	LLGoFullLTOGlobalDCE	102412120373	133098287000	2392606000
Uber_zap	LLGoFullLTONoGlobalDCE	82089806939	103247281000	1582861000
XGo	LLGoDeadcodeDrop	39688772033	98198918000	2994736000
K8s_workqueue	LLGoFullLTONoGlobalDCE	79577424193	98703447000	1719956000
K8s_workqueue	LLGoFullLTOGlobalDCE	79657104884	98630011000	1779254000
XGo	LLGoNoLTO	40626959395	96981966000	2734499000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	71904248463	93933876000	1724725000
Uber_zap	LLGoFullLTOGlobalDCE	72145864886	93961830000	1693149000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	66894080209	87181837000	1678397000
Aws_restjson	LLGoNoLTO	40157784903	76683226000	2002419000
Aws_restjson	LLGoDeadcodeDrop	38122552783	75270591000	2019058000
Gorm_schema	LLGoFullLTONoGlobalDCE	44369495912	59693412000	1282171000
Gorm_schema	LLGoFullLTOGlobalDCE	43917520253	59577632000	1281769000
Uber_zap	LLGoDeadcodeDrop	24696638797	52806668000	1447963000
Uber_zap	LLGoNoLTO	24243427986	51931570000	1432600000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	33680120656	50109811000	1217154000
Toml	LLGoFullLTONoGlobalDCE	39038768463	48136259000	1012135000
K8s_workqueue	LLGoDeadcodeDrop	22963073334	45518208000	1428913000
K8s_workqueue	LLGoNoLTO	22944685936	45011692000	1371481000
IXGo	Go	12136168520	39303961000	3052127000
Toml	LLGoFullLTOGlobalDCEPlugin	31101583611	40635495000	982092000
Toml	LLGoFullLTOGlobalDCE	30837820561	40324228000	992733000
Gorm_schema	LLGoDeadcodeDrop	11933640154	33190070000	1103378000
Gorm_schema	LLGoNoLTO	11638360571	31855748000	1137588000
Dustin_humanize	LLGoFullLTONoGlobalDCE	25936890063	31340854000	784176000
Etcdctl	Go	9368043524	29225553000	2037972000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17124578491	22722965000	770528000
Dustin_humanize	LLGoFullLTOGlobalDCE	17116480518	22699594000	722036000
Toml	LLGoDeadcodeDrop	7541028859	19351185000	893861000
Toml	LLGoNoLTO	7592188516	19235561000	912007000
XGo	Go	5306394369	16920770000	1205684000
Dustin_humanize	LLGoDeadcodeDrop	5155305412	11381331000	618418000
Dustin_humanize	LLGoNoLTO	5005305212	10844593000	602235000
Aws_restjson	Go	3055076054	6867715000	697186000
Gorm_schema	Go	2074107984	5075363000	373481000
Uber_zap	Go	1964761005	4615014000	426245000
K8s_workqueue	Go	1586904478	4005629000	466758000
Toml	Go	893103524	1703748000	247529000
Dustin_humanize	Go	369700298	627878000	152429000
