benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	274727092933	395085033000	5774878000
IXGo	LLGoFullLTOGlobalDCE	273008282612	377324762000	5664173000
IXGo	LLGoFullLTONoGlobalDCE	264364861298	364586023000	5485956000
IXGo	LLGoNoLTO	103045610543	328748907000	7572077000
Etcdctl	LLGoFullLTONoGlobalDCE	207540647431	307171737000	3971925000
Etcdctl	LLGoFullLTOGlobalDCE	204029171432	306797561000	4021575000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	202555530228	303480195000	3884127000
XGo	LLGoFullLTONoGlobalDCE	162690393537	256102523000	4218702000
IXGo	LLGoDeadcodeDrop	80829448992	247977160000	4752587000
Etcdctl	LLGoDeadcodeDrop	65630060460	215073628000	3987828000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	118091381517	208545115000	3989372000
Uber_zap	LLGoNoLTO	64435564237	196266992000	4384785000
XGo	LLGoFullLTOGlobalDCE	139351095924	196253792000	3873500000
K8s_workqueue	LLGoFullLTOGlobalDCE	103312216912	170035197000	3625355000
XGo	LLGoDeadcodeDrop	50835636532	167969216000	2888781000
XGo	LLGoFullLTOGlobalDCEPlugin	130772188390	161793654000	3213605000
Aws_restjson	LLGoFullLTONoGlobalDCE	109341717694	137367889000	2673951000
Aws_restjson	LLGoFullLTOGlobalDCE	93100393316	123716954000	2611383000
Uber_zap	LLGoFullLTONoGlobalDCE	87736356603	110043967000	2524144000
Toml	LLGoDeadcodeDrop	33681375598	95667704000	2375083000
K8s_workqueue	LLGoFullLTONoGlobalDCE	79803191696	95108814000	2341453000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	78415666698	93752354000	2354127000
Uber_zap	LLGoFullLTOGlobalDCE	69325510307	90048351000	2501216000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	68427331526	88974016000	2441286000
Etcdctl	LLGoNoLTO	30067527247	84464846000	3190727000
Gorm_schema	LLGoFullLTONoGlobalDCE	50868434701	65733714000	1639228000
Gorm_schema	LLGoFullLTOGlobalDCE	49294014983	64827778000	1601746000
Aws_restjson	LLGoDeadcodeDrop	26293735591	61988904000	2438801000
Aws_restjson	LLGoNoLTO	25773158896	60206644000	2246643000
Toml	LLGoFullLTONoGlobalDCE	43671258441	52688581000	1433439000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	37530645059	51645193000	1589049000
Toml	LLGoFullLTOGlobalDCE	35286661019	44719096000	1459958000
Toml	LLGoFullLTOGlobalDCEPlugin	35092985214	44229817000	1392251000
Dustin_humanize	LLGoFullLTONoGlobalDCE	36454494538	42252121000	1274521000
Uber_zap	LLGoDeadcodeDrop	14310431981	40943838000	2264894000
XGo	LLGoNoLTO	16582737368	40506268000	2417139000
Gorm_schema	LLGoNoLTO	12380907606	34726818000	1667632000
IXGo	Go	10630147631	33077355000	2263641000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	26044933993	32040016000	1269003000
Etcdctl	Go	9805374510	30922341000	1783496000
Dustin_humanize	LLGoFullLTOGlobalDCE	25431431710	31364100000	1253066000
Gorm_schema	LLGoDeadcodeDrop	10193382153	29434434000	1413797000
K8s_workqueue	LLGoDeadcodeDrop	10473542047	27988967000	2130299000
K8s_workqueue	LLGoNoLTO	8888726235	22973653000	1845221000
Toml	LLGoNoLTO	4985669859	12002688000	1195605000
Dustin_humanize	LLGoNoLTO	4960570148	11090296000	1172644000
Dustin_humanize	LLGoDeadcodeDrop	4879142130	10898894000	1161708000
XGo	Go	3520032081	8551597000	534810000
Aws_restjson	Go	3004104631	7039718000	525523000
Gorm_schema	Go	1496448045	3255058000	193379000
Uber_zap	Go	1281089383	2721868000	216820000
K8s_workqueue	Go	805725802	1613562000	177375000
Dustin_humanize	Go	324336197	550364000	93814000
Toml	Go	299637697	434404000	102622000
