benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	531696296243	729387543000	7515463000
IXGo	LLGoFullLTONoGlobalDCE	494912078324	685326879000	7206367000
IXGo	LLGoFullLTOGlobalDCEPlugin	444855522308	632010042000	7638681000
IXGo	LLGoDeadcodeDrop	137609115732	383421433000	6810572000
IXGo	LLGoNoLTO	131116821712	365546377000	6505961000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	162384903194	256241880000	5276144000
Etcdctl	LLGoFullLTOGlobalDCE	160252895799	253748540000	5216376000
Etcdctl	LLGoFullLTONoGlobalDCE	159627056327	248817189000	4991534000
Etcdctl	LLGoDeadcodeDrop	65614690650	186547908000	4985857000
Etcdctl	LLGoNoLTO	64122652941	181924152000	4476063000
XGo	LLGoFullLTOGlobalDCEPlugin	129352136460	177228514000	3595991000
XGo	LLGoFullLTOGlobalDCE	124929151653	171488086000	3494439000
XGo	LLGoFullLTONoGlobalDCE	124563170738	169813665000	3463059000
Aws_restjson	LLGoFullLTONoGlobalDCE	134500162747	164635160000	2585413000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	110508707223	141738608000	2616185000
Aws_restjson	LLGoFullLTOGlobalDCE	105828914936	137086690000	2487992000
K8s_workqueue	LLGoFullLTONoGlobalDCE	85211432904	104556494000	1949728000
Uber_zap	LLGoFullLTONoGlobalDCE	82638432431	104041096000	1914451000
XGo	LLGoNoLTO	42229587168	100472701000	2923193000
XGo	LLGoDeadcodeDrop	41635188576	99897265000	2925717000
K8s_workqueue	LLGoFullLTOGlobalDCE	80256872488	99568257000	1970599000
Uber_zap	LLGoFullLTOGlobalDCE	72530292823	94513349000	1909047000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	72349583603	94445525000	1856983000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	65807793758	85725494000	1905992000
Aws_restjson	LLGoNoLTO	42821825536	79429656000	2154825000
Aws_restjson	LLGoDeadcodeDrop	40429306544	77560329000	2138379000
Gorm_schema	LLGoFullLTOGlobalDCE	46693293916	62705452000	1533168000
Gorm_schema	LLGoFullLTONoGlobalDCE	45201408338	60246463000	1462376000
Uber_zap	LLGoDeadcodeDrop	24988675982	53105561000	1635450000
Uber_zap	LLGoNoLTO	25547308353	52703132000	1582143000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	34897655974	50926475000	1417952000
Toml	LLGoFullLTONoGlobalDCE	39661786342	48979897000	1199160000
K8s_workqueue	LLGoNoLTO	23637525619	47105072000	1606015000
K8s_workqueue	LLGoDeadcodeDrop	23996953224	46256830000	1634900000
Toml	LLGoFullLTOGlobalDCEPlugin	33162867513	42886219000	1173988000
IXGo	Go	12320506092	39756410000	3215557000
Toml	LLGoFullLTOGlobalDCE	31467733758	40878511000	1135725000
Dustin_humanize	LLGoFullLTONoGlobalDCE	28001653459	33404244000	941779000
Gorm_schema	LLGoDeadcodeDrop	12322873238	32883286000	1244061000
Gorm_schema	LLGoNoLTO	12054634688	32360087000	1209666000
Etcdctl	Go	9710294767	29706175000	2112548000
Dustin_humanize	LLGoFullLTOGlobalDCE	17539731392	23389912000	888738000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17714847891	23280095000	903246000
Toml	LLGoDeadcodeDrop	7915701537	19672921000	1044037000
Toml	LLGoNoLTO	7955601804	19471182000	1026936000
XGo	Go	5466565060	17249865000	1262264000
Dustin_humanize	LLGoDeadcodeDrop	5580733927	11777474000	820576000
Dustin_humanize	LLGoNoLTO	5530915012	11334501000	842945000
Aws_restjson	Go	3068833446	6939837000	729926000
Gorm_schema	Go	2093466753	5083322000	443250000
Uber_zap	Go	2016695877	4706409000	440734000
K8s_workqueue	Go	1627932495	4070072000	487395000
Toml	Go	905614819	1712047000	265518000
Dustin_humanize	Go	372368485	621853000	164197000
