benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	307463055879	448698873000	9009074000
IXGo	LLGoFullLTOGlobalDCE	285723181639	403099025000	6575989000
Etcdctl	LLGoFullLTOGlobalDCE	236711206732	399169146000	7808068000
IXGo	LLGoFullLTONoGlobalDCE	265086768777	359768477000	6122290000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	211918766160	310006002000	4753635000
Etcdctl	LLGoFullLTONoGlobalDCE	211799236349	307516962000	4616129000
IXGo	LLGoDeadcodeDrop	92717259335	291410220000	5387202000
XGo	LLGoFullLTOGlobalDCEPlugin	180318269785	287604962000	6894853000
Etcdctl	LLGoDeadcodeDrop	58394520507	193811984000	3816276000
Aws_restjson	LLGoFullLTONoGlobalDCE	122773319039	189069534000	3424734000
XGo	LLGoFullLTONoGlobalDCE	136193772338	179100558000	3364264000
K8s_workqueue	LLGoDeadcodeDrop	53827435244	160717639000	4131549000
XGo	LLGoFullLTOGlobalDCE	127677752790	157339409000	3389121000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	101545241917	133992008000	3267283000
Aws_restjson	LLGoFullLTOGlobalDCE	95692395252	122511959000	3009061000
Uber_zap	LLGoFullLTONoGlobalDCE	86793291379	105792690000	2730604000
K8s_workqueue	LLGoFullLTONoGlobalDCE	81444518286	95575772000	2726708000
Gorm_schema	LLGoFullLTONoGlobalDCE	63073937647	94862180000	2678907000
Uber_zap	LLGoFullLTOGlobalDCE	70977680088	94458541000	2725727000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	79357123971	93807904000	2553722000
K8s_workqueue	LLGoFullLTOGlobalDCE	78482470472	92787651000	2546446000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	67915739590	86758419000	2646624000
Etcdctl	LLGoNoLTO	28060607354	78958012000	3131717000
Aws_restjson	LLGoNoLTO	27433598434	63831394000	2640093000
Gorm_schema	LLGoFullLTOGlobalDCE	49834038234	64410060000	1723082000
IXGo	LLGoNoLTO	22074606243	59831773000	3681527000
XGo	LLGoDeadcodeDrop	22818479761	59966741000	2767603000
Aws_restjson	LLGoDeadcodeDrop	26484339105	59909932000	2539853000
Toml	LLGoFullLTONoGlobalDCE	44774427901	53266236000	1603017000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	37609923184	50643263000	1731440000
Toml	LLGoFullLTOGlobalDCE	35360135811	44063720000	1564703000
Toml	LLGoFullLTOGlobalDCEPlugin	35482364864	44172687000	1436093000
Dustin_humanize	LLGoFullLTONoGlobalDCE	36285602411	41580546000	1317510000
XGo	LLGoNoLTO	16334660167	39893622000	2650157000
Uber_zap	LLGoDeadcodeDrop	13615687834	38854277000	2191463000
IXGo	Go	10564879368	33926259000	2454489000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	25410141503	30894418000	1331252000
Dustin_humanize	LLGoFullLTOGlobalDCE	25179914619	30471783000	1355954000
Gorm_schema	LLGoDeadcodeDrop	9818077327	28177583000	1437879000
Uber_zap	LLGoNoLTO	9352998674	23190498000	2204092000
K8s_workqueue	LLGoNoLTO	8558035291	21296847000	2023100000
Toml	LLGoDeadcodeDrop	7849928786	19580535000	1466791000
Etcdctl	Go	5573967136	15517864000	831852000
Gorm_schema	LLGoNoLTO	5629823602	13655871000	1446027000
Toml	LLGoNoLTO	4814001505	11165738000	1254644000
Dustin_humanize	LLGoNoLTO	4792248340	10627143000	1194015000
Dustin_humanize	LLGoDeadcodeDrop	4782999280	10121599000	1217600000
XGo	Go	2391774151	5753661000	414560000
Uber_zap	Go	1928338201	5114325000	423268000
Aws_restjson	Go	1890097359	4443526000	411540000
Gorm_schema	Go	1496370105	3164901000	214730000
K8s_workqueue	Go	821557515	1575771000	188700000
Dustin_humanize	Go	320648893	519437000	109721000
Toml	Go	311842305	425833000	121395000
