benchmark	configuration	real-ns	user-ns	sys-ns
Etcdctl	LLGoFullLTONoGlobalDCE	235857621322	364836902000	5309759000
Etcdctl	LLGoFullLTOGlobalDCE	229139569166	337791787000	3932327000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	227550870794	336826733000	3793891000
XGo	LLGoFullLTOGlobalDCEPlugin	155588909544	251150021000	3679584000
Aws_restjson	LLGoFullLTOGlobalDCE	120691355862	216560040000	3606029000
Etcdctl	LLGoDeadcodeDrop	62890769047	205165311000	2943503000
Uber_zap	LLGoFullLTONoGlobalDCE	116281135609	200195002000	4039785000
XGo	LLGoFullLTOGlobalDCE	130439715435	179423608000	2797213000
XGo	LLGoFullLTONoGlobalDCE	130556180383	177673466000	2644508000
Aws_restjson	LLGoFullLTONoGlobalDCE	112873004947	143804238000	2239508000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	97411791909	128284504000	2239340000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	77186645687	94448302000	2185368000
Etcdctl	LLGoNoLTO	32489003373	93139874000	2827826000
K8s_workqueue	LLGoFullLTONoGlobalDCE	76499089286	92571332000	1995947000
K8s_workqueue	LLGoFullLTOGlobalDCE	75416412172	91712021000	2016378000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	67885814748	91562792000	1957230000
Uber_zap	LLGoFullLTOGlobalDCE	66398204426	87981659000	2051083000
XGo	LLGoDeadcodeDrop	27027794276	74887064000	2869013000
Gorm_schema	LLGoFullLTOGlobalDCE	49996273178	69369665000	1648431000
Gorm_schema	LLGoFullLTONoGlobalDCE	48480419429	63798591000	1326207000
Aws_restjson	LLGoDeadcodeDrop	27597526095	62802695000	1900615000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	36833237528	52563334000	1333032000
Toml	LLGoFullLTONoGlobalDCE	41292862491	50658845000	1087978000
Uber_zap	LLGoDeadcodeDrop	14944100363	44979654000	1789646000
XGo	LLGoNoLTO	16876782334	42377753000	1988338000
Toml	LLGoFullLTOGlobalDCE	33080355343	42777837000	1135124000
Toml	LLGoFullLTOGlobalDCEPlugin	32989843201	42557862000	1152092000
Dustin_humanize	LLGoFullLTONoGlobalDCE	34008828506	40208710000	993636000
Dustin_humanize	LLGoFullLTOGlobalDCE	24635445482	30992062000	1035868000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	24329102328	30532157000	1040163000
Gorm_schema	LLGoDeadcodeDrop	10165405983	30162011000	1217024000
Aws_restjson	LLGoNoLTO	10928203338	29022142000	1798147000
K8s_workqueue	LLGoNoLTO	10172795473	28435455000	1598391000
Gorm_schema	LLGoNoLTO	9802986223	28724649000	1148378000
K8s_workqueue	LLGoDeadcodeDrop	10318753888	27859808000	1649179000
Uber_zap	LLGoNoLTO	9750645155	26005742000	1621667000
Toml	LLGoNoLTO	7060519470	18155255000	1108163000
Toml	LLGoDeadcodeDrop	7021834628	17812324000	1039991000
Etcdctl	Go	5381724724	15564022000	756460000
Dustin_humanize	LLGoDeadcodeDrop	4996167620	11559569000	959906000
Dustin_humanize	LLGoNoLTO	4152702139	10240668000	888569000
XGo	Go	3288684380	8221817000	464646000
Aws_restjson	Go	1856255360	4511260000	375925000
Gorm_schema	Go	1440874299	3184469000	172287000
Uber_zap	Go	1253939572	2740598000	205063000
Toml	Go	833258972	1686556000	176613000
K8s_workqueue	Go	770018982	1560187000	155723000
Dustin_humanize	Go	309033944	546072000	69162000
