benchmark	configuration	real-ns	user-ns	sys-ns
Aws_restjson	LLGoFullLTOGlobalDCE	208051931408	208386735000	5910244000
K8s_workqueue	LLGoFullLTONoGlobalDCE	165533784672	168120798000	6315330000
K8s_workqueue	LLGoNoLTO	163274816874	148691190000	10001891000
Aws_restjson	LLGoFullLTONoGlobalDCE	148304670573	161254039000	3274462000
Gorm_schema	LLGoNoLTO	119686503265	99952981000	9224301000
Uber_zap	LLGoFullLTOGlobalDCE	111208711277	115319037000	2863455000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	110370188093	115079067000	3044179000
Toml	LLGoFullLTOGlobalDCE	109608034700	102434311000	4080015000
Uber_zap	LLGoFullLTONoGlobalDCE	106807282844	118658791000	2888980000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	99977724276	112799860000	2536758000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	98441208539	103057443000	2891537000
K8s_workqueue	LLGoFullLTOGlobalDCE	90490555428	101006670000	2392777000
Aws_restjson	LLGoNoLTO	80462971776	86904246000	4615756000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	79200239561	78993303000	1882232000
Gorm_schema	LLGoFullLTOGlobalDCE	76949549918	76642908000	2247233000
Gorm_schema	LLGoFullLTONoGlobalDCE	68546212233	73391787000	2035999000
Toml	LLGoFullLTONoGlobalDCE	56521946007	60075835000	1746937000
Uber_zap	LLGoNoLTO	47706857588	52937134000	3387641000
Dustin_humanize	LLGoFullLTONoGlobalDCE	43187641105	46084310000	1360567000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	43160365539	42605028000	1559461000
Toml	LLGoFullLTOGlobalDCEPlugin	36814428155	41798771000	1445604000
Dustin_humanize	LLGoFullLTOGlobalDCE	30524431713	33395749000	1441807000
Toml	LLGoNoLTO	14412049825	19480830000	1660069000
Dustin_humanize	LLGoNoLTO	7680413882	11703209000	1300404000
Uber_zap	Go	1201312577	843254000	216462000
Aws_restjson	Go	789832716	875293000	149430000
Toml	Go	614170654	541261000	124759000
Dustin_humanize	Go	523460997	365104000	78975000
Gorm_schema	Go	473753764	536212000	111749000
K8s_workqueue	Go	401253661	569628000	131427000
