benchmark	configuration	real-ns	user-ns	sys-ns
Etcdctl	LLGoFullLTOGlobalDCE	202986907767	335303132000	6114578000
IXGo	LLGoFullLTOGlobalDCE	235486758547	333295024000	5036848000
IXGo	LLGoFullLTOGlobalDCEPlugin	232981060275	318601127000	5126434000
IXGo	LLGoNoLTO	108040203769	309062516000	6158503000
IXGo	LLGoFullLTONoGlobalDCE	223080890369	307789655000	4828759000
Etcdctl	LLGoFullLTONoGlobalDCE	174278440420	251849950000	3764139000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	170507360456	248034909000	3808842000
IXGo	LLGoDeadcodeDrop	72571400401	212709086000	4470918000
XGo	LLGoFullLTOGlobalDCEPlugin	134386041270	204996886000	3742808000
XGo	LLGoFullLTONoGlobalDCE	126395339445	190354001000	3836482000
Etcdctl	LLGoNoLTO	46056486608	152634593000	3109040000
Etcdctl	LLGoDeadcodeDrop	47577124974	152355667000	3056072000
K8s_workqueue	LLGoDeadcodeDrop	46216485786	136051696000	3909081000
XGo	LLGoFullLTOGlobalDCE	109339697138	133386197000	2741241000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	107008628865	128538166000	2385104000
Aws_restjson	LLGoFullLTONoGlobalDCE	95007300572	116520525000	2266296000
Aws_restjson	LLGoFullLTOGlobalDCE	81814833122	105025867000	2278847000
Uber_zap	LLGoFullLTONoGlobalDCE	76244917311	91986725000	2220382000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	69929061986	81504444000	2234666000
K8s_workqueue	LLGoFullLTOGlobalDCE	66027044786	79448872000	2109256000
XGo	LLGoDeadcodeDrop	26225579966	79192363000	2319075000
K8s_workqueue	LLGoFullLTONoGlobalDCE	65991083132	77116907000	1976335000
Toml	LLGoFullLTONoGlobalDCE	47570522251	73453668000	2141831000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	55737064312	70929682000	2089377000
Uber_zap	LLGoFullLTOGlobalDCE	55024530430	70046029000	2132030000
Aws_restjson	LLGoNoLTO	24141519103	51776805000	2326376000
Gorm_schema	LLGoFullLTONoGlobalDCE	41248745968	52746117000	1356001000
Aws_restjson	LLGoDeadcodeDrop	23002682189	51171854000	2007028000
Gorm_schema	LLGoFullLTOGlobalDCE	39435076910	49610878000	1428765000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	32063585415	46853152000	1452148000
Toml	LLGoFullLTOGlobalDCE	28650815041	35286980000	1228698000
Toml	LLGoFullLTOGlobalDCEPlugin	28313226044	35286900000	1180718000
Uber_zap	LLGoNoLTO	12288991313	34247719000	1991100000
Dustin_humanize	LLGoFullLTONoGlobalDCE	29218277804	33551292000	1085926000
Uber_zap	LLGoDeadcodeDrop	11263019806	31194284000	1773751000
XGo	LLGoNoLTO	12893751065	30438588000	1960287000
IXGo	Go	8869775392	25065261000	1937700000
Dustin_humanize	LLGoFullLTOGlobalDCE	20880220963	25158956000	1109163000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	20354160686	24608166000	1077372000
Gorm_schema	LLGoDeadcodeDrop	8033334512	22547086000	1259882000
Gorm_schema	LLGoNoLTO	7630881605	21510940000	1215643000
K8s_workqueue	LLGoNoLTO	7017436454	17522720000	1570378000
Toml	LLGoDeadcodeDrop	5983310364	14523681000	1113858000
Etcdctl	Go	4891568148	12026420000	714434000
Toml	LLGoNoLTO	3972041569	9123047000	1037819000
Dustin_humanize	LLGoDeadcodeDrop	3865039045	8316541000	924507000
Dustin_humanize	LLGoNoLTO	3753924047	8039076000	966964000
XGo	Go	2834706790	6531113000	438683000
Gorm_schema	Go	1684618277	4006574000	333106000
Aws_restjson	Go	1485725861	3515517000	333165000
Uber_zap	Go	1113122846	2222630000	220359000
K8s_workqueue	Go	674562803	1279593000	163262000
Dustin_humanize	Go	251095138	413730000	84846000
Toml	Go	262864894	346637000	102184000
