benchmark	configuration	real-ns	user-ns	sys-ns
Aws_restjson	LLGoFullLTOGlobalDCE	215894204302	222384058000	7485068000
Aws_restjson	LLGoFullLTONoGlobalDCE	196997084739	202476184000	4802782000
K8s_workqueue	LLGoFullLTONoGlobalDCE	166487439755	176226881000	6084552000
Uber_zap	LLGoFullLTONoGlobalDCE	159453364473	163304990000	3615987000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	140000640162	149935726000	4887475000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	122464248239	122537220000	3226589000
K8s_workqueue	LLGoFullLTOGlobalDCE	117428186304	122455621000	3387932000
Uber_zap	LLGoFullLTOGlobalDCE	116843809089	120474183000	3469131000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	116020166234	128858974000	3105947000
Uber_zap	LLGoNoLTO	103031512561	109124364000	6402908000
Aws_restjson	LLGoNoLTO	91932262494	93960806000	4694866000
Gorm_schema	LLGoNoLTO	90050972091	85878309000	7706536000
Dustin_humanize	LLGoNoLTO	80365932489	73867319000	7077997000
Toml	LLGoFullLTOGlobalDCEPlugin	80196125499	82909652000	3920218000
Toml	LLGoFullLTONoGlobalDCE	73398714798	74557023000	2084239000
Gorm_schema	LLGoFullLTONoGlobalDCE	72623893893	79363902000	2137230000
Toml	LLGoFullLTOGlobalDCE	70344691406	65689308000	1991828000
Dustin_humanize	LLGoFullLTONoGlobalDCE	69183815288	64338574000	1718764000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	68723638314	68115054000	2511477000
Gorm_schema	LLGoFullLTOGlobalDCE	64959697129	71644572000	2165861000
Toml	LLGoNoLTO	43926869664	44056969000	2906416000
K8s_workqueue	LLGoNoLTO	37776720073	42755325000	3354673000
Dustin_humanize	LLGoFullLTOGlobalDCE	31786362944	36097015000	1494476000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	27236183947	31384861000	1322531000
Uber_zap	Go	811321235	828359000	251805000
K8s_workqueue	Go	766381429	774598000	163517000
Toml	Go	646388854	582887000	124946000
Gorm_schema	Go	608594211	600238000	146469000
Aws_restjson	Go	521712955	761640000	167136000
Dustin_humanize	Go	195663746	265712000	87317000
