benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoNoLTO	422581894441	420797522000	20812987000
Etcdctl	LLGoFullLTONoGlobalDCE	419953472672	426515460000	8716633000
IXGo	LLGoFullLTOGlobalDCEPlugin	418120354330	446976807000	8617355000
Etcdctl	LLGoFullLTOGlobalDCE	414470285308	415949952000	9108377000
IXGo	LLGoFullLTONoGlobalDCE	403594135257	458870708000	10070509000
IXGo	LLGoFullLTOGlobalDCE	396069693231	430696360000	8354353000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	362510095725	391878685000	7757143000
XGo	LLGoFullLTOGlobalDCE	287251776249	318934470000	9343124000
XGo	LLGoFullLTONoGlobalDCE	250172521508	256891900000	5674016000
XGo	LLGoFullLTOGlobalDCEPlugin	242200000639	253942353000	5755125000
Aws_restjson	LLGoFullLTONoGlobalDCE	203934327035	207792129000	3673728000
Aws_restjson	LLGoNoLTO	187529709259	185109865000	8319693000
Etcdctl	LLGoNoLTO	186740978096	212016047000	9124263000
Uber_zap	LLGoFullLTONoGlobalDCE	185171711492	187367862000	4252025000
Aws_restjson	LLGoFullLTOGlobalDCE	164139605589	167735822000	3863022000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	141339960278	138054499000	3240741000
Gorm_schema	LLGoFullLTONoGlobalDCE	132626438528	126953922000	4224693000
Toml	LLGoFullLTONoGlobalDCE	129621866374	121518118000	4140244000
Gorm_schema	LLGoNoLTO	125668517530	113594971000	9435259000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	124716288576	137480073000	2953110000
XGo	LLGoNoLTO	114829238158	129064904000	6682066000
Toml	LLGoFullLTOGlobalDCEPlugin	107117900438	96311794000	4433608000
K8s_workqueue	LLGoFullLTONoGlobalDCE	102989691470	111118783000	2523144000
K8s_workqueue	LLGoFullLTOGlobalDCE	101271718278	109214644000	2535735000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	100026423829	109053722000	2655236000
Gorm_schema	LLGoFullLTOGlobalDCE	94585248013	88206422000	2183943000
Uber_zap	LLGoFullLTOGlobalDCE	91734579613	101046985000	2710457000
Dustin_humanize	LLGoFullLTONoGlobalDCE	78190896844	71212920000	1739289000
Toml	LLGoFullLTOGlobalDCE	76116234031	67527941000	1888000000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	70138514207	70439342000	2045730000
Uber_zap	LLGoNoLTO	54612952764	59247127000	3127498000
Dustin_humanize	LLGoFullLTOGlobalDCE	43398706348	42600818000	1358990000
K8s_workqueue	LLGoNoLTO	34652612505	40775634000	2877283000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	29329617738	33734673000	1277425000
IXGo	Go	24896775206	44295251000	2734049000
Toml	LLGoNoLTO	20941670524	23078427000	1654443000
Gorm_schema	Go	11099631079	6631428000	416537000
Aws_restjson	Go	11017932212	8986294000	595114000
Etcdctl	Go	9952133388	31490064000	1841753000
Dustin_humanize	LLGoNoLTO	8094241196	12595871000	1173451000
XGo	Go	5849133158	7178042000	420234000
Uber_zap	Go	2329871214	3158763000	239997000
K8s_workqueue	Go	1012257633	1660502000	183927000
Toml	Go	852244615	607166000	125525000
Dustin_humanize	Go	552900299	662724000	99090000
