benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	479901189182	658292431000	8325573000
IXGo	LLGoFullLTONoGlobalDCE	430303601940	634736337000	7901308000
IXGo	LLGoFullLTOGlobalDCE	394815703305	573923576000	8177260000
IXGo	LLGoDeadcodeDrop	141325269106	388474641000	7533136000
IXGo	LLGoNoLTO	143347781481	383380215000	7195457000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	168097437240	276835684000	6503214000
Etcdctl	LLGoFullLTOGlobalDCE	165550014852	272537757000	6228706000
Etcdctl	LLGoFullLTONoGlobalDCE	166091085128	271284003000	6047133000
Etcdctl	LLGoDeadcodeDrop	72576267596	210942901000	5877769000
Etcdctl	LLGoNoLTO	68910749570	203089844000	5539485000
XGo	LLGoFullLTOGlobalDCEPlugin	128376510403	176895899000	4517603000
XGo	LLGoFullLTONoGlobalDCE	125896630611	172828637000	4284599000
XGo	LLGoFullLTOGlobalDCE	125487727260	172478637000	4356152000
Aws_restjson	LLGoFullLTONoGlobalDCE	117441686239	147309116000	3265930000
Aws_restjson	LLGoFullLTOGlobalDCE	106818639629	137614983000	3422996000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	106320012728	137061544000	3194806000
Uber_zap	LLGoFullLTONoGlobalDCE	85294728413	106778993000	2793630000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	85493537663	105192000000	2808802000
XGo	LLGoDeadcodeDrop	43057820056	103711853000	3859512000
XGo	LLGoNoLTO	41646555953	99481118000	3775696000
K8s_workqueue	LLGoFullLTOGlobalDCE	80599563636	100191982000	2794576000
K8s_workqueue	LLGoFullLTONoGlobalDCE	80142553283	99317441000	2733049000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	73852892365	96415795000	2676962000
Uber_zap	LLGoFullLTOGlobalDCE	72590735880	94932910000	2712817000
Aws_restjson	LLGoDeadcodeDrop	41738384600	79656647000	3107280000
Aws_restjson	LLGoNoLTO	40344320046	76639934000	3043492000
Gorm_schema	LLGoFullLTONoGlobalDCE	45645052699	61247701000	1969127000
Gorm_schema	LLGoFullLTOGlobalDCE	44629038949	60488075000	1950713000
Uber_zap	LLGoDeadcodeDrop	25700215925	54634548000	2485032000
Uber_zap	LLGoNoLTO	25846862831	53489567000	2457632000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	35297659929	51593574000	1933666000
Toml	LLGoFullLTONoGlobalDCE	42402417170	51585079000	1725355000
K8s_workqueue	LLGoDeadcodeDrop	23671023222	46989561000	2491752000
K8s_workqueue	LLGoNoLTO	23309340408	46534100000	2438876000
Toml	LLGoFullLTOGlobalDCE	33795884436	43725742000	1597828000
IXGo	Go	12810940838	40755296000	3244476000
Toml	LLGoFullLTOGlobalDCEPlugin	32255796982	42011735000	1540060000
Gorm_schema	LLGoDeadcodeDrop	12888857078	34439660000	1805165000
Dustin_humanize	LLGoFullLTONoGlobalDCE	27948398633	33579629000	1473290000
Gorm_schema	LLGoNoLTO	12566873398	33135767000	1758210000
Etcdctl	Go	9889358741	30764296000	2264685000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	19538747178	25419310000	1366997000
Dustin_humanize	LLGoFullLTOGlobalDCE	18120928652	23792898000	1315551000
Toml	LLGoDeadcodeDrop	8822247214	20963709000	1506604000
Toml	LLGoNoLTO	8486461886	20391393000	1403067000
XGo	Go	5465146991	17263978000	1266655000
Dustin_humanize	LLGoDeadcodeDrop	5905784451	11914458000	1244414000
Dustin_humanize	LLGoNoLTO	5955896420	11930703000	1226788000
Aws_restjson	Go	3121325464	6900067000	740472000
Gorm_schema	Go	2111640205	5095361000	401725000
Uber_zap	Go	1987971751	4688993000	454967000
K8s_workqueue	Go	1603601748	3951936000	500299000
Toml	Go	907218279	1716127000	247358000
Dustin_humanize	Go	376521333	632128000	158292000
