benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	361302799278	515810208000	5943396000
IXGo	LLGoFullLTONoGlobalDCE	364835628284	515320202000	5560745000
IXGo	LLGoFullLTOGlobalDCE	359416242163	511587598000	5795311000
IXGo	LLGoDeadcodeDrop	114203892749	303693257000	5184536000
IXGo	LLGoNoLTO	115142581545	298866446000	5414438000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	147509728881	233638160000	4345955000
Etcdctl	LLGoFullLTOGlobalDCE	143447131786	227516472000	4322782000
Etcdctl	LLGoFullLTONoGlobalDCE	142872844977	224715349000	4220137000
Etcdctl	LLGoDeadcodeDrop	54039960246	161265670000	3945537000
Etcdctl	LLGoNoLTO	53934716673	160707164000	3865519000
XGo	LLGoFullLTOGlobalDCE	112434476613	157202774000	2926185000
XGo	LLGoFullLTONoGlobalDCE	112369704869	154423791000	2683454000
XGo	LLGoFullLTOGlobalDCEPlugin	110530839084	153773867000	2827510000
Aws_restjson	LLGoFullLTONoGlobalDCE	93620629073	121930039000	2025794000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	80845775575	110648903000	2071345000
Aws_restjson	LLGoFullLTOGlobalDCE	79662902749	108650691000	1951735000
Uber_zap	LLGoFullLTONoGlobalDCE	75800995873	96102717000	1533790000
XGo	LLGoDeadcodeDrop	34414813547	89912168000	2465673000
XGo	LLGoNoLTO	34079729732	89375912000	2492032000
K8s_workqueue	LLGoFullLTOGlobalDCE	70189350438	87789359000	1442968000
K8s_workqueue	LLGoFullLTONoGlobalDCE	70050258169	87460754000	1482838000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	63461343361	83857004000	1524987000
Uber_zap	LLGoFullLTOGlobalDCE	63698034907	83830538000	1495647000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	60993244569	79323863000	1568423000
Aws_restjson	LLGoNoLTO	35323415007	71467061000	1830947000
Aws_restjson	LLGoDeadcodeDrop	33944738755	69797025000	1681944000
Gorm_schema	LLGoFullLTONoGlobalDCE	38883853698	53843494000	1113734000
Gorm_schema	LLGoFullLTOGlobalDCE	37789778915	52768508000	1152483000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	30073954801	45786739000	1173956000
Uber_zap	LLGoDeadcodeDrop	19684362941	45610560000	1236064000
Uber_zap	LLGoNoLTO	19330905559	44115745000	1374481000
Toml	LLGoFullLTONoGlobalDCE	34414936082	43364023000	909607000
K8s_workqueue	LLGoDeadcodeDrop	17825855594	39084548000	1248708000
K8s_workqueue	LLGoNoLTO	17859930872	38669520000	1243630000
Toml	LLGoFullLTOGlobalDCE	28336492570	38037886000	872488000
Toml	LLGoFullLTOGlobalDCEPlugin	28048713075	37986238000	874116000
IXGo	Go	10559551201	34250319000	2909428000
Gorm_schema	LLGoDeadcodeDrop	10506029300	30781858000	1061787000
Gorm_schema	LLGoNoLTO	10228194241	30178764000	1111273000
Dustin_humanize	LLGoFullLTONoGlobalDCE	23624126999	29097341000	739554000
Etcdctl	Go	8018505763	25447636000	1761027000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	15470707434	21153118000	687389000
Dustin_humanize	LLGoFullLTOGlobalDCE	15003076960	20272458000	650826000
Toml	LLGoDeadcodeDrop	7321433821	19013893000	775634000
Toml	LLGoNoLTO	7228088919	18805622000	776973000
XGo	Go	4957041227	15208933000	1095735000
Dustin_humanize	LLGoDeadcodeDrop	5020772485	10691795000	580116000
Dustin_humanize	LLGoNoLTO	5073386152	10464136000	583977000
Aws_restjson	Go	2537139680	5837462000	611400000
Gorm_schema	Go	1788508642	4523036000	304117000
Uber_zap	Go	1828822683	4283774000	355897000
K8s_workqueue	Go	1362329400	3583054000	337126000
Toml	Go	742512658	1486013000	163996000
Dustin_humanize	Go	329950866	592431000	100800000
