benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	526572922226	534382312000	13539707000
IXGo	LLGoFullLTOGlobalDCEPlugin	452881650694	479641956000	11402091000
IXGo	LLGoNoLTO	439195527007	478384584000	27633193000
IXGo	LLGoFullLTONoGlobalDCE	411323137444	437699217000	9484124000
Etcdctl	LLGoFullLTONoGlobalDCE	331915969424	353162538000	7244392000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	312486379214	332057510000	6747300000
Etcdctl	LLGoFullLTOGlobalDCE	310827660669	344625418000	7281724000
Aws_restjson	LLGoFullLTOGlobalDCE	293698957366	286649244000	8112632000
Uber_zap	LLGoFullLTONoGlobalDCE	286454433088	273539457000	8839086000
XGo	LLGoFullLTONoGlobalDCE	279233273777	283346200000	7372485000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	274845148193	260370543000	8863023000
Etcdctl	LLGoNoLTO	259434385475	258722567000	13649981000
Uber_zap	LLGoFullLTOGlobalDCE	258160468057	247064462000	8466754000
Aws_restjson	LLGoFullLTONoGlobalDCE	186119161722	188080245000	3818187000
XGo	LLGoFullLTOGlobalDCEPlugin	166256074860	184548029000	4377575000
XGo	LLGoFullLTOGlobalDCE	159618696006	177738703000	4009876000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	159608293286	165706884000	3909212000
K8s_workqueue	LLGoFullLTONoGlobalDCE	134396700567	134764896000	3086890000
K8s_workqueue	LLGoFullLTOGlobalDCE	129688345024	131100087000	3191055000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	106743802302	109450555000	3024506000
Toml	LLGoFullLTONoGlobalDCE	97107220747	85672967000	2199707000
Gorm_schema	LLGoFullLTONoGlobalDCE	91443819385	90828566000	2346001000
Dustin_humanize	LLGoNoLTO	82126411557	63536502000	7522134000
Gorm_schema	LLGoFullLTOGlobalDCE	80103374548	79514496000	2198384000
XGo	LLGoNoLTO	78479245413	91407485000	5171421000
Aws_restjson	LLGoNoLTO	76408775865	81339960000	4465128000
Dustin_humanize	LLGoFullLTONoGlobalDCE	65373354452	62145126000	1711711000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	57226062913	63495436000	2339129000
Dustin_humanize	LLGoFullLTOGlobalDCE	52692993018	45490147000	1867500000
Toml	LLGoFullLTOGlobalDCE	42482984620	48479788000	1845012000
K8s_workqueue	LLGoNoLTO	42116291761	41300873000	3124306000
Toml	LLGoFullLTOGlobalDCEPlugin	40617967335	45742370000	1555338000
Gorm_schema	LLGoNoLTO	39215178216	38680311000	2815216000
Uber_zap	LLGoNoLTO	33169286881	44487702000	2983607000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	32727800372	35297728000	1385555000
Toml	LLGoNoLTO	31754175645	27581584000	2132669000
IXGo	Go	11270347540	34973617000	2681034000
Etcdctl	Go	9718713492	29888629000	2067885000
Aws_restjson	Go	9690753328	5786394000	826957000
XGo	Go	7824308500	6970877000	486531000
Gorm_schema	Go	5200997650	3951980000	254597000
Uber_zap	Go	5139136110	3419712000	449663000
K8s_workqueue	Go	3142070195	1983351000	228024000
Dustin_humanize	Go	342974070	551746000	109420000
Toml	Go	316790626	437233000	120210000
