benchmark	configuration	real-ns	user-ns	sys-ns
Aws_restjson	LLGoFullLTONoGlobalDCE	159757115190	165855450000	5035356000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	152402115193	148304025000	3649717000
Aws_restjson	LLGoFullLTOGlobalDCE	147812426180	143547319000	3555546000
K8s_workqueue	LLGoFullLTONoGlobalDCE	126565427435	121455629000	2705551000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	113661628235	108261574000	2911970000
Uber_zap	LLGoNoLTO	112463984686	114938389000	9089155000
Uber_zap	LLGoFullLTOGlobalDCE	107892517528	115114844000	4346650000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	102726148569	107919977000	2914157000
Uber_zap	LLGoFullLTONoGlobalDCE	83309189553	91561710000	2202517000
K8s_workqueue	LLGoFullLTOGlobalDCE	76815955587	82863308000	2241134000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	61615990449	63561279000	3085126000
Gorm_schema	LLGoFullLTOGlobalDCE	60587752810	58736491000	1817609000
Gorm_schema	LLGoFullLTONoGlobalDCE	54784124939	56973050000	1669623000
Aws_restjson	LLGoNoLTO	51952512104	60108080000	3352431000
Toml	LLGoFullLTONoGlobalDCE	41274718936	45378158000	1273995000
Dustin_humanize	LLGoFullLTONoGlobalDCE	36434044310	36752193000	1258318000
Dustin_humanize	LLGoFullLTOGlobalDCE	36331047226	33569037000	1248526000
Toml	LLGoFullLTOGlobalDCE	35151778695	37671615000	1271487000
Toml	LLGoFullLTOGlobalDCEPlugin	32114741487	35777607000	1252371000
K8s_workqueue	LLGoNoLTO	31218831720	32831353000	2478169000
Toml	LLGoNoLTO	22347660410	20739036000	1558410000
Gorm_schema	LLGoNoLTO	22203422985	26705416000	1921779000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	22020615591	25244600000	1094630000
Dustin_humanize	LLGoNoLTO	5768103652	8920719000	982388000
Uber_zap	Go	3526785392	595749000	248671000
K8s_workqueue	Go	1247243441	685814000	158052000
Aws_restjson	Go	1160708026	547750000	137430000
Dustin_humanize	Go	571174876	379685000	101166000
Toml	Go	338080792	392041000	92335000
Gorm_schema	Go	247135617	368019000	84248000
