benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	400723796997	561170881000	7040854000
IXGo	LLGoFullLTOGlobalDCEPlugin	397716569566	560430301000	7407419000
IXGo	LLGoFullLTONoGlobalDCE	393923913106	549415055000	7262568000
IXGo	LLGoNoLTO	133388326954	329342685000	6366312000
IXGo	LLGoDeadcodeDrop	126573239599	321310385000	6402627000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	160507784068	268777548000	5308949000
Etcdctl	LLGoFullLTONoGlobalDCE	162123285484	268425394000	5348615000
Etcdctl	LLGoFullLTOGlobalDCE	160304413552	267810414000	5721481000
Etcdctl	LLGoDeadcodeDrop	67998024930	201580924000	5295999000
Etcdctl	LLGoNoLTO	66663772433	200730004000	4880329000
XGo	LLGoFullLTOGlobalDCE	122709474793	170915284000	3692686000
XGo	LLGoFullLTONoGlobalDCE	122219997327	169732790000	3997635000
XGo	LLGoFullLTOGlobalDCEPlugin	120763337014	168834507000	3535368000
Aws_restjson	LLGoFullLTONoGlobalDCE	116174682067	146967419000	2805679000
Aws_restjson	LLGoFullLTOGlobalDCE	101095403246	133959408000	2677648000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	101678841929	132852729000	2736848000
Uber_zap	LLGoFullLTONoGlobalDCE	81431870316	103262132000	2327732000
XGo	LLGoDeadcodeDrop	38930289226	98122043000	3239365000
XGo	LLGoNoLTO	38663407168	97479059000	3242559000
K8s_workqueue	LLGoFullLTOGlobalDCE	77388282260	97461961000	2182411000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	76140310464	95599757000	2279679000
K8s_workqueue	LLGoFullLTONoGlobalDCE	75667739027	95401935000	2262243000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	69158557164	91923504000	2178574000
Uber_zap	LLGoFullLTOGlobalDCE	67526762847	89986211000	2142757000
Aws_restjson	LLGoDeadcodeDrop	38769728061	78635595000	2527919000
Aws_restjson	LLGoNoLTO	39231842375	77957141000	2604390000
Gorm_schema	LLGoFullLTONoGlobalDCE	44136806922	60005600000	1645718000
Gorm_schema	LLGoFullLTOGlobalDCE	43206387570	59382375000	1651655000
Uber_zap	LLGoDeadcodeDrop	23439692531	51161588000	2025495000
Uber_zap	LLGoNoLTO	23075029790	50964454000	1941758000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	33998588642	50330333000	1579287000
Toml	LLGoFullLTONoGlobalDCE	38641757564	48500364000	1286809000
K8s_workqueue	LLGoDeadcodeDrop	21668551202	44932676000	1972494000
K8s_workqueue	LLGoNoLTO	21221293464	43992324000	1944782000
Toml	LLGoFullLTOGlobalDCE	31755489748	41868620000	1305145000
Toml	LLGoFullLTOGlobalDCEPlugin	30617887994	40599047000	1266715000
IXGo	Go	11965882330	38238894000	3033795000
Gorm_schema	LLGoDeadcodeDrop	12533858455	33945998000	1514029000
Gorm_schema	LLGoNoLTO	12297512981	33224608000	1513628000
Dustin_humanize	LLGoFullLTONoGlobalDCE	26745718775	32586954000	1144059000
Etcdctl	Go	9138254450	29054150000	1893370000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17671980860	23594550000	1089051000
Dustin_humanize	LLGoFullLTOGlobalDCE	17365275636	23288625000	1050849000
Toml	LLGoDeadcodeDrop	8233356313	20378200000	1161433000
Toml	LLGoNoLTO	8181709238	20301719000	1201848000
XGo	Go	5225074791	16805103000	1142455000
Dustin_humanize	LLGoDeadcodeDrop	5679154264	12019995000	919995000
Dustin_humanize	LLGoNoLTO	5712825631	11918816000	986207000
Aws_restjson	Go	2984183668	6781955000	647229000
Gorm_schema	Go	2053014919	5028456000	395679000
Uber_zap	Go	1911454584	4642436000	382369000
K8s_workqueue	Go	1522039735	3993766000	394354000
Toml	Go	838783180	1690997000	183799000
Dustin_humanize	Go	335382114	625626000	106343000
