benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	461840923071	668459230000	6434609000
IXGo	LLGoFullLTOGlobalDCE	456128556410	659671082000	6797730000
IXGo	LLGoFullLTOGlobalDCEPlugin	450896624217	649061813000	6675042000
IXGo	LLGoDeadcodeDrop	143058026255	382605035000	5671647000
IXGo	LLGoNoLTO	142106405024	381740763000	5806532000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	168898101515	285544739000	4872675000
Etcdctl	LLGoFullLTOGlobalDCE	168043730137	284107863000	4921108000
Etcdctl	LLGoFullLTONoGlobalDCE	168334244046	282284036000	4600515000
Etcdctl	LLGoDeadcodeDrop	71108064115	214349808000	4450466000
Etcdctl	LLGoNoLTO	70331826640	212304515000	4061955000
XGo	LLGoFullLTOGlobalDCE	126291064420	177325246000	3154734000
XGo	LLGoFullLTOGlobalDCEPlugin	126371720347	177284943000	3178979000
XGo	LLGoFullLTONoGlobalDCE	126364649596	175760574000	3044357000
Aws_restjson	LLGoFullLTONoGlobalDCE	119446517994	151330385000	2186622000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	107417944640	140755071000	2246513000
Aws_restjson	LLGoFullLTOGlobalDCE	104740681419	138187919000	2246306000
Uber_zap	LLGoFullLTONoGlobalDCE	84804244374	108707333000	1658018000
XGo	LLGoDeadcodeDrop	40901689520	104243943000	2726664000
XGo	LLGoNoLTO	40108099906	102440511000	2664237000
K8s_workqueue	LLGoFullLTOGlobalDCE	81345442125	102515971000	1670767000
K8s_workqueue	LLGoFullLTONoGlobalDCE	81161372000	101505630000	1749937000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	74421220369	98873575000	1636389000
Uber_zap	LLGoFullLTOGlobalDCE	74340847861	98287478000	1584399000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	68366959089	89789991000	1707704000
Aws_restjson	LLGoDeadcodeDrop	38027118671	78534601000	1990944000
Aws_restjson	LLGoNoLTO	38306494506	76836289000	1975582000
Gorm_schema	LLGoFullLTOGlobalDCE	47140854785	64698393000	1305659000
Gorm_schema	LLGoFullLTONoGlobalDCE	47319635874	64523162000	1230581000
Uber_zap	LLGoDeadcodeDrop	24178776064	54354213000	1474758000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	36500905367	54130995000	1201568000
Uber_zap	LLGoNoLTO	23921193095	53334487000	1479048000
Toml	LLGoFullLTONoGlobalDCE	42088132981	52421339000	995978000
K8s_workqueue	LLGoDeadcodeDrop	22063098566	46807154000	1399829000
K8s_workqueue	LLGoNoLTO	21870431856	46236236000	1349690000
IXGo	Go	13130228967	42748571000	3020226000
Toml	LLGoFullLTOGlobalDCEPlugin	33798216419	44558344000	914382000
Toml	LLGoFullLTOGlobalDCE	33651842747	44374423000	937464000
Gorm_schema	LLGoDeadcodeDrop	12841684479	35485839000	1163491000
Gorm_schema	LLGoNoLTO	12532610355	34996416000	1081376000
Dustin_humanize	LLGoFullLTONoGlobalDCE	27127986608	33317215000	798409000
Etcdctl	Go	10424904302	31742748000	2005073000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	18159220139	24392484000	714426000
Dustin_humanize	LLGoFullLTOGlobalDCE	17942725093	24197551000	733753000
Toml	LLGoDeadcodeDrop	8544472658	21668376000	879357000
Toml	LLGoNoLTO	8302544841	21189215000	900454000
XGo	Go	5680931981	18004167000	1185664000
Dustin_humanize	LLGoDeadcodeDrop	5479167856	11988095000	654549000
Dustin_humanize	LLGoNoLTO	5421941818	11931249000	603521000
Aws_restjson	Go	3206595991	7180289000	721467000
Gorm_schema	Go	2207037290	5426799000	377689000
Uber_zap	Go	2086061995	4905418000	417424000
K8s_workqueue	Go	1670810053	4270678000	463046000
Toml	Go	930744534	1813809000	241102000
Dustin_humanize	Go	379741092	662922000	154463000
