benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	450965157284	473873468000	10202790000
IXGo	LLGoFullLTOGlobalDCEPlugin	392774908807	425959946000	8199873000
IXGo	LLGoFullLTONoGlobalDCE	392256106690	424077204000	8343403000
Etcdctl	LLGoFullLTONoGlobalDCE	334198999705	362935966000	7133159000
IXGo	LLGoNoLTO	293019661859	338062560000	17228607000
Etcdctl	LLGoFullLTOGlobalDCE	279855019220	312231435000	5598505000
XGo	LLGoFullLTOGlobalDCE	279557034745	300855023000	8450929000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	279183643834	311429193000	5551803000
XGo	LLGoNoLTO	263739579465	271476431000	16897234000
XGo	LLGoFullLTONoGlobalDCE	236601708989	253724397000	5428364000
XGo	LLGoFullLTOGlobalDCEPlugin	233342027094	246331407000	5446026000
Etcdctl	LLGoNoLTO	175403256403	202773054000	9008784000
Aws_restjson	LLGoFullLTONoGlobalDCE	152911687933	163585744000	3141911000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	120746159276	134512145000	2960772000
K8s_workqueue	LLGoFullLTOGlobalDCE	120211752428	121415025000	2843971000
Aws_restjson	LLGoFullLTOGlobalDCE	119892995370	132634932000	2886857000
Uber_zap	LLGoFullLTONoGlobalDCE	118707931638	127073532000	2735937000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	111467047972	115514720000	2989272000
Gorm_schema	LLGoFullLTONoGlobalDCE	110685823099	113374992000	4432065000
K8s_workqueue	LLGoFullLTONoGlobalDCE	104489927670	113241683000	2435467000
Uber_zap	LLGoFullLTOGlobalDCE	103498501940	110215313000	3099161000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	93880208356	104424056000	2560196000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	82922335474	83850469000	3759935000
Gorm_schema	LLGoFullLTOGlobalDCE	77252811494	78176166000	2071156000
Toml	LLGoFullLTONoGlobalDCE	71885233993	66113926000	1850491000
Aws_restjson	LLGoNoLTO	71294968404	88485378000	4572259000
Toml	LLGoFullLTOGlobalDCE	61038351711	63188438000	1835062000
Uber_zap	LLGoNoLTO	57752141277	61580027000	3618079000
Dustin_humanize	LLGoFullLTOGlobalDCE	48458465100	49101331000	1675281000
Gorm_schema	LLGoNoLTO	41982846123	42479066000	2587065000
Toml	LLGoFullLTOGlobalDCEPlugin	41432057490	46641825000	1479607000
Dustin_humanize	LLGoFullLTONoGlobalDCE	41165092815	45393432000	1375790000
K8s_workqueue	LLGoNoLTO	39544483832	40562542000	2729003000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	35271684900	37866386000	1371397000
Etcdctl	Go	32050094109	34880575000	1978696000
Toml	LLGoNoLTO	28227531790	26069579000	1765425000
IXGo	Go	21665779254	40473969000	2655824000
Gorm_schema	Go	17866607144	6705924000	407170000
Dustin_humanize	LLGoNoLTO	14539301355	15396874000	1389999000
Uber_zap	Go	9400664850	6352739000	425625000
Aws_restjson	Go	5790289116	5669782000	476030000
XGo	Go	4140507273	6844388000	420156000
Toml	Go	1097036008	607122000	146674000
K8s_workqueue	Go	931418782	1669968000	203373000
Dustin_humanize	Go	621897125	709603000	119937000
