benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	657037633934	873746432000	7162398000
IXGo	LLGoFullLTOGlobalDCE	584310891326	807425553000	7398310000
IXGo	LLGoFullLTOGlobalDCEPlugin	588207355884	783815513000	7190529000
IXGo	LLGoDeadcodeDrop	150591889196	439966648000	6702411000
IXGo	LLGoNoLTO	155636140353	418202516000	6351648000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	177068302245	289580250000	5601893000
Etcdctl	LLGoFullLTOGlobalDCE	175931559936	288781241000	5664226000
Etcdctl	LLGoFullLTONoGlobalDCE	164920073398	271289783000	5165694000
Etcdctl	LLGoDeadcodeDrop	71174811998	210582929000	4986901000
Etcdctl	LLGoNoLTO	67928211455	200832070000	4744430000
XGo	LLGoFullLTOGlobalDCEPlugin	135880863100	184932510000	3668543000
XGo	LLGoFullLTONoGlobalDCE	126933073188	173475904000	3335695000
XGo	LLGoFullLTOGlobalDCE	124564528989	171813670000	3379266000
Aws_restjson	LLGoFullLTONoGlobalDCE	119301057445	149471512000	2368888000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	111961642597	143168660000	2428846000
Aws_restjson	LLGoFullLTOGlobalDCE	105874751447	136862706000	2260414000
Uber_zap	LLGoFullLTONoGlobalDCE	85927430134	107996791000	1756748000
K8s_workqueue	LLGoFullLTONoGlobalDCE	82936060008	102356874000	1746062000
Uber_zap	LLGoFullLTOGlobalDCE	78251322101	101663958000	1798386000
K8s_workqueue	LLGoFullLTOGlobalDCE	81423948375	101361301000	1824128000
XGo	LLGoDeadcodeDrop	40507247429	99675877000	2857678000
XGo	LLGoNoLTO	39838476921	98134192000	2628463000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	73405615952	95925034000	1753588000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	65865611203	85601395000	1717750000
Aws_restjson	LLGoDeadcodeDrop	44509913971	83544978000	2214054000
Aws_restjson	LLGoNoLTO	39756712214	76875101000	2029441000
Gorm_schema	LLGoFullLTOGlobalDCE	46718079349	63059246000	1441852000
Gorm_schema	LLGoFullLTONoGlobalDCE	46963784622	62847321000	1313320000
Uber_zap	LLGoDeadcodeDrop	24771261688	53414614000	1526660000
Uber_zap	LLGoNoLTO	24269722915	52384526000	1450200000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	34508332587	50739009000	1282238000
Toml	LLGoFullLTONoGlobalDCE	40489342367	50197014000	1009786000
K8s_workqueue	LLGoNoLTO	22391906715	45675779000	1397349000
K8s_workqueue	LLGoDeadcodeDrop	22467471269	45363149000	1424322000
IXGo	Go	13368238868	41834153000	3413128000
Toml	LLGoFullLTOGlobalDCE	33453722463	43600234000	990289000
Toml	LLGoFullLTOGlobalDCEPlugin	31306038803	41132769000	1005622000
Gorm_schema	LLGoDeadcodeDrop	12766576423	34553573000	1174966000
Gorm_schema	LLGoNoLTO	11922140932	32601477000	1107526000
Dustin_humanize	LLGoFullLTONoGlobalDCE	26557842983	32325029000	831948000
Etcdctl	Go	9543644989	29632826000	2225948000
Dustin_humanize	LLGoFullLTOGlobalDCE	18372604339	24144695000	768407000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17375378798	23147694000	738129000
Toml	LLGoDeadcodeDrop	7969485420	20480693000	849770000
Toml	LLGoNoLTO	7942234026	20043512000	844426000
XGo	Go	5648426100	17934842000	1304884000
Dustin_humanize	LLGoDeadcodeDrop	5553368605	11939013000	691304000
Dustin_humanize	LLGoNoLTO	5208212561	11092709000	642479000
Aws_restjson	Go	3201998005	7060081000	672783000
Gorm_schema	Go	2157669241	5290532000	388601000
Uber_zap	Go	1999103256	4654450000	440979000
K8s_workqueue	Go	1690606345	4204482000	504719000
Toml	Go	959482728	1786303000	266702000
Dustin_humanize	Go	375220120	643763000	158200000
