benchmark	configuration	real-ns	user-ns	sys-ns
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	145563927249	142698238000	3962299000
Aws_restjson	LLGoFullLTONoGlobalDCE	132736941624	136881853000	2904977000
Aws_restjson	LLGoFullLTOGlobalDCE	129589264242	132282489000	2907623000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	128108781802	131501488000	2735739000
K8s_workqueue	LLGoFullLTOGlobalDCE	115118697271	112997755000	2558081000
Gorm_schema	LLGoFullLTONoGlobalDCE	105579340821	99811687000	3332043000
Uber_zap	LLGoFullLTONoGlobalDCE	102356465946	110409368000	2735308000
Toml	LLGoFullLTONoGlobalDCE	101125184242	93976644000	3347832000
K8s_workqueue	LLGoFullLTONoGlobalDCE	98710547406	101897520000	2484117000
Uber_zap	LLGoFullLTOGlobalDCE	84987462146	93152865000	2763008000
Aws_restjson	LLGoNoLTO	77432510823	79043255000	3964788000
Uber_zap	LLGoNoLTO	65918385418	71585659000	4542539000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	65105894389	74294407000	2148539000
Gorm_schema	LLGoFullLTOGlobalDCE	64122961162	63501370000	1774129000
Toml	LLGoNoLTO	60508055541	59997366000	4108855000
Dustin_humanize	LLGoNoLTO	58188734282	54841790000	5739090000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	57067810787	56359609000	3004451000
Toml	LLGoFullLTOGlobalDCE	53480994524	56059984000	2867837000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	42094069902	45436071000	1521492000
Toml	LLGoFullLTOGlobalDCEPlugin	33571333345	36697964000	1253844000
Dustin_humanize	LLGoFullLTONoGlobalDCE	31013130846	34112435000	1120951000
Dustin_humanize	LLGoFullLTOGlobalDCE	24189845294	26340288000	1132206000
Gorm_schema	LLGoNoLTO	22106605292	26466275000	1912405000
K8s_workqueue	LLGoNoLTO	16051388842	24062490000	2021765000
K8s_workqueue	Go	1238089111	629444000	142765000
Aws_restjson	Go	1203473635	721060000	161264000
Dustin_humanize	Go	641113687	368370000	134508000
Gorm_schema	Go	531927602	447378000	105399000
Toml	Go	506752925	368435000	116713000
Uber_zap	Go	431728844	497382000	132206000
