benchmark	configuration	real-ns	user-ns	sys-ns
Etcdctl	LLGoFullLTONoGlobalDCE	318163237830	343365870000	6552631000
IXGo	LLGoFullLTONoGlobalDCE	307763697678	327861522000	4823592000
IXGo	LLGoFullLTOGlobalDCE	297420300463	325169220000	4524460000
IXGo	LLGoFullLTOGlobalDCEPlugin	288100724300	317693707000	4312895000
IXGo	LLGoDeadcodeDrop	253402052059	296378738000	6778479000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	251078664099	262090539000	3717546000
Etcdctl	LLGoFullLTOGlobalDCE	223111357041	240509235000	3507092000
XGo	LLGoNoLTO	196614047383	207224115000	5109339000
Aws_restjson	LLGoFullLTOGlobalDCE	210406633140	206722908000	4547572000
Aws_restjson	LLGoFullLTONoGlobalDCE	160763604293	156267513000	2519789000
Etcdctl	LLGoNoLTO	145340617825	153106398000	3536884000
XGo	LLGoFullLTOGlobalDCE	127300047200	141868612000	2654188000
XGo	LLGoFullLTONoGlobalDCE	122475519160	140722904000	2649317000
XGo	LLGoFullLTOGlobalDCEPlugin	121366566585	139802994000	2611021000
Etcdctl	LLGoDeadcodeDrop	93581373155	118688060000	2533004000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	99468390139	107572745000	2322932000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	87240908131	100132205000	2569532000
IXGo	LLGoNoLTO	68912852506	86268976000	3299191000
Uber_zap	LLGoFullLTONoGlobalDCE	75818859987	86597088000	2088075000
K8s_workqueue	LLGoFullLTOGlobalDCE	84459220047	85088238000	2375107000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	82006248854	82719671000	2191926000
K8s_workqueue	LLGoFullLTONoGlobalDCE	80063487224	82490547000	2237035000
Uber_zap	LLGoFullLTOGlobalDCE	60884950349	71213432000	1877284000
Gorm_schema	LLGoFullLTONoGlobalDCE	60787752471	62718368000	1629627000
XGo	LLGoDeadcodeDrop	52855576089	60900722000	2475234000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	49089834325	54436087000	1643904000
Gorm_schema	LLGoFullLTOGlobalDCE	53922807505	54521060000	1384345000
Aws_restjson	LLGoDeadcodeDrop	43716921853	52621431000	1978202000
Toml	LLGoFullLTOGlobalDCEPlugin	49950421587	45263667000	1418815000
Toml	LLGoFullLTONoGlobalDCE	41069261652	44815735000	1375004000
Uber_zap	LLGoDeadcodeDrop	31263712209	37309970000	1929882000
Toml	LLGoFullLTOGlobalDCE	31433569660	35570610000	1231691000
Dustin_humanize	LLGoFullLTOGlobalDCE	40016972781	34232216000	1284178000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	37382472272	33924974000	1365942000
Dustin_humanize	LLGoFullLTONoGlobalDCE	30365562465	34070264000	1118740000
K8s_workqueue	LLGoDeadcodeDrop	30169134334	30292969000	1998406000
Aws_restjson	LLGoNoLTO	13808133923	26072621000	1605993000
Gorm_schema	LLGoDeadcodeDrop	27117879732	25944012000	1389496000
Gorm_schema	LLGoNoLTO	24650092959	25808834000	1259108000
IXGo	Go	8775369962	24539365000	2212405000
K8s_workqueue	LLGoNoLTO	14199226673	24161818000	1728837000
Uber_zap	LLGoNoLTO	12303897464	22767658000	1666973000
Toml	LLGoDeadcodeDrop	12658523639	16650304000	1147180000
Etcdctl	Go	14050819972	13962350000	874169000
Toml	LLGoNoLTO	14994514129	13146473000	1234508000
Dustin_humanize	LLGoNoLTO	12589950839	10472479000	1140677000
Dustin_humanize	LLGoDeadcodeDrop	5218491339	8958167000	917631000
XGo	Go	3603747328	6414421000	547687000
Gorm_schema	Go	12360377484	5160482000	355688000
Aws_restjson	Go	1568171663	3529991000	411513000
Uber_zap	Go	3937770568	2692052000	238618000
K8s_workqueue	Go	816542731	1273307000	182462000
Toml	Go	3479739860	544356000	179317000
Dustin_humanize	Go	1026295369	564701000	96669000
