benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	388197180305	541767574000	6891759000
IXGo	LLGoFullLTONoGlobalDCE	386196411890	535383613000	6793769000
IXGo	LLGoFullLTOGlobalDCE	376540153315	528042648000	6891141000
IXGo	LLGoDeadcodeDrop	128690612436	315561709000	6196554000
IXGo	LLGoNoLTO	125757283853	311085712000	6135066000
Etcdctl	LLGoFullLTOGlobalDCE	153620090774	256767376000	5141434000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	153775107175	256519394000	5136647000
Etcdctl	LLGoFullLTONoGlobalDCE	154892668437	255334351000	5022177000
Etcdctl	LLGoDeadcodeDrop	67767542076	200659358000	4868374000
Etcdctl	LLGoNoLTO	65924407888	196825726000	4697541000
XGo	LLGoFullLTOGlobalDCEPlugin	120669502039	167694027000	3765272000
XGo	LLGoFullLTONoGlobalDCE	119163286777	164545719000	3595113000
XGo	LLGoFullLTOGlobalDCE	117896256715	164456910000	3587699000
Aws_restjson	LLGoFullLTONoGlobalDCE	111098515100	140279722000	2512463000
Aws_restjson	LLGoFullLTOGlobalDCE	102061061751	132935531000	2572067000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	97666891333	127232358000	2538776000
XGo	LLGoDeadcodeDrop	39147610388	98209465000	3175697000
XGo	LLGoNoLTO	38804596817	97131705000	3187304000
K8s_workqueue	LLGoFullLTOGlobalDCE	77554034926	97615331000	2153298000
Uber_zap	LLGoFullLTONoGlobalDCE	76422402299	97539214000	2131064000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	77160176902	97051467000	2070862000
Uber_zap	LLGoFullLTOGlobalDCE	70376325223	92908572000	2196834000
K8s_workqueue	LLGoFullLTONoGlobalDCE	73904559091	92674775000	2076232000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	68429902136	90312386000	2143352000
Aws_restjson	LLGoDeadcodeDrop	38633397555	76486702000	2383715000
Aws_restjson	LLGoNoLTO	38075814007	75069099000	2314562000
Gorm_schema	LLGoFullLTOGlobalDCE	43858712377	60008649000	1660435000
Gorm_schema	LLGoFullLTONoGlobalDCE	41906931158	57159787000	1524784000
Uber_zap	LLGoDeadcodeDrop	23322064861	51299395000	1882540000
Uber_zap	LLGoNoLTO	23214065574	51198691000	1895885000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	33860726666	50238335000	1573134000
Toml	LLGoFullLTONoGlobalDCE	37076096049	46465339000	1249675000
K8s_workqueue	LLGoNoLTO	21567596401	44865737000	1954751000
K8s_workqueue	LLGoDeadcodeDrop	21694910561	44936771000	1866451000
IXGo	Go	11796253097	38768248000	2843908000
Toml	LLGoFullLTOGlobalDCE	29393068351	38999959000	1199923000
Toml	LLGoFullLTOGlobalDCEPlugin	29400641923	38807331000	1236755000
Gorm_schema	LLGoDeadcodeDrop	12135394274	32761906000	1401043000
Dustin_humanize	LLGoFullLTONoGlobalDCE	26222090060	32020653000	1096861000
Gorm_schema	LLGoNoLTO	11700488923	31295968000	1422136000
Etcdctl	Go	9415642590	29578841000	2021838000
Dustin_humanize	LLGoFullLTOGlobalDCE	17324903067	23344176000	994540000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	16651315505	22350426000	996668000
Toml	LLGoNoLTO	7789184282	19974382000	1114385000
Toml	LLGoDeadcodeDrop	8028811392	19812681000	1170613000
XGo	Go	5132687116	16768045000	1127153000
Dustin_humanize	LLGoDeadcodeDrop	5716240020	12010013000	943064000
Dustin_humanize	LLGoNoLTO	5470137028	11399962000	939900000
Aws_restjson	Go	2905083315	6831880000	616265000
Gorm_schema	Go	2069778099	5206661000	379322000
Uber_zap	Go	1907160828	4676588000	335719000
K8s_workqueue	Go	1481097681	3887500000	406731000
Toml	Go	820853274	1675182000	147545000
Dustin_humanize	Go	348622549	635737000	114395000
