benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	468855038185	476444672000	9586569000
IXGo	LLGoFullLTOGlobalDCE	427584994126	468476762000	5972594000
IXGo	LLGoDeadcodeDrop	402018558356	461244316000	8446994000
IXGo	LLGoFullLTOGlobalDCEPlugin	414231815588	440340946000	8977225000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	350146673687	389557859000	7076395000
Etcdctl	LLGoFullLTOGlobalDCE	365794245084	367430707000	7490321000
Etcdctl	LLGoFullLTONoGlobalDCE	274087391280	308720098000	3918547000
XGo	LLGoFullLTONoGlobalDCE	275706672402	290876860000	5815843000
XGo	LLGoFullLTOGlobalDCE	260687327462	243872923000	7393118000
Etcdctl	LLGoDeadcodeDrop	193115029358	213679870000	4627626000
XGo	LLGoFullLTOGlobalDCEPlugin	169465025813	192849098000	3258420000
Aws_restjson	LLGoFullLTONoGlobalDCE	132880213563	147768826000	2737511000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	115793750972	131017418000	2665404000
Aws_restjson	LLGoFullLTOGlobalDCE	111916767959	127074261000	2613617000
K8s_workqueue	LLGoFullLTONoGlobalDCE	137106916708	125839704000	3177492000
Uber_zap	LLGoFullLTONoGlobalDCE	112301284306	121426687000	2696234000
IXGo	LLGoNoLTO	100549113158	118076084000	5265963000
Gorm_schema	LLGoFullLTOGlobalDCE	130723941806	116904244000	3309769000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	91524248153	104725980000	2680215000
Gorm_schema	LLGoFullLTONoGlobalDCE	116648135609	103847273000	2203980000
K8s_workqueue	LLGoFullLTOGlobalDCE	87661887092	100000066000	2491869000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	85727683673	98619281000	2613857000
XGo	LLGoNoLTO	96764925871	97110388000	3520578000
Uber_zap	LLGoFullLTOGlobalDCE	87794252800	97625712000	2608944000
Toml	LLGoFullLTOGlobalDCEPlugin	99931217866	90312559000	2692267000
Toml	LLGoDeadcodeDrop	101956855378	84433395000	2728337000
Aws_restjson	LLGoDeadcodeDrop	81250164625	82109467000	2880526000
XGo	LLGoDeadcodeDrop	59615775639	79300345000	2701205000
Aws_restjson	LLGoNoLTO	63629541872	77572117000	2847457000
Etcdctl	LLGoNoLTO	41114369229	74950148000	3202149000
Dustin_humanize	LLGoDeadcodeDrop	92917308095	74718453000	2571122000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	72337479199	64047165000	2217030000
Toml	LLGoFullLTONoGlobalDCE	55879457518	60556377000	1644075000
Dustin_humanize	LLGoFullLTONoGlobalDCE	62354552663	57126062000	1593233000
Uber_zap	LLGoDeadcodeDrop	55295818580	53820723000	2841816000
Toml	LLGoFullLTOGlobalDCE	46053199841	51902749000	1700689000
Uber_zap	LLGoNoLTO	29880745483	43762319000	2083493000
K8s_workqueue	LLGoNoLTO	44727110165	40837430000	2434721000
Dustin_humanize	LLGoFullLTOGlobalDCE	36683638858	36047538000	1579817000
IXGo	Go	23346435108	34148185000	3181107000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	32967965264	35631758000	1428582000
K8s_workqueue	LLGoDeadcodeDrop	25248060701	33300251000	2052545000
Gorm_schema	LLGoDeadcodeDrop	22422976552	29955919000	1395019000
Gorm_schema	LLGoNoLTO	17517763483	19066853000	1564837000
Etcdctl	Go	7886557055	16120155000	961127000
Toml	LLGoNoLTO	9976818185	14677509000	1385888000
Dustin_humanize	LLGoNoLTO	9656486880	12134715000	1287447000
XGo	Go	11738579108	9638496000	572057000
Uber_zap	Go	1938534285	5123840000	439071000
Aws_restjson	Go	4645809713	5033632000	491927000
Gorm_schema	Go	8763020569	4029692000	271694000
K8s_workqueue	Go	874083015	1574076000	214301000
Dustin_humanize	Go	496420959	615399000	97088000
Toml	Go	335071831	451391000	109857000
