benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	409399125341	431760506000	4870514000
IXGo	LLGoFullLTOGlobalDCE	388044093242	413600519000	5004627000
IXGo	LLGoFullLTONoGlobalDCE	364542872328	399528918000	4340271000
Etcdctl	LLGoFullLTOGlobalDCE	332454004572	348521067000	3429202000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	309156010758	330775317000	3317028000
Etcdctl	LLGoFullLTONoGlobalDCE	260068041646	299576811000	3084551000
IXGo	LLGoNoLTO	241694075933	292599518000	5604808000
XGo	LLGoFullLTOGlobalDCE	254794413174	278167060000	4585254000
XGo	LLGoFullLTOGlobalDCEPlugin	200340019627	226191769000	3352970000
IXGo	LLGoDeadcodeDrop	177915039027	222716634000	3541418000
K8s_workqueue	LLGoFullLTONoGlobalDCE	198406108562	196742682000	4022480000
XGo	LLGoFullLTONoGlobalDCE	180960673342	194757741000	2742175000
Etcdctl	LLGoNoLTO	125352657877	176502911000	3843033000
Aws_restjson	LLGoFullLTONoGlobalDCE	159008113312	163029103000	2484902000
Etcdctl	LLGoDeadcodeDrop	115585042928	155878101000	2475215000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	135395666549	140258440000	2215842000
XGo	LLGoDeadcodeDrop	103946997933	131275594000	2303648000
Aws_restjson	LLGoFullLTOGlobalDCE	115384203436	130951584000	2054143000
Uber_zap	LLGoFullLTOGlobalDCE	136067825840	128908107000	2242602000
Uber_zap	LLGoFullLTONoGlobalDCE	121630961505	122747534000	2201791000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	115744695376	115442180000	2167068000
Toml	LLGoFullLTOGlobalDCE	123649436500	108694422000	2679950000
Toml	LLGoDeadcodeDrop	120697666837	106589827000	2430896000
K8s_workqueue	LLGoFullLTOGlobalDCE	88372018062	99052428000	1936644000
Gorm_schema	LLGoFullLTOGlobalDCE	104859673946	93306593000	1521608000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	74906956306	90515183000	1874052000
Gorm_schema	LLGoFullLTONoGlobalDCE	90868161087	85351093000	1497135000
XGo	LLGoNoLTO	71125638731	82495433000	2277657000
K8s_workqueue	LLGoNoLTO	82300132725	81139302000	1992508000
Aws_restjson	LLGoDeadcodeDrop	74816477383	79255582000	2021110000
Aws_restjson	LLGoNoLTO	61500166191	73445021000	2164638000
Toml	LLGoFullLTONoGlobalDCE	75049464147	74123595000	1266774000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	72137693296	73102139000	1479566000
Toml	LLGoFullLTOGlobalDCEPlugin	75016043328	68275274000	1433765000
Dustin_humanize	LLGoFullLTONoGlobalDCE	68012071220	58650064000	1250974000
Uber_zap	LLGoDeadcodeDrop	51766218148	53795663000	1916573000
Uber_zap	LLGoNoLTO	42260892181	51646695000	2019339000
Gorm_schema	LLGoDeadcodeDrop	43926364103	46967232000	1523152000
IXGo	Go	21680124192	37139836000	2358256000
Dustin_humanize	LLGoFullLTOGlobalDCE	30682343418	34320608000	1038270000
K8s_workqueue	LLGoDeadcodeDrop	22874702995	32870824000	1671445000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	27121118174	32763615000	1027479000
Etcdctl	Go	17377517576	30817750000	1796572000
Toml	LLGoNoLTO	20666288364	17669169000	1072792000
Gorm_schema	LLGoNoLTO	8686084434	17628628000	1041304000
Dustin_humanize	LLGoDeadcodeDrop	8245323487	12526124000	921858000
Dustin_humanize	LLGoNoLTO	5640077765	11410842000	945650000
Aws_restjson	Go	10553413896	8479137000	640063000
XGo	Go	9298968921	7044961000	412451000
Gorm_schema	Go	3421529634	3849662000	194256000
Uber_zap	Go	3165742515	3292580000	211197000
K8s_workqueue	Go	792285561	1566256000	172838000
Dustin_humanize	Go	1421305638	697056000	84538000
Toml	Go	1399301110	637872000	87674000
