benchmark	configuration	real-ns	user-ns	sys-ns
Uber_zap	LLGoFullLTONoGlobalDCE	169384710097	171361191000	4675463000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	155382780303	150779620000	3142680000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	139545026370	142082278000	2849521000
K8s_workqueue	LLGoFullLTOGlobalDCE	131910142492	129106881000	2452374000
Aws_restjson	LLGoFullLTONoGlobalDCE	126913089178	139274881000	2407369000
K8s_workqueue	LLGoFullLTONoGlobalDCE	126036425952	120942582000	2338527000
Uber_zap	LLGoNoLTO	122995501008	127473903000	6135989000
Uber_zap	LLGoFullLTOGlobalDCE	121174049604	129316960000	4134823000
Aws_restjson	LLGoFullLTOGlobalDCE	106048563396	118546498000	2308160000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	104150737886	103083154000	2309032000
Aws_restjson	LLGoNoLTO	97176146343	93341653000	3924963000
Gorm_schema	LLGoFullLTOGlobalDCE	78133705736	73996337000	1730301000
Toml	LLGoFullLTOGlobalDCEPlugin	68545178096	66203407000	1620356000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	67016968544	65307850000	1721270000
Dustin_humanize	LLGoNoLTO	62080759119	59654424000	4466336000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	61140272484	60588475000	2581720000
Toml	LLGoFullLTOGlobalDCE	60138862743	57414820000	1350767000
Gorm_schema	LLGoFullLTONoGlobalDCE	58389128626	61873041000	1469954000
Toml	LLGoFullLTONoGlobalDCE	48738939245	50293976000	1157821000
Dustin_humanize	LLGoFullLTOGlobalDCE	45889499343	40638859000	1205902000
Dustin_humanize	LLGoFullLTONoGlobalDCE	34234481504	38424790000	996053000
Gorm_schema	LLGoNoLTO	27648549692	32008628000	1783354000
K8s_workqueue	LLGoNoLTO	17795670296	27523105000	1860189000
Toml	LLGoNoLTO	12302074350	17243782000	1147034000
Aws_restjson	Go	1217858472	906738000	134550000
Uber_zap	Go	424850413	452673000	118704000
Toml	Go	381405635	431358000	71605000
K8s_workqueue	Go	308186722	484706000	87921000
Gorm_schema	Go	254943540	413021000	66930000
Dustin_humanize	Go	196015058	258943000	62567000
