benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	396537502223	572057510000	5596471000
IXGo	LLGoFullLTOGlobalDCE	396125067969	572044510000	4938735000
IXGo	LLGoFullLTONoGlobalDCE	387267912441	564787853000	5047870000
IXGo	LLGoDeadcodeDrop	110601520767	324265845000	4339166000
IXGo	LLGoNoLTO	108705219863	316096186000	4030504000
Etcdctl	LLGoFullLTOGlobalDCE	186713223020	286400830000	4016058000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	186619416964	285364294000	4201290000
Etcdctl	LLGoFullLTONoGlobalDCE	187920459450	283560759000	3793223000
Aws_restjson	LLGoFullLTOGlobalDCE	128201828026	218301458000	3672022000
Uber_zap	LLGoFullLTONoGlobalDCE	122889460222	196857489000	3432594000
Etcdctl	LLGoDeadcodeDrop	67502988884	195323406000	3207149000
XGo	LLGoFullLTOGlobalDCE	144686996277	191920601000	3224844000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	118557566038	191184666000	3088047000
K8s_workqueue	LLGoDeadcodeDrop	68397635258	187397482000	3488765000
XGo	LLGoFullLTONoGlobalDCE	144426768613	182650922000	3152245000
XGo	LLGoFullLTOGlobalDCEPlugin	141852455791	181183986000	3176028000
Aws_restjson	LLGoFullLTONoGlobalDCE	123317967079	151004686000	2632064000
XGo	LLGoDeadcodeDrop	44039061305	116235098000	2596299000
K8s_workqueue	LLGoFullLTONoGlobalDCE	96125784515	114323601000	2480210000
K8s_workqueue	LLGoFullLTOGlobalDCE	95554803444	114192241000	2516442000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	95168753031	113155365000	2323114000
Uber_zap	LLGoFullLTOGlobalDCE	85896667310	106604609000	2481030000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	85809471726	106395571000	2351499000
Etcdctl	LLGoNoLTO	39491992713	95188025000	2828173000
Aws_restjson	LLGoDeadcodeDrop	36340705627	74047259000	2293452000
Gorm_schema	LLGoFullLTONoGlobalDCE	56593503084	71366007000	1499905000
Gorm_schema	LLGoFullLTOGlobalDCE	54038124497	67621174000	1613537000
Toml	LLGoFullLTONoGlobalDCE	50334290168	59165071000	1470211000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	35361265977	58583334000	1816410000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	42575489499	56548746000	1505054000
XGo	LLGoNoLTO	25836519946	49525431000	2263683000
Uber_zap	LLGoNoLTO	22949451322	49522863000	1962175000
Toml	LLGoFullLTOGlobalDCEPlugin	40327805874	49489941000	1347804000
Toml	LLGoFullLTOGlobalDCE	40141488558	49390436000	1317983000
Uber_zap	LLGoDeadcodeDrop	23060016138	48478204000	2071853000
Dustin_humanize	LLGoFullLTONoGlobalDCE	35664081591	41196548000	1210541000
Aws_restjson	LLGoNoLTO	19879565382	37573565000	2008035000
K8s_workqueue	LLGoNoLTO	18492123325	33184261000	1937998000
Gorm_schema	LLGoDeadcodeDrop	11710665043	33238032000	1323875000
Gorm_schema	LLGoNoLTO	11523119656	33061715000	1307282000
Dustin_humanize	LLGoFullLTOGlobalDCE	24558916879	30273798000	1200539000
Toml	LLGoDeadcodeDrop	8126058013	19516988000	1223788000
Toml	LLGoNoLTO	5383044133	12078345000	1185484000
Dustin_humanize	LLGoDeadcodeDrop	5251460897	11200645000	1086811000
Dustin_humanize	LLGoNoLTO	5116362766	10903416000	1061877000
IXGo	Go	1096728553	1703927000	215598000
Etcdctl	Go	738952449	1119037000	165260000
XGo	Go	576721458	875538000	160926000
Aws_restjson	Go	494834519	816781000	187687000
K8s_workqueue	Go	384143858	562917000	117449000
Uber_zap	Go	375038249	557619000	101992000
Gorm_schema	Go	279573936	420210000	97698000
Toml	Go	275843685	394668000	103235000
Dustin_humanize	Go	182802414	264048000	78505000
