benchmark	configuration	real-ns	user-ns	sys-ns
Aws_restjson	LLGoFullLTONoGlobalDCE	243198504472	243874206000	6748438000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	149851262252	161246921000	3802559000
Aws_restjson	LLGoFullLTOGlobalDCE	139052087252	152306113000	3521813000
Uber_zap	LLGoFullLTONoGlobalDCE	125381454608	131696625000	3063099000
Aws_restjson	LLGoNoLTO	123463549493	133475852000	6738256000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	121802511248	116819365000	4435645000
Toml	LLGoFullLTOGlobalDCE	120476322079	113696521000	4382176000
Dustin_humanize	LLGoNoLTO	114029050664	92946297000	8209671000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	105582913938	109351390000	2717454000
K8s_workqueue	LLGoFullLTOGlobalDCE	91808359589	101110428000	2504632000
K8s_workqueue	LLGoFullLTONoGlobalDCE	90600927863	101642920000	2411485000
Uber_zap	LLGoFullLTOGlobalDCE	85515193869	95532995000	2541159000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	79174107138	90977735000	2296367000
Gorm_schema	LLGoFullLTOGlobalDCE	74560155451	74925805000	1982142000
Gorm_schema	LLGoFullLTONoGlobalDCE	68661905136	73311238000	1784821000
Toml	LLGoFullLTONoGlobalDCE	66838498923	66868024000	1731445000
Dustin_humanize	LLGoFullLTONoGlobalDCE	59429742613	58930438000	1525400000
Toml	LLGoFullLTOGlobalDCEPlugin	42634511261	46803671000	1442546000
K8s_workqueue	LLGoNoLTO	34852036540	39637071000	2764846000
Dustin_humanize	LLGoFullLTOGlobalDCE	32226121215	34907485000	1244878000
Gorm_schema	LLGoNoLTO	31532849395	36021685000	2362290000
Uber_zap	LLGoNoLTO	31247798540	42756351000	2583613000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	27398788895	31736530000	1197543000
Toml	LLGoNoLTO	17886814844	21374673000	1635168000
Uber_zap	Go	1176888103	867319000	192641000
K8s_workqueue	Go	1135676981	747345000	128220000
Aws_restjson	Go	1028170136	872123000	146514000
Toml	Go	871310889	572707000	106123000
Dustin_humanize	Go	324035515	331087000	90150000
Gorm_schema	Go	282988708	432258000	96411000
