benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	352480569537	500141404000	5209530000
IXGo	LLGoFullLTOGlobalDCEPlugin	332470091826	479752511000	5662155000
IXGo	LLGoFullLTOGlobalDCE	323189881850	460203528000	5624125000
IXGo	LLGoDeadcodeDrop	109674942841	290361761000	4860650000
IXGo	LLGoNoLTO	107371167762	281890419000	4844932000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	131583108716	215668631000	4206060000
Etcdctl	LLGoFullLTOGlobalDCE	129793647063	213249435000	4128174000
Etcdctl	LLGoFullLTONoGlobalDCE	130206700518	212621907000	3961870000
Etcdctl	LLGoDeadcodeDrop	53698026803	157499809000	3746340000
Etcdctl	LLGoNoLTO	52254434407	155192094000	3506614000
XGo	LLGoFullLTOGlobalDCE	97979933639	135238683000	2676502000
XGo	LLGoFullLTONoGlobalDCE	97940059520	134186940000	2579869000
XGo	LLGoFullLTOGlobalDCEPlugin	97573715771	133811516000	2717057000
Aws_restjson	LLGoFullLTONoGlobalDCE	94974034709	118253786000	1878951000
Aws_restjson	LLGoFullLTOGlobalDCE	84395353681	108554687000	1721272000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	81028837615	104231929000	1824046000
Uber_zap	LLGoFullLTONoGlobalDCE	65887990867	83124967000	1387848000
K8s_workqueue	LLGoFullLTOGlobalDCE	63050201635	78301360000	1361130000
XGo	LLGoDeadcodeDrop	31395139533	77436109000	2153253000
K8s_workqueue	LLGoFullLTONoGlobalDCE	62771018790	77841414000	1385964000
XGo	LLGoNoLTO	31023177262	76282739000	2207925000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	58099707395	75706542000	1364527000
Uber_zap	LLGoFullLTOGlobalDCE	56664060139	74039463000	1419570000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	51752175912	66853172000	1305566000
Aws_restjson	LLGoDeadcodeDrop	30686566505	60551055000	1691431000
Aws_restjson	LLGoNoLTO	30007940630	58607190000	1502066000
Gorm_schema	LLGoFullLTONoGlobalDCE	35275693256	47407116000	1009175000
Gorm_schema	LLGoFullLTOGlobalDCE	34720138881	47007466000	1152159000
Uber_zap	LLGoDeadcodeDrop	19277689057	40870019000	1114921000
Uber_zap	LLGoNoLTO	18910108896	40092344000	1129244000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	26890396700	38938021000	929503000
Toml	LLGoFullLTONoGlobalDCE	31257581399	38538073000	840979000
K8s_workqueue	LLGoDeadcodeDrop	17661970128	35452395000	1161114000
K8s_workqueue	LLGoNoLTO	17352401014	34880607000	1051420000
IXGo	Go	9776597935	31178687000	2415903000
Toml	LLGoFullLTOGlobalDCE	24854930238	32494636000	789578000
Toml	LLGoFullLTOGlobalDCEPlugin	24745773898	32077032000	746264000
Gorm_schema	LLGoDeadcodeDrop	9634533547	26417328000	887324000
Gorm_schema	LLGoNoLTO	9336361073	25392254000	886508000
Dustin_humanize	LLGoFullLTONoGlobalDCE	20631846744	24893901000	596869000
Etcdctl	Go	7549017370	23237026000	1707692000
Dustin_humanize	LLGoFullLTOGlobalDCE	14193949322	18428257000	568350000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	13814361702	18010821000	578290000
Toml	LLGoDeadcodeDrop	6273715761	15588905000	736501000
Toml	LLGoNoLTO	6157184801	15443083000	693918000
XGo	Go	4259316396	13500213000	964156000
Dustin_humanize	LLGoDeadcodeDrop	4287184213	8785472000	493532000
Dustin_humanize	LLGoNoLTO	4037353032	8585081000	508366000
Aws_restjson	Go	2449975875	5397698000	531384000
Gorm_schema	Go	1630651350	3932121000	319313000
Uber_zap	Go	1563519046	3642773000	341207000
K8s_workqueue	Go	1252633111	3123959000	361299000
Toml	Go	711233676	1321274000	225568000
Dustin_humanize	Go	292829274	498213000	121923000
